id,rate,name
041,7.53,Hamilton
031,8.37,Essex
045,8.76,Jefferson
115,9.08,Washington
003,9.2,Allegany
079,9.38,Putnam
035,9.56,Fulton
019,9.82,Clinton
105,9.82,Sullivan
053,9.93,Madison
113,9.95,Warren
023,10.4,Cortland
013,10.42,Chautauqua
099,10.45,Seneca
043,10.64,Herkimer
033,10.67,Franklin
051,10.76,Livingston
049,10.84,Lewis
101,11.08,Steuben
089,11.12,St Lawrence
075,11.13,Oswego
011,11.29,Cayuga
121,11.33,Wyoming
057,11.4,Montgomery
071,11.73,Orange
059,11.75,Nassau
065,11.82,Oneida
077,11.86,Otsego
009,11.87,Cattaraugus
091,11.89,Saratoga
037,11.92,Genesee
007,11.98,Broome
063,12.16,Niagara
107,12.24,Tioga
085,12.31,Richmond
103,12.32,Suffolk
095,12.41,Schoharie
111,12.64,Ulster
123,12.76,Yates
119,12.81,Westchester
001,13.2,Albany
117,13.2,Wayne
087,13.24,Rockland
039,13.25,Greene
073,13.33,Orleans
069,13.39,Ontario
029,13.64,Erie
025,13.74,Delaware
083,13.81,Rensselaer
067,13.98,Onondaga
021,13.99,Columbia
027,14.04,Dutchess
017,14.26,Chenango
109,14.28,Tompkins
061,14.3,Queens
061,15.23,NYC
055,16.4,Monroe
093,17.01,Schenectady
097,17.92,Schuyler
015,19.14,Chemung
061,19.26,Brooklyn
061,21.21,Manhattan
061,21.41,Bronx
