ENTITY_CD,ENTITY_NAME,YEAR,SUBGROUP_NAME,NUM_TESTED,LEVEL1_COUNT,LEVEL1_%TESTED,LEVEL2_COUNT,LEVEL2_%TESTED,LEVEL3_COUNT,LEVEL3_%TESTED,LEVEL4_COUNT,LEVEL4_%TESTED,TOTAL_SCALE_SCORES,MEAN_SCORE
000000000001,NYC Public Schools,2013,All Students,67201,23568,35,27889,42,8625,13,7119,11,19750754,294
000000000001,NYC Public Schools,2013,All Students,67802,24142,36,24147,36,13666,20,5847,09,20275832,299
000000000001,NYC Public Schools,2013,All Students,68124,25590,38,25162,37,12567,18,4805,07,19884774,292
000000000001,NYC Public Schools,2013,All Students,68721,25662,37,25491,37,13242,19,4326,06,20283395,295
000000000001,NYC Public Schools,2013,All Students,69805,23325,33,27445,39,12883,18,6152,09,20738538,297
000000000001,NYC Public Schools,2013,All Students,71499,27550,39,23793,33,17589,25,2567,04,21289886,298
000000000001,NYC Public Schools,2014,All Students,65960,20147,31,29113,44,8702,13,7998,12,19517234,296
000000000001,NYC Public Schools,2014,All Students,66979,24906,37,24116,36,13940,21,4017,06,19716714,294
000000000001,NYC Public Schools,2014,All Students,67493,24632,36,23664,35,12626,19,6571,10,20085985,298
000000000001,NYC Public Schools,2014,All Students,69361,21984,32,27317,39,14224,21,5836,08,20489713,295
000000000001,NYC Public Schools,2014,All Students,69592,22770,33,25143,36,14414,21,7265,10,20769571,298
000000000001,NYC Public Schools,2014,All Students,71394,27853,39,22172,31,18614,26,2755,04,21135984,296
000000000002,Large Cities,2013,All Students,7416,4557,61,2042,28,625,08,192,03,2008507,271
000000000002,Large Cities,2013,All Students,7627,4746,62,2065,27,697,09,119,02,2079410,273
000000000002,Large Cities,2013,All Students,7751,5005,65,2014,26,575,07,157,02,2120691,274
000000000002,Large Cities,2013,All Students,7845,4450,57,2576,33,520,07,299,04,2150934,274
000000000002,Large Cities,2013,All Students,7917,4723,60,2382,30,629,08,183,02,2165239,273
000000000002,Large Cities,2013,All Students,7958,5178,65,1919,24,821,10,40,01,2181437,274
000000000002,Large Cities,2014,All Students,7378,4216,57,2215,30,747,10,200,03,2011553,273
000000000002,Large Cities,2014,All Students,7609,4170,55,2732,36,453,06,254,03,2086399,274
000000000002,Large Cities,2014,All Students,7648,4951,65,1918,25,672,09,107,01,2070791,271
000000000002,Large Cities,2014,All Students,7753,5195,67,1827,24,579,07,152,02,2098511,271
000000000002,Large Cities,2014,All Students,7837,4628,59,2197,28,780,10,232,03,2147709,274
000000000002,Large Cities,2014,All Students,7852,5025,64,1862,24,895,11,70,01,2138742,272
000000000003,High Need/Resource Urban-Suburban Districts,2013,All Students,14604,6133,42,5565,38,2295,16,611,04,4191861,287
000000000003,High Need/Resource Urban-Suburban Districts,2013,All Students,14829,6042,41,6336,43,1579,11,872,06,4255425,287
000000000003,High Need/Resource Urban-Suburban Districts,2013,All Students,14830,7014,47,5317,36,2084,14,415,03,4234437,286
000000000003,High Need/Resource Urban-Suburban Districts,2013,All Students,14872,7383,50,5149,35,1898,13,442,03,4250382,286
000000000003,High Need/Resource Urban-Suburban Districts,2013,All Students,15228,7627,50,4863,32,2562,17,176,01,4375105,287
000000000003,High Need/Resource Urban-Suburban Districts,2013,All Students,15463,7037,46,5896,38,1986,13,544,04,4417306,286
000000000003,High Need/Resource Urban-Suburban Districts,2014,All Students,14145,5757,41,5550,39,2222,16,616,04,4052088,286
000000000003,High Need/Resource Urban-Suburban Districts,2014,All Students,14367,5833,41,6396,45,1382,10,756,05,4096824,285
000000000003,High Need/Resource Urban-Suburban Districts,2014,All Students,14463,7622,53,4890,34,1700,12,251,02,4053004,280
000000000003,High Need/Resource Urban-Suburban Districts,2014,All Students,14631,7685,53,4764,33,1712,12,470,03,4133568,283
000000000003,High Need/Resource Urban-Suburban Districts,2014,All Students,14677,6993,48,5126,35,2035,14,523,04,4169999,284
000000000003,High Need/Resource Urban-Suburban Districts,2014,All Students,15204,8154,54,4530,30,2358,16,162,01,4291039,282
000000000004,High Need/Resource Rural Districts,2013,All Students,11002,4951,45,3709,34,2161,20,181,02,3197373,291
000000000004,High Need/Resource Rural Districts,2013,All Students,11017,4908,45,3883,35,1773,16,453,04,3193137,290
