ENTITY_CD,ENTITY_NAME,YEAR,SUBGROUP_NAME,NUM_TESTED,LEVEL1_COUNT,LEVEL1_%TESTED,LEVEL2_COUNT,LEVEL2_%TESTED,LEVEL3_COUNT,LEVEL3_%TESTED,LEVEL4_COUNT,LEVEL4_%TESTED,TOTAL_SCALE_SCORES,MEAN_SCORE
000000000001,NYC Public Schools,2013,All Students,68418,22752,33,25895,38,10554,15,9217,13,20376673,298
000000000001,NYC Public Schools,2013,All Students,69026,29021,42,19522,28,13548,20,6935,10,20667797,299
000000000001,NYC Public Schools,2013,All Students,69227,25562,37,25788,37,11897,17,5980,09,20556458,297
000000000001,NYC Public Schools,2013,All Students,69983,31119,44,21321,30,11679,17,5864,08,20737386,296
000000000001,NYC Public Schools,2013,All Students,70990,21978,31,23940,34,15142,21,9930,14,21272430,300
000000000001,NYC Public Schools,2013,All Students,72658,23432,32,25081,35,14788,20,9357,13,21739262,299
000000000001,NYC Public Schools,2014,All Students,59784,23638,40,22515,38,9588,16,4043,07,17545766,293
000000000001,NYC Public Schools,2014,All Students,67093,21766,32,22616,34,11095,17,11616,17,20147986,300
000000000001,NYC Public Schools,2014,All Students,67912,27012,40,20750,31,13078,19,7072,10,20419435,301
000000000001,NYC Public Schools,2014,All Students,68603,22672,33,19305,28,15499,23,11127,16,21059406,307
000000000001,NYC Public Schools,2014,All Students,70694,20758,29,21638,31,15074,21,13224,19,21459848,304
000000000001,NYC Public Schools,2014,All Students,72582,21700,30,22788,31,17343,24,10751,15,21896357,302
000000000002,Large Cities,2013,All Students,7536,5339,71,1777,24,337,04,83,01,2006090,266
000000000002,Large Cities,2013,All Students,7740,5536,72,1703,22,426,06,75,01,2101140,271
000000000002,Large Cities,2013,All Students,7868,5673,72,1494,19,569,07,132,02,2140341,272
000000000002,Large Cities,2013,All Students,7996,4680,59,2515,31,548,07,253,03,2190805,274
000000000002,Large Cities,2013,All Students,8060,5013,62,2160,27,682,08,205,03,2193101,272
000000000002,Large Cities,2013,All Students,8063,4882,61,2245,28,744,09,192,02,2197121,272
000000000002,Large Cities,2014,All Students,7016,4944,70,1589,23,399,06,84,01,1864114,266
000000000002,Large Cities,2014,All Students,7642,5306,69,1648,22,540,07,148,02,2094842,274
000000000002,Large Cities,2014,All Students,7687,4358,57,2344,30,659,09,326,04,2116516,275
000000000002,Large Cities,2014,All Students,7802,5022,64,1712,22,771,10,297,04,2160587,277
000000000002,Large Cities,2014,All Students,7980,4496,56,2154,27,963,12,367,05,2196493,275
000000000002,Large Cities,2014,All Students,7989,4454,56,2212,28,956,12,367,05,2212181,277
000000000003,High Need/Resource Urban-Suburban Districts,2013,All Students,14705,7069,48,5910,40,1449,10,277,02,4181870,284
000000000003,High Need/Resource Urban-Suburban Districts,2013,All Students,14977,6429,43,6300,42,1691,11,557,04,4277882,286
000000000003,High Need/Resource Urban-Suburban Districts,2013,All Students,14980,8603,57,4649,31,1500,10,228,02,4247966,284
000000000003,High Need/Resource Urban-Suburban Districts,2013,All Students,15016,8789,59,4215,28,1660,11,352,02,4269436,284
000000000003,High Need/Resource Urban-Suburban Districts,2013,All Students,15385,7139,46,5392,35,2134,14,720,05,4392975,286
000000000003,High Need/Resource Urban-Suburban Districts,2013,All Students,15578,7216,46,5520,35,2204,14,638,04,4421609,284
000000000003,High Need/Resource Urban-Suburban Districts,2014,All Students,12440,6972,56,4550,37,836,07,82,01,3447386,277
000000000003,High Need/Resource Urban-Suburban Districts,2014,All Students,14269,7982,56,4370,31,1634,11,283,02,4072800,285
000000000003,High Need/Resource Urban-Suburban Districts,2014,All Students,14335,6220,43,5379,38,1896,13,840,06,4102988,286
000000000003,High Need/Resource Urban-Suburban Districts,2014,All Students,14666,7727,53,4099,28,2169,15,671,05,4216848,288
000000000003,High Need/Resource Urban-Suburban Districts,2014,All Students,14810,6575,44,4855,33,2401,16,979,07,4225173,285
000000000003,High Need/Resource Urban-Suburban Districts,2014,All Students,15325,6610,43,5099,33,2720,18,896,06,4406994,288
000000000004,High Need/Resource Rural Districts,2013,All Students,11006,4077,37,4212,38,2095,19,622,06,3199221,291
000000000004,High Need/Resource Rural Districts,2013,All Students,11023,4370,40,4163,38,1856,17,634,06,3202134,290
000000000004,High Need/Resource Rural Districts,2013,All Students,11034,5484,50,3506,32,1701,15,343,03,3209428,291
