name,rating,id
Afghanistan,6,4
Albania,3,8
Algeria,5.5,12
Andorra,1,20
Angola,5.5,24
Antigua and Barbuda,2,28
Argentina,2,32
Armenia,4.5,51
Australia,1,36
Austria,1,40
Azerbaijan,6,31
Bahamas,1,44
Bahrain,6.5,48
Bangladesh,4,50
Barbados,1,52
Belarus,6.5,112
Belgium,1,56
Belize,1.5,84
Benin,2,204
Bhutan,3.5,64
"Bolivia, Plurinational State of",3,68
Bosnia and Herzegovina,3.5,70
Botswana,2.5,72
Brazil,2,76
Brunei Darussalam,5.5,96
Bulgaria,2,100
Burkina Faso,4.5,854
Burundi,5.5,108
Cambodia,5.5,116
Cameroon,6,120
Canada,1,124
Cape Verde,1,132
Central African Republic,7,140
Chad,6.5,148
Chile,1,152
China,6.5,156
Colombia,3.5,170
Comoros,3.5,174
"Congo, the Democratic Republic of the",6,180
Congo,5.5,178
Costa Rica,1,188
Croatia,1.5,191
Cuba,6.5,192
Cyprus,1,196
Czech Republic,1,203
C™te d'Ivoire,4.5,384
Denmark,1,208
Djibouti,5.5,262
Dominica,1,212
Dominican Republic,2.5,214
Timor-Leste,3,626
Ecuador,3,218
Egypt,5.5,818
El Salvador,2.5,222
Equatorial Guinea,7,226
Eritrea,7,232
Estonia,1,233
Ethiopia,6,231
Fiji,3.5,242
Finland,1,246
France,1,250
Gabon,5.5,266
Gambia,6,270
Georgia,3,268
Germany,1,276
Ghana,1.5,288
Greece,2,300
Grenada,1.5,308
Guatemala,3.5,320
Guinea,5,324
Guinea-Bissau,5,624
Guyana,2.5,328
Haiti,5,332
Honduras,4,340
Hungary,2,348
Iceland,1,352
India,2.5,356
Indonesia,3,360
"Iran, Islamic Republic of",6,364
Iraq,6,368
Ireland,1,372
Israel,1.5,376
Italy,1,380
Jamaica,2.5,388
Japan,1,392
Jordan,5.5,400
Kazakhstan,5.5,398
Kenya,4,404
Kiribati,1,296
Kosovo,4,-2
Kuwait,5,414
Kyrgyzstan,5,417
Lao People's Democratic Republic,6.5,418
Latvia,2,428
Lebanon,4.5,422
Lesotho,2.5,426
Liberia,3.5,430
Libya,6,434
Liechtenstein,1,438
Lithuania,1,440
Luxembourg,1,442
"Macedonia, the former Yugoslav Republic of",3.5,807
Madagascar,4,450
Malawi,3.5,454
Malaysia,4,458
Maldives,4,462
Mali,4.5,466
Malta,1,470
Marshall Islands,1,584
Mauritania,5.5,478
Mauritius,1.5,480
Mexico,3,484
"Micronesia, Federated States of",1,583
"Moldova, Republic of",3,498
Monaco,1.5,492
Mongolia,1.5,496
Montenegro,2.5,499
Morocco,4.5,504
Mozambique,3.5,508
Myanmar,6,104
Namibia,2,516
Nauru,1.5,520
Nepal,3.5,524
Netherlands,1,528
New Zealand,1,554
Nicaragua,3.5,558
Niger,3.5,562
Nigeria,4.5,566
"Korea, Democratic People's Republic of",7,408
Norway,1,578
Oman,5.5,512
Pakistan,4.5,586
Palau,1,585
Panama,2,591
Papua New Guinea,3.5,598
Paraguay,3,600
Peru,2.5,604
Philippines,3,608
Poland,1,616
Portugal,1,620
Qatar,5.5,634
Romania,2,642
Russian Federation,6,643
Rwanda,6,646
Samoa,2,882
San Marino,1,674
Saudi Arabia,7,682
Senegal,2,686
Serbia,2,688
Seychelles,3,690
Sierra Leone,3,694
Singapore,4,702
Slovakia,1,703
Slovenia,1,705
Solomon Islands,3,90
Somalia,7,706
South Africa,2,710
"Korea, Republic of",2,410
South Sudan,6.5,728
Spain,1,724
Sri Lanka,5,144
Saint Kitts and Nevis,1,659
Saint Lucia,1,662
Saint Vincent and the Grenadines,1,670
Sudan,7,729
Suriname,2,740
Swaziland,6,748
Sweden,1,752
Switzerland,1,756
Syrian Arab Republic,7,760
Sao Tome and Principe,2,678
"Taiwan, Province of China",1.5,158
Tajikistan,6,762
"Tanzania, United Republic of",3,834
Thailand,5.5,764
United Arab Emirates,6,784
Togo,4,768
Tonga,2,776
Trinidad and Tobago,2,780
Tunisia,2,788
Turkey,3.5,792
Turkmenistan,7,795
Tuvalu,1,798
Uganda,5.5,800
Ukraine,3,804
United Kingdom,1,826
United States,1,840
Uruguay,1,858
Uzbekistan,7,860
Vanuatu,2,548
"Venezuela, Bolivarian Republic of",5,862
Viet Nam,6,704
Yemen,6,887
Zambia,3.5,894
Zimbabwe,5.5,716
