name,freedom,hdi,life_expectancy,schooling_years,income,birthrate,id
Afghanistan,6,0.468,60.9,3.2,1903,4.9,4
Albania,3,0.716,77.4,9.3,9225.05,1.8,8
Algeria,5.5,0.717,71,7.6,12554.57,2.8,12
Andorra,1,0.83,81.2,10.4,40597.12,,20
Angola,5.5,0.526,51.9,4.7,6322.94,5.9,24
Antigua and Barbuda,2,0.774,76,8.9,18800.32,2.1,28
Argentina,2,0.808,76.3,9.8,17296.7,2.2,32
Armenia,4.5,0.73,74.6,10.8,7952.35,1.7,51
Australia,1,0.933,82.5,12.8,41523.94,1.9,36
Austria,1,0.881,81.1,10.8,42929.64,1.4,40
Azerbaijan,6,0.747,70.8,11.2,15725.27,2,31
Bahamas,1,0.789,75.2,10.9,21414.27,1.9,44
Bahrain,6.5,0.815,76.6,9.4,32072.13,2.1,48
Bangladesh,4,0.558,70.7,5.1,2713.09,2.2,50
Barbados,1,0.776,75.4,9.4,13603.98,1.8,52
Belarus,6.5,0.786,69.9,11.5,16403.22,1.6,112
Belgium,1,0.881,80.5,10.9,39470.9,1.8,56
Belize,1.5,0.732,73.9,9.3,9363.83,2.7,84
Benin,2,0.476,59.3,3.2,1725.83,4.8,204
Bhutan,3.5,0.584,68.3,2.3,6774.89,2.2,64
Bolivia (Plurinational State of),3,0.667,67.3,9.2,5551.94,3.2,68
Bosnia and Herzegovina,3.5,0.731,76.4,8.3,9430.78,1.3,70
Botswana,2.5,0.683,64.4,8.8,14791.95,2.6,72
Brazil,2,0.744,73.9,7.2,14274.77,1.8,76
Brunei Darussalam,5.5,0.852,78.5,8.7,70883.48,2,96
Bulgaria,2,0.777,73.5,10.6,15401.58,1.5,100
Burkina Faso,4.5,0.388,56.3,1.3,1601.51,5.6,854
Burundi,5.5,0.389,54.1,2.7,749.11,6,108
Cambodia,5.5,0.584,71.9,5.8,2805.43,2.9,116
Cameroon,6,0.504,55.1,5.9,2556.7,4.8,120
Canada,1,0.902,81.5,12.3,41886.82,1.6,124
Cape Verde,1,0.636,75.1,3.5,6364.83,2.3,132
Central African Republic,7,0.341,50.2,3.5,587.86,4.4,140
Chad,6.5,0.372,51.2,1.5,1621.77,6.3,148
Chile,1,0.822,80,9.8,20804.03,1.8,152
China,6.5,0.719,75.3,7.5,11477.15,1.7,156
Colombia,3.5,0.711,74,7.1,11526.53,2.3,170
Comoros,3.5,0.488,60.9,2.8,1504.87,4.7,174
Congo,5.5,0.564,58.8,6.1,4909.37,5,178
Congo (Democratic Republic of the),6,0.338,50,3.1,443.96,5.9,180
Costa Rica,1,0.763,79.9,8.4,13011.71,1.8,188
C™te d'Ivoire,4.5,0.452,50.7,4.3,2774.27,4.9,191
Croatia,1.5,0.812,77,11,19024.93,1.5,192
Cuba,6.5,0.815,79.3,10.2,19844.1,1.4,196
Cyprus,1,0.845,79.8,11.6,26770.73,1.5,203
Czech Republic,1,0.861,77.7,12.3,24534.55,1.5,384
Denmark,1,0.9,79.4,12.1,42880.28,1.7,208
Djibouti,5.5,0.467,61.8,3.8,3108.91,3.4,262
Dominica,1,0.717,77.7,7.7,9234.74,,212
Dominican Republic,2.5,0.7,73.4,7.5,10844.19,2.5,214
Timor-Leste,3,0.62,67.5,4.4,9673.61,5.2,626
Ecuador,3,0.711,76.5,7.6,9997.96,2.6,218
Egypt,5.5,0.682,71.2,6.4,10399.77,2.8,818
El Salvador,2.5,0.662,72.6,6.5,7240.34,2.2,222
Equatorial Guinea,7,0.556,53.1,5.4,21972.27,4.8,226
Eritrea,7,0.381,62.9,3.4,1146.89,4.7,232
Estonia,1,0.84,74.4,12,23387.24,1.6,233
Ethiopia,6,0.435,63.6,2.4,1302.64,4.5,231
Fiji,3.5,0.724,69.8,9.9,7213.85,2.6,242
Finland,1,0.879,80.5,10.3,37366.07,1.8,246
France,1,0.884,81.8,11.1,36628.78,2,250
Gabon,5.5,0.674,63.5,7.4,16976.54,4.1,266
Gambia,6,0.441,58.8,2.8,1557.31,5.8,270
Georgia,3,0.744,74.3,12.1,6889.52,1.8,268
Germany,1,0.911,80.7,12.9,43048.68,1.4,276
Ghana,1.5,0.573,61.1,7,3532.33,3.9,288
Greece,2,0.853,80.8,10.2,24657.99,1.3,300
Grenada,1.5,0.744,72.8,8.6,10338.92,2.2,308
Guatemala,3.5,0.628,72.1,5.6,6865.97,3.8,320
Guinea,5,0.392,56.1,1.6,1141.86,4.9,324
Guinea-Bissau,5,0.396,54.3,2.3,1090.15,4.9,624
Guyana,2.5,0.638,66.3,8.5,6340.8,2.5,328
Haiti,5,0.471,63.1,4.9,1635.69,3.1,332
Honduras,4,0.617,73.8,5.5,4137.65,3,340
Hungary,2,0.818,74.6,11.3,21239.13,1.3,348
Iceland,1,0.895,82.1,10.4,35116.46,2,352
India,2.5,0.586,66.4,4.4,5149.81,2.5,356
Indonesia,3,0.684,70.8,7.5,8970.35,2.3,360
Iran (Islamic Republic of),6,0.749,74,7.8,13450.7,1.9,364
Iraq,6,0.642,69.4,5.6,14007.32,4,368
Ireland,1,0.899,80.7,11.6,33414.4,2,372
Israel,1.5,0.888,81.8,12.5,29966.2,3,376
Italy,1,0.872,82.4,10.1,32668.99,1.4,380
Jamaica,2.5,0.715,73.5,9.6,8170.21,2.3,388
Japan,1,0.89,83.6,11.5,36746.83,1.4,392
Jordan,5.5,0.745,73.9,9.9,11337.03,3.2,400
Kazakhstan,5.5,0.757,66.5,10.4,19440.65,2.6,398
Kenya,4,0.535,61.7,6.3,2157.94,4.4,404
Kiribati,1,0.607,68.9,7.8,2644.66,3,296
South Korea,2,0.891,81.5,11.8,30345.35,1.2,410
Kuwait,5,0.814,74.3,7.2,85819.68,2.6,414
Kyrgyzstan,5,0.628,67.5,9.3,3021.47,3.2,417
Lao People's Democratic Republic,6.5,0.569,68.3,4.6,4351.27,3,418
Latvia,2,0.81,72.2,11.5,22185.73,1.4,428
Lebanon,4.5,0.765,80,7.9,16263.34,1.5,422
Lesotho,2.5,0.486,49.4,5.9,2797.89,3,426
Liberia,3.5,0.412,60.6,3.9,752,4.8,430
Libya,6,0.784,75.3,7.5,21665.64,2.4,434
Liechtenstein,1,0.889,79.9,10.3,87085.09,1.5,438
Lithuania,1,0.834,72.1,12.4,23740.31,1.6,440
Luxembourg,1,0.881,80.5,11.3,58694.72,1.6,442
Macedonia,3.5,0.732,75.2,8.2,11744.85,1.4,807
Madagascar,4,0.498,64.7,5.2,1333.45,4.5,450
Malawi,3.5,0.414,55.3,4.2,714.94,5.4,454
Malaysia,4,0.773,75,9.5,21823.93,2,458
Maldives,4,0.698,77.9,5.8,10073.97,2.3,462
Mali,4.5,0.407,55,2,1499.38,6.8,466
Malta,1,0.829,79.8,9.9,27022.18,1.4,470
Mauritania,5.5,0.487,61.6,3.7,2988.15,4.7,478
Mauritius,1.5,0.771,73.6,8.5,16776.9,1.4,584
Mexico,3,0.756,77.5,8.5,15854.09,2.2,484
Micronesia (Federated States of),1,0.63,69,8.8,3662.01,3.3,583
Moldova (Republic of),3,0.663,68.9,9.8,5041.2,1.5,498
Mongolia,1.5,0.698,67.5,8.3,8465.76,2.4,496
Montenegro,2.5,0.789,74.8,10.5,14710.23,1.7,499
Morocco,4.5,0.617,70.9,4.4,6905.18,2.7,504
Mozambique,3.5,0.393,50.3,3.2,1011.04,5.2,508
Myanmar,6,0.524,65.2,4,3998.06,1.9,104
Namibia,2,0.624,64.5,6.2,9185.47,3.1,516
Nepal,3.5,0.54,68.4,3.2,2193.98,2.3,524
Netherlands,1,0.915,81,11.9,42397.2,1.7,528
New Zealand,1,0.91,81.1,12.5,32569.37,2,554
Nicaragua,3.5,0.614,74.8,5.8,4266,2.5,558
Niger,3.5,0.337,58.4,1.4,872.53,7.6,562
Nigeria,4.5,0.504,52.5,5.2,5353.38,6,566
Norway,1,0.944,81.5,12.6,63909.45,1.9,578
Oman,5.5,0.783,76.6,6.8,42191.36,2.9,512
Pakistan,4.5,0.537,66.6,4.7,4651.64,3.2,586
Palau,1,0.775,72.4,12.2,12822.58,,585
Panama,2,0.765,77.6,9.4,16379,2.5,591
Papua New Guinea,3.5,0.491,62.4,3.9,2452.98,3.8,598
Paraguay,3,0.676,72.3,7.7,7579.65,2.9,600
Peru,2.5,0.737,74.8,9,11279.88,2.4,604
Philippines,3,0.66,68.7,8.9,6381.44,3,608
Poland,1,0.834,76.4,11.8,21487.18,1.3,616
Portugal,1,0.822,79.9,8.2,24130.07,1.3,620
Qatar,5.5,0.851,78.4,9.1,119029.12,2,634
Romania,2,0.785,73.8,10.7,17432.66,1.5,642
Russian Federation,6,0.778,68,11.7,22616.58,1.7,643
Rwanda,6,0.506,64.1,3.3,1403.26,4.5,646
Saint Kitts and Nevis,1,0.75,73.6,8.4,20150.05,,659
Saint Lucia,1,0.714,74.8,8.3,9250.98,1.9,662
Saint Vincent and the Grenadines,1,0.719,72.5,8.6,10339.02,2,670
Samoa,2,0.694,73.2,10.3,4707.91,4.1,882
Sao Tome and Principe,2,0.558,66.3,4.7,3110.65,4.1,678
Saudi Arabia,7,0.836,75.5,8.7,52109.36,2.6,682
Senegal,2,0.485,63.5,4.5,2169.26,4.9,686
Serbia,2,0.745,74.1,9.5,11300.9,1.5,688
Seychelles,3,0.756,73.2,9.4,24631.83,2.4,690
Sierra Leone,3,0.374,45.6,2.9,1815.1,4.7,694
Singapore,4,0.901,82.3,10.2,72371.23,1.2,702
Slovakia,1,0.83,75.4,11.6,25336.07,1.3,703
Slovenia,1,0.874,79.6,11.9,26808.6,1.6,705
Solomon Islands,3,0.491,67.7,4.5,1384.57,4,90
South Africa,2,0.658,56.9,9.9,11787.91,2.4,710
Spain,1,0.869,82.1,9.6,30561.47,1.3,724
Sri Lanka,5,0.75,74.3,10.8,9249.91,2.3,144
Sudan,7,0.473,62.1,3.1,3428.12,4.4,729
Suriname,2,0.705,71,7.7,15112.77,2.3,740
Swaziland,6,0.53,49,7.1,5536.44,3.3,748
Sweden,1,0.898,81.8,11.7,43201.35,1.9,752
Switzerland,1,0.917,82.6,12.2,53761.92,1.5,756
Syrian Arab Republic,7,0.658,74.6,6.6,5771.23,3,760
Tajikistan,6,0.607,67.2,9.9,2424.39,3.8,762
Tanzania (United Republic of),3,0.488,61.5,5.1,1702.12,5.2,834
Thailand,5.5,0.722,74.4,7.3,13364.3,1.4,764
Togo,4,0.473,56.5,5.3,1128.74,4.6,768
Tonga,2,0.705,72.7,9.4,5315.73,3.8,776
Trinidad and Tobago,2,0.766,69.9,10.8,25325.06,1.8,780
Tunisia,2,0.721,75.9,6.5,10439.7,2.3,788
Turkey,3.5,0.759,75.3,7.6,18391.4,2,792
Turkmenistan,7,0.698,65.5,9.9,11533.11,2.3,795
Uganda,5.5,0.484,59.2,5.4,1335.15,5.9,800
Ukraine,3,0.734,68.5,11.3,8214.53,1.5,804
United Arab Emirates,6,0.827,76.8,9.1,58068.22,1.8,784
United Kingdom,1,0.892,80.5,12.3,35001.63,1.9,826
United States,1,0.914,78.9,12.9,52308.38,1.9,840
Uruguay,1,0.79,77.2,8.5,18108.11,2,858
Uzbekistan,7,0.661,68.2,10,5227.37,2.2,860
Vanuatu,2,0.616,71.6,9,2652.4,3.4,548
Venezuela (Bolivarian Republic of),5,0.764,74.6,8.6,17066.62,2.4,862
Viet Nam,6,0.638,75.9,5.5,4892.41,1.7,704
Yemen,6,0.5,63.1,2.5,3945.18,4.1,887
Zambia,3.5,0.561,58.1,6.5,2898.19,5.7,894
Zimbabwe,5.5,0.492,59.9,7.2,1307.41,3.5,716
