GHO,Indicator,Year,Region_Code,Region,Country_Code,Country,Numeric_Value
WHS3_48,Malaria,2001,AFR,Africa,BFA,Burkina Faso,0
WHS3_48,Malaria,2002,AFR,Africa,BFA,Burkina Faso,0
WHS3_48,Malaria,2003,AFR,Africa,BFA,Burkina Faso,0
WHS3_48,Malaria,2009,AFR,Africa,CMR,Cameroon,0
WHS3_48,Malaria,2000,AFR,Africa,SWZ,Swaziland,0
WHS3_48,Malaria,2007,AFR,Africa,ZMB,Zambia,0
WHS3_48,Malaria,2008,AFR,Africa,ZMB,Zambia,0
WHS3_48,Malaria,2009,AFR,Africa,ZMB,Zambia,0
WHS3_48,Malaria,2011,AMR,Americas,ARG,Argentina,0
WHS3_48,Malaria,2012,AMR,Americas,ARG,Argentina,0
WHS3_48,Malaria,2011,AMR,Americas,PRY,Paraguay,0
WHS3_48,Malaria,2012,AMR,Americas,PRY,Paraguay,0
WHS3_48,Malaria,2009,EMR,Eastern Mediterranean,IRQ,Iraq,0
WHS3_48,Malaria,2010,EMR,Eastern Mediterranean,IRQ,Iraq,0
WHS3_48,Malaria,2011,EMR,Eastern Mediterranean,IRQ,Iraq,0
WHS3_48,Malaria,2012,EMR,Eastern Mediterranean,IRQ,Iraq,0
WHS3_48,Malaria,2010,EUR,Europe,GEO,Georgia,0
WHS3_48,Malaria,2011,EUR,Europe,KGZ,Kyrgyzstan,0
WHS3_48,Malaria,2012,EUR,Europe,KGZ,Kyrgyzstan,0
WHS3_48,Malaria,2011,EUR,Europe,TUR,Turkey,0
WHS3_48,Malaria,2009,EUR,Europe,UZB,Uzbekistan,0
WHS3_48,Malaria,2011,EUR,Europe,UZB,Uzbekistan,0
WHS3_48,Malaria,2012,EUR,Europe,UZB,Uzbekistan,0
WHS3_48,Malaria,2006,AFR,Africa,DZA,Algeria,1
WHS3_48,Malaria,2012,AFR,Africa,CPV,Cabo Verde,1
WHS3_48,Malaria,2009,EUR,Europe,GEO,Georgia,1
WHS3_48,Malaria,2011,EUR,Europe,GEO,Georgia,1
WHS3_48,Malaria,2012,EUR,Europe,GEO,Georgia,1
WHS3_48,Malaria,2005,AFR,Africa,DZA,Algeria,2
WHS3_48,Malaria,2007,AFR,Africa,CPV,Cabo Verde,2
WHS3_48,Malaria,2007,EMR,Eastern Mediterranean,IRQ,Iraq,2
WHS3_48,Malaria,2008,EMR,Eastern Mediterranean,IRQ,Iraq,2
WHS3_48,Malaria,2004,AFR,Africa,DZA,Algeria,3
WHS3_48,Malaria,2012,EUR,Europe,AZE,Azerbaijan,3
WHS3_48,Malaria,2010,EUR,Europe,KGZ,Kyrgyzstan,3
WHS3_48,Malaria,2010,EUR,Europe,UZB,Uzbekistan,3
WHS3_48,Malaria,2008,AFR,Africa,DZA,Algeria,4
WHS3_48,Malaria,2009,AFR,Africa,DZA,Algeria,4
WHS3_48,Malaria,2011,AFR,Africa,DZA,Algeria,4
WHS3_48,Malaria,2011,EUR,Europe,AZE,Azerbaijan,4
WHS3_48,Malaria,2009,EUR,Europe,KGZ,Kyrgyzstan,4
WHS3_48,Malaria,2003,AFR,Africa,DZA,Algeria,6
WHS3_48,Malaria,2008,EUR,Europe,GEO,Georgia,6
WHS3_48,Malaria,2012,AMR,Americas,CRI,Costa Rica,7
WHS3_48,Malaria,2000,EUR,Europe,KGZ,Kyrgyzstan,7
WHS3_48,Malaria,2008,EUR,Europe,UZB,Uzbekistan,7
WHS3_48,Malaria,2001,AFR,Africa,DZA,Algeria,8
WHS3_48,Malaria,2002,AFR,Africa,DZA,Algeria,8
WHS3_48,Malaria,2010,EUR,Europe,TUR,Turkey,9
WHS3_48,Malaria,2001,EUR,Europe,UZB,Uzbekistan,9
WHS3_48,Malaria,2009,AMR,Americas,SLV,El Salvador,10
WHS3_48,Malaria,2011,AMR,Americas,SLV,El Salvador,10
WHS3_48,Malaria,2011,AMR,Americas,CRI,Costa Rica,11
WHS3_48,Malaria,2002,EUR,Europe,UZB,Uzbekistan,11
WHS3_48,Malaria,2010,AFR,Africa,DZA,Algeria,12
WHS3_48,Malaria,2012,AMR,Americas,SLV,El Salvador,13
WHS3_48,Malaria,2001,EUR,Europe,KGZ,Kyrgyzstan,15
WHS3_48,Malaria,2008,AFR,Africa,CPV,Cabo Verde,16
WHS3_48,Malaria,2010,AMR,Americas,SLV,El Salvador,17
WHS3_48,Malaria,2010,AFR,Africa,CPV,Cabo Verde,18
WHS3_48,Malaria,2010,AMR,Americas,PRY,Paraguay,18
WHS3_48,Malaria,2008,EUR,Europe,KGZ,Kyrgyzstan,18
WHS3_48,Malaria,2012,EUR,Europe,TJK,Tajikistan,18
WHS3_48,Malaria,2008,AMR,Americas,SLV,El Salvador,21
WHS3_48,Malaria,2007,AMR,Americas,SLV,El Salvador,22
WHS3_48,Malaria,2006,EMR,Eastern Mediterranean,IRQ,Iraq,23
WHS3_48,Malaria,2012,SEAR,South-East Asia,LKA,Sri Lanka,23
WHS3_48,Malaria,2007,EUR,Europe,GEO,Georgia,24
WHS3_48,Malaria,2012,EMR,Eastern Mediterranean,DJI,Djibouti,25
WHS3_48,Malaria,2010,AMR,Americas,ARG,Argentina,26
WHS3_48,Malaria,2007,AFR,Africa,DZA,Algeria,27
WHS3_48,Malaria,2010,EMR,Eastern Mediterranean,SAU,Saudi Arabia,29
WHS3_48,Malaria,2007,EUR,Europe,UZB,Uzbekistan,30
WHS3_48,Malaria,2004,EUR,Europe,UZB,Uzbekistan,31
WHS3_48,Malaria,2004,AFR,Africa,CPV,Cabo Verde,32
WHS3_48,Malaria,2003,EUR,Europe,UZB,Uzbekistan,33
WHS3_48,Malaria,2000,AFR,Africa,DZA,Algeria,35
WHS3_48,Malaria,2011,AFR,Africa,CPV,Cabo Verde,36
WHS3_48,Malaria,2012,AMR,Americas,BLZ,Belize,37
WHS3_48,Malaria,2009,EUR,Europe,TUR,Turkey,38
WHS3_48,Malaria,2005,EMR,Eastern Mediterranean,IRQ,Iraq,44
WHS3_48,Malaria,2000,EUR,Europe,UZB,Uzbekistan,46
WHS3_48,Malaria,2003,AFR,Africa,CPV,Cabo Verde,48
WHS3_48,Malaria,2006,AMR,Americas,SLV,El Salvador,49
WHS3_48,Malaria,2010,EUR,Europe,AZE,Azerbaijan,50
WHS3_48,Malaria,2005,AFR,Africa,CPV,Cabo Verde,54
WHS3_48,Malaria,2002,AFR,Africa,CPV,Cabo Verde,58
WHS3_48,Malaria,2008,AFR,Africa,SWZ,Swaziland,58
WHS3_48,Malaria,2009,EMR,Eastern Mediterranean,SAU,Saudi Arabia,58
WHS3_48,Malaria,2006,EUR,Europe,GEO,Georgia,58
WHS3_48,Malaria,2012,AFR,Africa,DZA,Algeria,59
WHS3_48,Malaria,2006,EUR,Europe,UZB,Uzbekistan,60
WHS3_48,Malaria,2008,EMR,Eastern Mediterranean,SAU,Saudi Arabia,61
WHS3_48,Malaria,2006,AFR,Africa,CPV,Cabo Verde,63
WHS3_48,Malaria,2005,AMR,Americas,SLV,El Salvador,63
WHS3_48,Malaria,2005,EUR,Europe,UZB,Uzbekistan,64
WHS3_48,Malaria,2009,AFR,Africa,CPV,Cabo Verde,65
WHS3_48,Malaria,2011,EUR,Europe,TJK,Tajikistan,65
WHS3_48,Malaria,2008,AFR,Africa,TZA,United Republic of Tanzania,67
WHS3_48,Malaria,2011,EMR,Eastern Mediterranean,SAU,Saudi Arabia,69
WHS3_48,Malaria,2008,EUR,Europe,AZE,Azerbaijan,72
WHS3_48,Malaria,2009,EUR,Europe,AZE,Azerbaijan,78
WHS3_48,Malaria,2011,AMR,Americas,BLZ,Belize,79
WHS3_48,Malaria,2009,AMR,Americas,PRY,Paraguay,79
WHS3_48,Malaria,2012,EMR,Eastern Mediterranean,SAU,Saudi Arabia,82
WHS3_48,Malaria,2012,SEAR,South-East Asia,BTN,Bhutan,82
WHS3_48,Malaria,2007,AFR,Africa,SWZ,Swaziland,84
WHS3_48,Malaria,2003,AMR,Americas,SLV,El Salvador,85
WHS3_48,Malaria,2009,AMR,Americas,ARG,Argentina,86
WHS3_48,Malaria,2004,EUR,Europe,KGZ,Kyrgyzstan,91
WHS3_48,Malaria,2007,EUR,Europe,KGZ,Kyrgyzstan,96
WHS3_48,Malaria,2001,AFR,Africa,CPV,Cabo Verde,100
WHS3_48,Malaria,2009,AFR,Africa,SWZ,Swaziland,106
WHS3_48,Malaria,2007,EUR,Europe,AZE,Azerbaijan,108
WHS3_48,Malaria,2010,AMR,Americas,CRI,Costa Rica,110
WHS3_48,Malaria,2010,EUR,Europe,TJK,Tajikistan,111
WHS3_48,Malaria,2004,AMR,Americas,SLV,El Salvador,112
WHS3_48,Malaria,2004,AMR,Americas,ARG,Argentina,115
WHS3_48,Malaria,2002,AMR,Americas,SLV,El Salvador,117
