GHO,Indicator,Year,Region_Code,Region,Country_Code,Country,Numeric_Value
MALARIA001,Malaria,2009,AFR,Africa,DZA,Algeria,0
MALARIA001,Malaria,2008,AFR,Africa,DZA,Algeria,0
MALARIA001,Malaria,2012,AFR,Africa,DZA,Algeria,0
MALARIA001,Malaria,2011,AFR,Africa,DZA,Algeria,0
MALARIA001,Malaria,2001,AFR,Africa,CPV,Cabo Verde,0
MALARIA001,Malaria,2012,AFR,Africa,CPV,Cabo Verde,0
MALARIA001,Malaria,2010,AMR,Americas,ARG,Argentina,0
MALARIA001,Malaria,2008,AMR,Americas,ARG,Argentina,0
MALARIA001,Malaria,2007,AMR,Americas,ARG,Argentina,0
MALARIA001,Malaria,2009,AMR,Americas,ARG,Argentina,0
MALARIA001,Malaria,2012,AMR,Americas,ARG,Argentina,0
MALARIA001,Malaria,2011,AMR,Americas,ARG,Argentina,0
MALARIA001,Malaria,2006,AMR,Americas,ARG,Argentina,0
MALARIA001,Malaria,2002,AMR,Americas,ARG,Argentina,0
MALARIA001,Malaria,2001,AMR,Americas,ARG,Argentina,0
MALARIA001,Malaria,2000,AMR,Americas,ARG,Argentina,0
MALARIA001,Malaria,2005,AMR,Americas,ARG,Argentina,0
MALARIA001,Malaria,2004,AMR,Americas,ARG,Argentina,0
MALARIA001,Malaria,2002,AMR,Americas,BLZ,Belize,0
MALARIA001,Malaria,2001,AMR,Americas,BLZ,Belize,0
MALARIA001,Malaria,2005,AMR,Americas,BLZ,Belize,0
MALARIA001,Malaria,2000,AMR,Americas,BLZ,Belize,0
MALARIA001,Malaria,2009,AMR,Americas,BLZ,Belize,0
MALARIA001,Malaria,2008,AMR,Americas,BLZ,Belize,0
MALARIA001,Malaria,2007,AMR,Americas,BLZ,Belize,0
MALARIA001,Malaria,2012,AMR,Americas,BLZ,Belize,0
MALARIA001,Malaria,2011,AMR,Americas,BLZ,Belize,0
MALARIA001,Malaria,2010,AMR,Americas,BLZ,Belize,0
MALARIA001,Malaria,2007,AMR,Americas,BOL,Bolivia (Plurinational State of),0
MALARIA001,Malaria,2011,AMR,Americas,BOL,Bolivia (Plurinational State of),0
MALARIA001,Malaria,2010,AMR,Americas,BOL,Bolivia (Plurinational State of),0
MALARIA001,Malaria,2012,AMR,Americas,BOL,Bolivia (Plurinational State of),0
MALARIA001,Malaria,2008,AMR,Americas,BOL,Bolivia (Plurinational State of),0
MALARIA001,Malaria,2009,AMR,Americas,BOL,Bolivia (Plurinational State of),0
MALARIA001,Malaria,2001,AMR,Americas,BOL,Bolivia (Plurinational State of),0
MALARIA001,Malaria,2006,AMR,Americas,BOL,Bolivia (Plurinational State of),0
MALARIA001,Malaria,2005,AMR,Americas,BOL,Bolivia (Plurinational State of),0
MALARIA001,Malaria,2006,AMR,Americas,CRI,Costa Rica,0
MALARIA001,Malaria,2005,AMR,Americas,CRI,Costa Rica,0
MALARIA001,Malaria,2004,AMR,Americas,CRI,Costa Rica,0
MALARIA001,Malaria,2008,AMR,Americas,CRI,Costa Rica,0
MALARIA001,Malaria,2007,AMR,Americas,CRI,Costa Rica,0
MALARIA001,Malaria,2003,AMR,Americas,CRI,Costa Rica,0
MALARIA001,Malaria,2011,AMR,Americas,CRI,Costa Rica,0
MALARIA001,Malaria,2010,AMR,Americas,CRI,Costa Rica,0
MALARIA001,Malaria,2012,AMR,Americas,CRI,Costa Rica,0
MALARIA001,Malaria,2002,AMR,Americas,CRI,Costa Rica,0
MALARIA001,Malaria,2001,AMR,Americas,CRI,Costa Rica,0
MALARIA001,Malaria,2000,AMR,Americas,CRI,Costa Rica,0
MALARIA001,Malaria,2006,AMR,Americas,ECU,Ecuador,0
MALARIA001,Malaria,2005,AMR,Americas,ECU,Ecuador,0
MALARIA001,Malaria,2004,AMR,Americas,ECU,Ecuador,0
MALARIA001,Malaria,2012,AMR,Americas,ECU,Ecuador,0
MALARIA001,Malaria,2011,AMR,Americas,ECU,Ecuador,0
MALARIA001,Malaria,2007,AMR,Americas,ECU,Ecuador,0
MALARIA001,Malaria,2003,AMR,Americas,ECU,Ecuador,0
MALARIA001,Malaria,2010,AMR,Americas,ECU,Ecuador,0
MALARIA001,Malaria,2009,AMR,Americas,ECU,Ecuador,0
MALARIA001,Malaria,2002,AMR,Americas,ECU,Ecuador,0
MALARIA001,Malaria,2001,AMR,Americas,ECU,Ecuador,0
MALARIA001,Malaria,2000,AMR,Americas,ECU,Ecuador,0
MALARIA001,Malaria,2012,AMR,Americas,SLV,El Salvador,0
MALARIA001,Malaria,2006,AMR,Americas,SLV,El Salvador,0
MALARIA001,Malaria,2005,AMR,Americas,SLV,El Salvador,0
MALARIA001,Malaria,2008,AMR,Americas,SLV,El Salvador,0
MALARIA001,Malaria,2007,AMR,Americas,SLV,El Salvador,0
MALARIA001,Malaria,2000,AMR,Americas,SLV,El Salvador,0
MALARIA001,Malaria,2004,AMR,Americas,SLV,El Salvador,0
MALARIA001,Malaria,2010,AMR,Americas,SLV,El Salvador,0
MALARIA001,Malaria,2009,AMR,Americas,SLV,El Salvador,0
MALARIA001,Malaria,2011,AMR,Americas,SLV,El Salvador,0
MALARIA001,Malaria,2003,AMR,Americas,SLV,El Salvador,0
MALARIA001,Malaria,2002,AMR,Americas,SLV,El Salvador,0
MALARIA001,Malaria,2001,AMR,Americas,SLV,El Salvador,0
MALARIA001,Malaria,2009,AMR,Americas,GTM,Guatemala,0
MALARIA001,Malaria,2010,AMR,Americas,GTM,Guatemala,0
MALARIA001,Malaria,2008,AMR,Americas,GTM,Guatemala,0
MALARIA001,Malaria,2000,AMR,Americas,GTM,Guatemala,0
MALARIA001,Malaria,2012,AMR,Americas,GTM,Guatemala,0
MALARIA001,Malaria,2011,AMR,Americas,GTM,Guatemala,0
MALARIA001,Malaria,2003,AMR,Americas,GTM,Guatemala,0
MALARIA001,Malaria,2002,AMR,Americas,GTM,Guatemala,0
MALARIA001,Malaria,2001,AMR,Americas,GTM,Guatemala,0
MALARIA001,Malaria,2010,AMR,Americas,HTI,Haiti,0
MALARIA001,Malaria,2012,AMR,Americas,HTI,Haiti,0
MALARIA001,Malaria,2002,AMR,Americas,HND,Honduras,0
MALARIA001,Malaria,2001,AMR,Americas,HND,Honduras,0
MALARIA001,Malaria,2000,AMR,Americas,HND,Honduras,0
MALARIA001,Malaria,2004,AMR,Americas,HND,Honduras,0
MALARIA001,Malaria,2003,AMR,Americas,HND,Honduras,0
MALARIA001,Malaria,2006,AMR,Americas,HND,Honduras,0
MALARIA001,Malaria,2005,AMR,Americas,MEX,Mexico,0
MALARIA001,Malaria,2004,AMR,Americas,MEX,Mexico,0
MALARIA001,Malaria,2003,AMR,Americas,MEX,Mexico,0
MALARIA001,Malaria,2008,AMR,Americas,MEX,Mexico,0
MALARIA001,Malaria,2007,AMR,Americas,MEX,Mexico,0
MALARIA001,Malaria,2006,AMR,Americas,MEX,Mexico,0
MALARIA001,Malaria,2002,AMR,Americas,MEX,Mexico,0
MALARIA001,Malaria,2009,AMR,Americas,MEX,Mexico,0
