GHO,Indicator,Year,Region_Code,WHO_region,WORLDBANKINCOMEGROUPCODE,World_Bank_income_group,Country_Code,Country,Numeric_Value
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1985,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1986,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1987,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1988,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1989,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1990,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1991,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1992,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1993,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1994,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1995,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1996,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1997,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1998,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1999,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),2000,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),2001,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),2002,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),2003,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),2004,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),2005,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),2006,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),2007,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,63
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),2008,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,64
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),2009,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,63
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),2010,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,66
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),2011,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,68
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),2012,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,71
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1985,AFR,Africa,WB_LMI,Lower-middle-income,AGO,Angola,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1986,AFR,Africa,WB_LMI,Lower-middle-income,AGO,Angola,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1987,AFR,Africa,WB_LMI,Lower-middle-income,AGO,Angola,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1988,AFR,Africa,WB_LMI,Lower-middle-income,AGO,Angola,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1989,AFR,Africa,WB_LMI,Lower-middle-income,AGO,Angola,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1990,AFR,Africa,WB_LMI,Lower-middle-income,AGO,Angola,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1991,AFR,Africa,WB_LMI,Lower-middle-income,AGO,Angola,0
WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),1992,AFR,Africa,WB_LMI,Lower-middle-income,AGO,Angola,0
