GHO,Indicator,Year,Region_Code,WHO_region,WORLDBANKINCOMEGROUPCODE,World_Bank_income_group,Country_Code,Country,Numeric_Value
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1980,EMR,Eastern Mediterranean,,,AFG,Afghanistan,1
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1981,EMR,Eastern Mediterranean,,,AFG,Afghanistan,3
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1982,EMR,Eastern Mediterranean,,,AFG,Afghanistan,2
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1983,EMR,Eastern Mediterranean,,,AFG,Afghanistan,4
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1984,EMR,Eastern Mediterranean,,,AFG,Afghanistan,5
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1985,EMR,Eastern Mediterranean,,,AFG,Afghanistan,13
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1986,EMR,Eastern Mediterranean,,,AFG,Afghanistan,18
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1987,EMR,Eastern Mediterranean,,,AFG,Afghanistan,13
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1988,EMR,Eastern Mediterranean,,,AFG,Afghanistan,16
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1989,EMR,Eastern Mediterranean,,,AFG,Afghanistan,26
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1990,EMR,Eastern Mediterranean,,,AFG,Afghanistan,13
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1991,EMR,Eastern Mediterranean,,,AFG,Afghanistan,13
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1992,EMR,Eastern Mediterranean,,,AFG,Afghanistan,11
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1993,EMR,Eastern Mediterranean,,,AFG,Afghanistan,13
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1994,EMR,Eastern Mediterranean,,,AFG,Afghanistan,10
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1995,EMR,Eastern Mediterranean,,,AFG,Afghanistan,13
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1996,EMR,Eastern Mediterranean,,,AFG,Afghanistan,17
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1997,EMR,Eastern Mediterranean,,,AFG,Afghanistan,19
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1998,EMR,Eastern Mediterranean,,,AFG,Afghanistan,21
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1999,EMR,Eastern Mediterranean,,,AFG,Afghanistan,28
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2000,EMR,Eastern Mediterranean,,,AFG,Afghanistan,32
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2001,EMR,Eastern Mediterranean,,,AFG,Afghanistan,47
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2002,EMR,Eastern Mediterranean,,,AFG,Afghanistan,52
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2003,EMR,Eastern Mediterranean,,,AFG,Afghanistan,62
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2004,EMR,Eastern Mediterranean,,,AFG,Afghanistan,95
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2005,EMR,Eastern Mediterranean,,,AFG,Afghanistan,96
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2006,EMR,Eastern Mediterranean,,,AFG,Afghanistan,95
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2007,EMR,Eastern Mediterranean,,,AFG,Afghanistan,84
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2008,EMR,Eastern Mediterranean,,,AFG,Afghanistan,83
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2009,EMR,Eastern Mediterranean,,,AFG,Afghanistan,89
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2010,EMR,Eastern Mediterranean,,,AFG,Afghanistan,79
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2011,EMR,Eastern Mediterranean,,,AFG,Afghanistan,60
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),2012,EMR,Eastern Mediterranean,,,AFG,Afghanistan,60
WHS4_128,Neonates protected at birth against neonatal tetanus (PAB) (%),1980,AFR,Africa,,,AGO,Angola,0
