GHO,Indicator,Year,Region_Code,WHO_region,WORLDBANKINCOMEGROUPCODE,World_Bank_income_group,Country_Code,Country,Numeric_Value
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1980,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,0
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1981,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,3
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1982,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,5
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1983,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,5
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1984,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,16
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1985,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,15
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1986,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,11
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1987,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,25
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1988,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,35
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1989,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,33
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1990,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,25
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1991,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,23
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1992,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,21
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1993,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,18
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1994,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,8
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1995,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,20
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1996,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,31
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1997,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,28
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1998,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,28
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),1999,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,27
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2000,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,24
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2001,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,35
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2002,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,36
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2003,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,41
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2004,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,50
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2005,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,58
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2006,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,58
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2007,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,63
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2008,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,64
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2009,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,63
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2010,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,66
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2011,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,68
WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),2012,EMR,Eastern Mediterranean,WB_LI,Low-income,AFG,Afghanistan,71
