Country,Year,WORLDBANKINCOMEGROUPCODE,Numeric_Value,Indicator
Afghanistan,1980,1,0,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1981,1,0,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1982,1,10,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1983,1,10,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1984,1,11,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1985,1,17,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1986,1,18,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1987,1,27,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1988,1,40,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1989,1,38,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1990,1,30,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1991,1,21,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1992,1,19,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1993,1,17,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1994,1,15,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1995,1,31,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1996,1,47,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1997,1,43,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1998,1,35,BCG immunization coverage among 1-year-olds (%)
Afghanistan,1999,1,38,BCG immunization coverage among 1-year-olds (%)
Afghanistan,2000,1,30,BCG immunization coverage among 1-year-olds (%)
Afghanistan,2001,1,43,BCG immunization coverage among 1-year-olds (%)
Afghanistan,2002,1,46,BCG immunization coverage among 1-year-olds (%)
Afghanistan,2003,1,44,BCG immunization coverage among 1-year-olds (%)
Afghanistan,2004,1,51,BCG immunization coverage among 1-year-olds (%)
Afghanistan,2005,1,57,BCG immunization coverage among 1-year-olds (%)
Afghanistan,2006,1,60,BCG immunization coverage among 1-year-olds (%)
Afghanistan,2007,1,60,BCG immunization coverage among 1-year-olds (%)
Afghanistan,2008,1,66,BCG immunization coverage among 1-year-olds (%)
Afghanistan,2009,1,64,BCG immunization coverage among 1-year-olds (%)
Afghanistan,2010,1,68,BCG immunization coverage among 1-year-olds (%)
Afghanistan,2011,1,71,BCG immunization coverage among 1-year-olds (%)
Afghanistan,2012,1,75,BCG immunization coverage among 1-year-olds (%)
Angola,1980,2,0,BCG immunization coverage among 1-year-olds (%)
Angola,1981,2,0,BCG immunization coverage among 1-year-olds (%)
Angola,1982,2,0,BCG immunization coverage among 1-year-olds (%)
Angola,1983,2,25,BCG immunization coverage among 1-year-olds (%)
Angola,1984,2,28,BCG immunization coverage among 1-year-olds (%)
Angola,1985,2,28,BCG immunization coverage among 1-year-olds (%)
Angola,1986,2,32,BCG immunization coverage among 1-year-olds (%)
Angola,1987,2,29,BCG immunization coverage among 1-year-olds (%)
Angola,1988,2,32,BCG immunization coverage among 1-year-olds (%)
Angola,1989,2,47,BCG immunization coverage among 1-year-olds (%)
Angola,1990,2,48,BCG immunization coverage among 1-year-olds (%)
Angola,1991,2,53,BCG immunization coverage among 1-year-olds (%)
Angola,1992,2,47,BCG immunization coverage among 1-year-olds (%)
Angola,1993,2,53,BCG immunization coverage among 1-year-olds (%)
Angola,1994,2,48,BCG immunization coverage among 1-year-olds (%)
Angola,1995,2,60,BCG immunization coverage among 1-year-olds (%)
Angola,1996,2,65,BCG immunization coverage among 1-year-olds (%)
Angola,1997,2,70,BCG immunization coverage among 1-year-olds (%)
Angola,1998,2,61,BCG immunization coverage among 1-year-olds (%)
Angola,1999,2,52,BCG immunization coverage among 1-year-olds (%)
Angola,2000,2,56,BCG immunization coverage among 1-year-olds (%)
Angola,2001,2,75,BCG immunization coverage among 1-year-olds (%)
Angola,2002,2,82,BCG immunization coverage among 1-year-olds (%)
Angola,2003,2,62,BCG immunization coverage among 1-year-olds (%)
Angola,2004,2,72,BCG immunization coverage among 1-year-olds (%)
Angola,2005,2,61,BCG immunization coverage among 1-year-olds (%)
Angola,2006,2,65,BCG immunization coverage among 1-year-olds (%)
Angola,2007,2,88,BCG immunization coverage among 1-year-olds (%)
Angola,2008,2,87,BCG immunization coverage among 1-year-olds (%)
Angola,2009,2,83,BCG immunization coverage among 1-year-olds (%)
Angola,2010,2,93,BCG immunization coverage among 1-year-olds (%)
Angola,2011,2,88,BCG immunization coverage among 1-year-olds (%)
Angola,2012,2,87,BCG immunization coverage among 1-year-olds (%)
Albania,1980,2,93,BCG immunization coverage among 1-year-olds (%)
Albania,1981,2,93,BCG immunization coverage among 1-year-olds (%)
Albania,1982,2,92,BCG immunization coverage among 1-year-olds (%)
Albania,1983,2,90,BCG immunization coverage among 1-year-olds (%)
Albania,1984,2,90,BCG immunization coverage among 1-year-olds (%)
Albania,1985,2,92,BCG immunization coverage among 1-year-olds (%)
Albania,1986,2,92,BCG immunization coverage among 1-year-olds (%)
Albania,1987,2,92,BCG immunization coverage among 1-year-olds (%)
Albania,1988,2,92,BCG immunization coverage among 1-year-olds (%)
Albania,1989,2,94,BCG immunization coverage among 1-year-olds (%)
Albania,1990,2,94,BCG immunization coverage among 1-year-olds (%)
Albania,1991,2,80,BCG immunization coverage among 1-year-olds (%)
Albania,1992,2,81,BCG immunization coverage among 1-year-olds (%)
Albania,1993,2,82,BCG immunization coverage among 1-year-olds (%)
Albania,1994,2,87,BCG immunization coverage among 1-year-olds (%)
Albania,1995,2,97,BCG immunization coverage among 1-year-olds (%)
Albania,1996,2,94,BCG immunization coverage among 1-year-olds (%)
Albania,1997,2,94,BCG immunization coverage among 1-year-olds (%)
Albania,1998,2,87,BCG immunization coverage among 1-year-olds (%)
Albania,1999,2,93,BCG immunization coverage among 1-year-olds (%)
Albania,2000,2,93,BCG immunization coverage among 1-year-olds (%)
Albania,2001,2,93,BCG immunization coverage among 1-year-olds (%)
Albania,2002,2,94,BCG immunization coverage among 1-year-olds (%)
Albania,2003,2,95,BCG immunization coverage among 1-year-olds (%)
Albania,2004,2,97,BCG immunization coverage among 1-year-olds (%)
Albania,2005,2,98,BCG immunization coverage among 1-year-olds (%)
Albania,2006,2,97,BCG immunization coverage among 1-year-olds (%)
Albania,2007,2,98,BCG immunization coverage among 1-year-olds (%)
Albania,2008,2,99,BCG immunization coverage among 1-year-olds (%)
Albania,2009,2,97,BCG immunization coverage among 1-year-olds (%)
Albania,2010,2,99,BCG immunization coverage among 1-year-olds (%)
Albania,2011,2,99,BCG immunization coverage among 1-year-olds (%)
Albania,2012,2,99,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1980,4,15,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1981,4,18,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1982,4,28,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1983,4,37,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1984,4,42,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1985,4,60,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1986,4,78,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1987,4,92,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1988,4,93,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1989,4,96,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1990,4,96,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1991,4,96,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1992,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1993,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1994,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1995,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1996,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1997,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1998,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,1999,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,2000,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,2001,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,2002,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,2003,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,2004,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,2005,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,2006,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,2007,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,2008,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,2009,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,2010,4,98,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,2011,4,96,BCG immunization coverage among 1-year-olds (%)
United Arab Emirates,2012,4,94,BCG immunization coverage among 1-year-olds (%)
Argentina,1980,3,62,BCG immunization coverage among 1-year-olds (%)
Argentina,1981,3,70,BCG immunization coverage among 1-year-olds (%)
Argentina,1982,3,77,BCG immunization coverage among 1-year-olds (%)
Argentina,1983,3,70,BCG immunization coverage among 1-year-olds (%)
Argentina,1984,3,78,BCG immunization coverage among 1-year-olds (%)
Argentina,1985,3,90,BCG immunization coverage among 1-year-olds (%)
Argentina,1986,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,1987,3,94,BCG immunization coverage among 1-year-olds (%)
Argentina,1988,3,91,BCG immunization coverage among 1-year-olds (%)
Argentina,1989,3,92,BCG immunization coverage among 1-year-olds (%)
Argentina,1990,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,1991,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,1992,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,1993,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,1994,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,1995,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,1996,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,1997,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,1998,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,1999,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,2000,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,2001,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,2002,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,2003,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,2004,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,2005,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,2006,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,2007,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,2008,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,2009,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,2010,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,2011,3,99,BCG immunization coverage among 1-year-olds (%)
Argentina,2012,3,99,BCG immunization coverage among 1-year-olds (%)
Armenia,1992,2,88,BCG immunization coverage among 1-year-olds (%)
Armenia,1993,2,84,BCG immunization coverage among 1-year-olds (%)
Armenia,1994,2,83,BCG immunization coverage among 1-year-olds (%)
Armenia,1995,2,84,BCG immunization coverage among 1-year-olds (%)
Armenia,1996,2,82,BCG immunization coverage among 1-year-olds (%)
Armenia,1997,2,72,BCG immunization coverage among 1-year-olds (%)
Armenia,1998,2,95,BCG immunization coverage among 1-year-olds (%)
Armenia,1999,2,93,BCG immunization coverage among 1-year-olds (%)
Armenia,2000,2,97,BCG immunization coverage among 1-year-olds (%)
Armenia,2001,2,96,BCG immunization coverage among 1-year-olds (%)
Armenia,2002,2,97,BCG immunization coverage among 1-year-olds (%)
Armenia,2003,2,92,BCG immunization coverage among 1-year-olds (%)
