Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,0,0,10,10,11,17,18,27,40,38,30,21,19,17,15,31,47,43,35,38,30,43,46,44,51,57,60,60,66,64,68,71,75
Albania,93,93,92,90,90,92,92,92,92,94,94,80,81,82,87,97,94,94,87,93,93,93,94,95,97,98,97,98,99,97,99,99,99
Algeria,0,0,0,0,0,86,88,93,96,96,99,98,97,95,93,93,94,94,95,97,97,97,98,98,98,98,99,99,99,99,99,99,99
Angola,0,0,0,25,28,28,32,29,32,47,48,53,47,53,48,60,65,70,61,52,56,75,82,62,72,61,65,88,87,83,93,88,87
Argentina,62,70,77,70,78,90,99,94,91,92,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Armenia,,,,,,,,,,,,,88,84,83,84,82,72,95,93,97,96,97,92,96,94,91,94,98,99,95,96,96
Austria,90,90,90,90,90,90,90,90,90,90,,,,,,,,,,,,,,,,,,,,,,,
Azerbaijan,,,,,,,,,,,,,69,74,77,76,76,77,79,82,81,83,82,83,82,82,83,82,82,82,82,83,82
Bangladesh,0,1,1,2,2,2,4,15,26,56,86,87,89,93,95,93,90,92,92,94,95,94,95,95,92,97,96,92,90,94,94,95,95
Belarus,,,,,,,,,,,,,95,93,94,96,97,98,99,99,99,99,99,99,99,99,99,98,98,98,99,99,98
Belize,71,71,85,81,77,81,94,77,85,91,93,94,97,91,90,92,90,85,93,96,96,98,96,99,99,96,97,99,98,99,98,98,98
Benin,0,0,0,0,0,27,41,46,50,75,92,82,84,89,94,85,80,78,83,87,92,91,90,90,89,88,93,97,97,97,97,97,94
Bhutan,43,44,45,46,47,54,60,67,73,93,99,95,90,89,96,98,98,92,94,90,97,81,83,93,92,92,92,94,99,94,96,95,95
Bolivia (Plurinational State of),30,30,31,27,23,24,53,55,56,64,65,67,81,84,92,87,98,88,85,95,92,90,93,96,86,88,87,86,86,88,90,90,87
Bosnia and Herzegovina,,,,,,,,,,,,,20,24,85,64,80,97,92,99,93,95,91,94,95,95,97,98,96,97,96,94,96
Botswana,92,93,94,94,95,97,99,95,95,92,93,93,94,95,96,96,97,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Brazil,56,62,64,66,75,63,65,68,74,74,79,87,90,95,93,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Brunei Darussalam,99,99,99,99,90,95,85,84,85,88,91,94,97,99,99,99,99,99,96,98,99,99,95,95,99,94,99,96,99,99,95,96,99
Bulgaria,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,98,97,98,99,98,98,98,98,98,98,98,98,98,98,98,98,97
Burkina Faso,0,0,0,0,0,33,52,57,70,83,95,88,85,80,75,72,73,75,79,77,81,80,90,83,99,99,99,99,99,99,99,99,96
Burundi,0,59,56,52,46,52,77,82,54,99,97,87,90,73,,92,90,87,86,84,85,87,88,90,91,89,98,97,99,98,93,90,98
C?te d'Ivoire,0,0,0,0,17,29,41,53,52,47,62,65,70,74,75,69,68,73,71,74,80,80,79,78,71,85,77,94,91,95,91,74,99
Cabo Verde,0,0,0,0,0,64,93,99,99,99,97,99,99,95,95,94,94,93,94,95,96,96,97,98,99,99,99,99,99,99,99,99,99
Cambodia,0,0,0,0,27,33,47,61,58,55,52,56,50,57,63,69,68,67,69,78,81,64,63,76,95,87,87,90,98,96,94,97,99
Cameroon,0,8,27,46,49,54,60,65,71,76,76,69,62,58,59,62,69,75,80,78,78,79,79,82,83,90,96,89,91,81,83,80,81
Central African Republic,17,26,24,29,32,34,37,42,53,86,96,91,85,81,77,94,86,78,70,62,66,70,71,72,73,74,74,74,74,74,74,74,74
Chad,0,0,0,0,8,15,24,32,38,59,59,40,34,34,43,43,39,45,45,45,49,52,46,40,41,41,56,44,30,46,58,53,63
Chile,96,96,94,92,95,96,96,97,98,97,94,99,99,97,99,97,99,92,92,95,93,98,96,95,95,95,98,98,99,95,95,91,92
China,0,0,0,34,59,64,70,85,98,98,99,97,94,92,89,79,84,83,83,84,84,85,85,85,86,86,92,94,97,99,99,99,99
Colombia,45,57,65,79,69,76,70,80,99,94,95,95,88,96,99,99,99,97,85,80,91,87,87,97,92,94,96,93,93,90,84,83,89
Comoros,0,0,0,0,56,77,97,97,72,95,99,71,81,95,94,95,55,55,84,87,90,90,90,79,79,80,84,77,81,80,76,76,76
Congo,92,0,91,90,80,89,86,87,88,90,90,89,75,63,61,58,51,29,34,39,50,53,51,60,85,73,84,86,93,90,95,95,92
Cook Islands,29,44,59,74,60,99,87,89,90,94,99,96,94,94,99,96,90,85,98,97,99,98,98,99,99,99,99,99,99,99,99,98,98
Costa Rica,80,81,81,83,86,82,79,83,86,89,92,81,94,98,94,99,92,82,87,89,92,87,91,87,90,88,87,91,90,81,77,78,78
Croatia,,,,,,,,,,,,,92,98,98,99,99,98,97,96,98,97,99,98,98,98,99,99,99,99,98,99,99
Cuba,99,97,97,96,97,98,98,96,99,98,98,98,98,97,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Czech Republic,,,,,,,,,,,,,,98,95,95,96,97,98,98,98,98,97,98,99,99,99,99,99,98,,,
Democratic People's Republic of Korea,50,52,51,52,49,51,53,69,98,99,99,99,99,99,90,82,73,64,69,73,78,82,96,88,95,94,96,96,97,98,98,98,98
Democratic Republic of the Congo,57,61,62,65,62,57,51,57,59,55,65,21,32,43,46,34,25,25,25,30,57,43,50,61,68,72,72,80,78,85,86,67,78
Denmark,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Djibouti,0,0,5,36,36,37,38,42,87,80,81,66,51,51,51,51,51,43,35,26,34,38,52,63,71,80,88,90,90,90,90,89,87
Dominica,65,57,48,99,84,90,87,98,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,99,98,99,90,98,99,99,98,98
Dominican Republic,29,34,38,41,43,51,54,57,60,63,70,74,78,82,86,90,79,88,86,99,90,98,96,95,97,96,95,92,92,96,98,99,99
Ecuador,76,82,99,85,99,99,94,85,92,91,89,82,99,99,99,99,99,99,98,99,99,99,99,99,99,99,99,99,99,99,99,99,99
Egypt,50,50,50,53,53,80,77,72,80,83,89,92,92,95,95,93,95,98,99,98,98,98,98,98,98,98,99,98,98,98,98,98,95
El Salvador,56,47,46,48,22,50,51,55,56,62,75,67,62,79,82,99,98,95,99,99,99,92,92,91,94,84,93,99,99,87,89,91,90
Equatorial Guinea,0,0,0,0,0,28,30,40,49,49,94,95,97,98,99,99,99,99,99,73,73,73,73,73,73,73,73,73,73,73,73,73,73
Eritrea,,,,,,,,,,,,,,40,60,68,75,83,96,98,89,91,94,97,99,99,99,99,99,99,99,99,99
Estonia,,,,,,,,,,,,,0,98,98,99,99,99,99,99,99,99,99,99,99,99,99,98,98,97,97,99,97
Ethiopia,0,5,6,7,8,11,13,28,27,44,64,29,26,36,65,61,57,54,48,50,51,56,55,57,67,69,75,77,87,84,78,80,80
