Country,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,64,63,66,68,71
Albania,0,0,0,0,0,0,0,0,0,99,88,96,97,94,96,96,96,96,97,99,98,98,98,99,98,99,99,99
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,83,80,90,91,94,95,95,95
Andorra,,,,,,,,,,,,,75,80,75,84,84,84,81,77,79,84,91,94,96,96,99,97
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,81,73,91,86,91
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,99,99,97,99,99,97,98,98,98,99,98
Argentina,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,90,94,88,84,85,90,93,94,92,91
Armenia,,,,,,,,0,0,0,0,0,0,0,0,55,69,91,93,91,91,78,85,89,93,94,95,95
Australia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,94,95,95,95,95,94,94,92,92,92,92
Austria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,44,81,83,83,86,83,85,83,83,83,83,83
Azerbaijan,,,,,,,,0,0,0,0,0,0,0,0,0,0,50,51,50,49,46,50,50,50,50,49,46
Bahamas,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,89,88,93,93,96,93,90,95,98,95,96
Bahrain,0,0,0,0,0,0,0,57,90,93,95,96,95,95,97,97,99,98,98,98,98,98,97,98,98,99,99,99
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,11,45,94,95,95,96,95,96,96
Barbados,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,66,91,93,92,84,93,85,93,86,91,88
Belarus,,,,,,,,0,0,0,0,0,0,0,0,70,93,99,56,99,99,98,91,98,98,96,98,97
Belgium,0,0,0,0,0,0,0,0,0,0,0,0,2,31,46,60,60,60,65,65,77,94,94,98,97,97,97,98
Belize,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,96,97,96,97,96,98,96,94,97,96,95,98
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,73,75,70,74,82,78,83,83,85,85
Bhutan,0,0,0,0,0,0,0,0,0,0,0,16,84,81,90,98,89,83,95,89,95,95,95,96,93,91,95,97
Bolivia (Plurinational State of),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,77,77,80,84,85,83,82,83,85,80,82,80
Bosnia and Herzegovina,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,36,93,90,94,88,90,89,88,92
Botswana,0,0,0,0,0,0,0,0,0,0,73,62,60,77,85,86,87,88,90,91,92,93,94,94,95,95,96,96
Brazil,0,0,0,0,0,0,0,0,0,4,10,15,6,13,84,94,91,92,92,90,92,99,99,96,99,96,98,97
Brunei Darussalam,0,0,0,0,0,96,96,96,99,99,99,98,98,99,93,99,99,99,99,99,99,99,97,96,96,96,93,99
Bulgaria,0,0,0,0,0,0,0,71,96,94,95,94,77,97,97,94,93,88,96,94,96,96,95,96,96,95,96,95
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,89,93,92,91,91,90
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,87,92,99,92,94,96,96,96
C?te d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,48,63,67,76,77,76,74,81,85,62,94
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,66,91,93,95,96,98,98,98,90,90
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,82,91,92,92,94,95
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,81,82,84,80,84,82,85
Canada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,14,14,14,14,28,42,56,70,70
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,45,47,47
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24,39,33,45
Chile,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,95,92,95,94,92,94,90
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,65,70,75,79,84,91,92,95,99,99,99,99
Colombia,0,0,0,0,0,0,0,0,0,0,71,95,85,75,77,78,80,78,92,89,93,93,93,92,92,88,85,92
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,77,68,69,75,81,83,74,83,86
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,89,91,90,90,85
Cook Islands,0,0,0,0,0,71,85,98,76,79,85,65,99,88,90,98,93,93,93,99,99,99,99,99,82,99,93,98
Costa Rica,0,0,0,0,0,0,0,0,0,0,0,0,76,86,83,89,80,94,86,89,90,88,89,89,87,89,84,91
Croatia,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95,97,97,97,97,98
Cuba,0,0,0,0,0,0,0,0,84,98,99,99,98,98,99,98,98,98,99,99,95,89,93,95,96,96,96,96
Cyprus,0,0,0,0,0,0,20,27,41,54,68,88,88,88,89,89,89,88,88,88,88,93,93,93,96,96,96,96
Czech Republic,,,,,,,,,0,0,0,0,0,0,0,0,0,86,92,98,99,98,99,99,99,99,99,99
Democratic People's Republic of Korea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,98,92,96,92,92,93,93,94,96
Democratic Republic of the Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,70,65,72,60,74,72
Denmark,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Djibouti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,88,89,88,87,81
Dominica,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,93,96,99,98,98,97
Dominican Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,62,76,68,66,62,79,82,87,84,81,88,85,84,80,74
Ecuador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,71,77,84,90,94,98,98,98,98,98,98,98
Egypt,0,0,0,0,0,0,0,0,0,57,74,77,81,88,97,98,99,97,98,97,98,98,98,97,97,97,96,93
El Salvador,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,99,75,81,94,90,89,96,99,98,91,92,90,92
Equatorial Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Eritrea,,,,,,,,,0,0,0,0,0,0,0,0,0,86,91,84,96,96,96,99,99,99,99,99
Estonia,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,90,95,95,95,94,95,94,94,
Ethiopia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,47,56,55,63,65,61
Fiji,0,0,0,0,0,0,0,0,88,60,82,90,98,98,98,98,98,99,99,99,99,99,99,99,99,99,99,99
Finland,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
France,0,0,0,0,0,0,0,0,0,0,0,0,0,27,24,26,28,29,28,35,35,39,42,47,51,65,74,74
Gabon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,52,75,82,79,67,75,82
Gambia,0,0,0,0,0,0,78,0,56,57,87,88,94,92,93,91,91,92,94,95,95,95,97,98,97,97,96,98
Georgia,,,,,,,,0,0,0,0,0,0,0,0,55,61,51,49,64,74,83,94,89,54,95,92,92
Germany,0,0,0,0,0,0,0,0,15,32,45,57,71,81,81,84,86,87,90,88,90,87,86,86,86,86,86,86
Ghana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,80,80,84,84,94,93,94,94,91,92
Greece,0,0,0,0,0,0,10,15,2,2,12,12,50,69,88,89,90,91,92,92,93,94,95,95,95,95,95,98
Grenada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,98,97,83,99,91,96,99,99,97,94,97
Guatemala,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,87,89,85,95,92,94,88,96
Guinea,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,57,57,64,59,59
Guinea-Bissau,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,76,76,76
Guyana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,85,91,90,91,93,93,94,93,98,95,93,97
Haiti,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Honduras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94,96,95,92,94,98,95,94,93,98,95,91,88
Hungary,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iceland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
India,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,6,6,21,34,37,47,70
Indonesia,0,0,0,0,0,0,0,28,43,42,50,62,65,76,77,65,62,63,64,64,65,66,70,68,62,62,62,64
Iran (Islamic Republic of),0,0,0,0,0,0,0,0,0,62,59,84,93,94,95,99,94,99,98,95,94,98,97,99,99,99,99,98
Iraq,0,0,0,0,0,0,0,0,0,40,57,22,65,3,52,67,66,65,63,62,65,59,56,66,75,72,77,77
Ireland,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,95,95
Israel,0,0,0,0,0,0,0,92,92,92,93,96,97,97,97,97,96,98,95,99,96,94,97,96,99,97,97,97
