Country,Year,WORLDBANKINCOMEGROUPCODE,Numeric_Value,Indicator
Afghanistan,1990,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,1991,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,1992,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,1993,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,1994,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,1995,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,1996,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,1997,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,1998,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,1999,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,2000,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,2001,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,2002,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,2003,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,2004,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,2005,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,2006,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,2007,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,2008,1,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,2009,1,63,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,2010,1,66,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,2011,1,68,Hib (Hib3) immunization coverage among 1-year-olds (%)
Afghanistan,2012,1,71,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,1990,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,1991,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,1992,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,1993,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,1994,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,1995,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,1996,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,1997,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,1998,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,1999,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,2000,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,2001,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,2002,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,2003,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,2004,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,2005,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,2006,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,2007,2,83,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,2008,2,81,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,2009,2,73,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,2010,2,91,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,2011,2,86,Hib (Hib3) immunization coverage among 1-year-olds (%)
Angola,2012,2,91,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,1990,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,1991,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,1992,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,1993,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,1994,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,1995,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,1996,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,1997,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,1998,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,1999,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,2000,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,2001,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,2002,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,2003,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,2004,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,2005,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,2006,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,2007,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,2008,2,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,2009,2,98,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,2010,2,99,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,2011,2,99,Hib (Hib3) immunization coverage among 1-year-olds (%)
Albania,2012,2,99,Hib (Hib3) immunization coverage among 1-year-olds (%)
Andorra,1997,4,0,Hib (Hib3) immunization coverage among 1-year-olds (%)
Andorra,1998,4,55,Hib (Hib3) immunization coverage among 1-year-olds (%)
