Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,66,68,71
Albania,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,98,99,99,99
Algeria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,95,95,95,95
Andorra,,,,,,,,0,55,80,90,92,92,91,95,97,93,95,98,97,98,99,98
Angola,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,81,73,91,86,91
Antigua and Barbuda,0,0,0,0,0,0,0,0,0,0,0,97,97,97,97,99,99,99,97,94,98,98,98
Argentina,0,0,0,0,0,0,0,0,49,86,83,83,87,90,94,88,84,85,90,93,94,92,91
Armenia,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,48,95,95
Australia,0,0,0,0,0,0,0,77,82,87,90,95,95,95,95,94,95,94,94,92,92,92,92
Austria,0,0,0,0,0,0,0,0,0,74,72,74,82,84,83,86,83,85,83,83,83,83,83
Azerbaijan,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,91
Bahamas,0,0,0,0,0,0,0,0,0,78,90,99,94,93,93,93,95,95,94,96,98,98,98
Bahrain,0,0,0,0,0,0,0,0,39,96,97,99,98,97,98,98,97,97,97,97,99,99,99
Bangladesh,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,95,96,96
Barbados,0,0,0,0,0,0,0,0,0,0,0,18,66,88,93,92,84,93,85,93,86,91,88
Belarus,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,19,0,21,22
Belgium,0,0,0,20,16,13,10,6,33,59,86,86,86,90,95,95,98,98,98,98,98,98,98
Belize,0,0,0,0,0,0,0,0,0,0,0,96,89,96,97,96,98,96,94,97,96,95,98
Benin,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,74,82,78,83,83,85,85
Bhutan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97
Bolivia (Plurinational State of),0,0,0,0,0,0,0,0,0,0,77,77,77,80,84,85,83,82,83,85,80,82,80
Bosnia and Herzegovina,,,0,0,0,0,0,0,0,0,0,0,0,0,49,50,82,83,83,80,83,85,87
Botswana,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96,96
Brazil,0,0,0,0,0,0,0,0,0,0,90,93,93,98,96,96,97,98,99,98,96,97,95
Brunei Darussalam,0,0,0,0,0,0,0,0,0,0,0,0,94,92,92,94,97,99,98,99,95,97,90
Bulgaria,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,95,95
Burkina Faso,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,89,93,92,91,91,90
Burundi,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,87,92,99,92,94,96,96,96
C?te d'Ivoire,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,85,62,94
Cabo Verde,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,90
Cambodia,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,92,94,95
Cameroon,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,80,84,82,85
Canada,0,0,0,0,0,0,84,87,88,87,86,85,84,83,87,90,94,94,94,95,95,95,95
Central African Republic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,45,47,47
Chad,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,24,39,33,45
Chile,0,0,0,0,0,0,91,90,90,95,91,97,97,96,93,91,94,96,95,94,92,94,90
China,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Colombia,0,0,0,0,0,0,0,0,62,64,65,55,69,93,89,93,93,93,92,92,88,85,91
Comoros,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,74,83,86
Congo,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91,90,90,85
Cook Islands,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,82,99,93,98
Costa Rica,0,0,0,0,0,0,0,0,26,68,92,89,93,87,90,89,88,88,87,87,90,81,90
Croatia,,,0,0,0,0,0,0,0,0,0,0,79,95,95,96,96,96,96,96,97,96,96
Cuba,0,0,0,0,0,0,0,0,0,99,99,99,99,99,99,94,97,97,97,96,96,96,96
