Country,Numeric_Value,World_bank_Income_grp_Code,WHO_region,Year
Equatorial Guinea,50,4,Africa,2000
Equatorial Guinea,48,4,Africa,1990
Benin,59,,Africa,2012
Burkina Faso,58,,Africa,2012
Central African Republic,48,,Africa,1990
Comoros,59,,Africa,2000
Eritrea,45,,Africa,2000
Ethiopia,51,,Africa,2000
Guinea,58,,Africa,2012
Gambia,52,,Africa,1990
Gambia,61,,Africa,2012
Guinea-Bissau,49,,Africa,1990
Madagascar,64,,Africa,2012
Mali,46,,Africa,1990
Mali,57,,Africa,2012
Malawi,44,,Africa,2000
Niger,50,,Africa,2000
Rwanda,48,,Africa,1990
Rwanda,65,,Africa,2012
Senegal,57,,Africa,1990
United Republic of Tanzania,51,,Africa,1990
United Republic of Tanzania,61,,Africa,2012
Uganda,47,,Africa,1990
Zambia,41,,Africa,2000
Angola,51,2,Africa,2012
C?te d'Ivoire,53,2,Africa,2012
Cameroon,54,2,Africa,1990
Cameroon,56,2,Africa,2012
Congo,56,2,Africa,1990
Congo,59,2,Africa,2012
Cabo Verde,66,2,Africa,1990
Lesotho,61,2,Africa,1990
Lesotho,50,2,Africa,2012
Equatorial Guinea,55,4,Africa,2012
Burundi,49,,Africa,1990
Burundi,48,,Africa,2000
Burundi,56,,Africa,2012
Burkina Faso,50,,Africa,1990
Democratic Republic of the Congo,49,,Africa,1990
Democratic Republic of the Congo,48,,Africa,2000
Democratic Republic of the Congo,52,,Africa,2012
Ethiopia,64,,Africa,2012
Guinea,47,,Africa,1990
Guinea,51,,Africa,2000
Liberia,42,,Africa,1990
Liberia,51,,Africa,2000
Liberia,62,,Africa,2012
Mauritania,58,,Africa,1990
Mauritania,60,,Africa,2000
Sierra Leone,38,,Africa,1990
Sierra Leone,39,,Africa,2000
Sierra Leone,46,,Africa,2012
Chad,46,,Africa,2000
Chad,51,,Africa,2012
Nigeria,46,2,Africa,1990
Nigeria,47,2,Africa,2000
Nigeria,54,2,Africa,2012
Swaziland,54,2,Africa,2012
Algeria,70,3,Africa,2000
Namibia,57,3,Africa,2000
Seychelles,72,3,Africa,2000
Swaziland,61,2,Africa,1990
Swaziland,48,2,Africa,2000
Botswana,65,3,Africa,1990
Botswana,47,3,Africa,2000
Botswana,62,3,Africa,2012
South Africa,62,3,Africa,1990
South Africa,59,3,Africa,2000
South Africa,59,3,Africa,2012
Burkina Faso,49,,Africa,2000
Comoros,62,,Africa,2012
Eritrea,48,,Africa,1990
Eritrea,63,,Africa,2012
Ethiopia,45,,Africa,1990
Gambia,56,,Africa,2000
Guinea-Bissau,52,,Africa,2000
Kenya,61,,Africa,2012
Madagascar,58,,Africa,2000
Mali,48,,Africa,2000
Mauritania,63,,Africa,2012
Malawi,45,,Africa,1990
Malawi,59,,Africa,2012
Niger,43,,Africa,1990
Rwanda,46,,Africa,2000
Chad,45,,Africa,1990
United Republic of Tanzania,50,,Africa,2000
Uganda,45,,Africa,2000
Zambia,43,,Africa,1990
Zambia,57,,Africa,2012
Zimbabwe,62,,Africa,1990
Angola,46,2,Africa,2000
