Year,Country,Male,Female
1990,Afghanistan,49,50
1990,Albania,67,71
1990,Algeria,66,69
1990,Andorra,74,81
1990,Angola,41,45
1990,Antigua and Barbuda,70,72
1990,Argentina,69,76
1990,Armenia,63,71
1990,Australia,74,80
1990,Austria,72,79
1990,Azerbaijan,60,66
1990,Bahamas,69,74
1990,Bahrain,72,74
1990,Bangladesh,60,59
1990,Barbados,71,77
1990,Belarus,66,76
1990,Belgium,73,79
1990,Belize,69,74
1990,Benin,51,56
1990,Bhutan,53,53
1990,Bolivia (Plurinational State of),56,60
1990,Bosnia and Herzegovina,70,75
1990,Botswana,65,66
1990,Brazil,63,70
1990,Brunei Darussalam,71,75
1990,Bulgaria,68,75
1990,Burkina Faso,48,51
1990,Burundi,48,51
1990,C?te d'Ivoire,50,54
1990,Cabo Verde,63,68
1990,Cambodia,51,57
1990,Cameroon,53,56
1990,Canada,74,81
1990,Central African Republic,46,50
1990,Chad,43,47
1990,Chile,69,76
1990,China,67,71
1990,Colombia,67,75
1990,Comoros,54,58
1990,Congo,55,58
1990,Cook Islands,67,72
1990,Costa Rica,75,78
1990,Croatia,69,76
1990,Cuba,73,76
1990,Cyprus,74,79
1990,Czech Republic,68,75
1990,Democratic People's Republic of Korea,66,73
1990,Democratic Republic of the Congo,48,51
1990,Denmark,72,78
1990,Djibouti,55,59
1990,Dominica,72,76
1990,Dominican Republic,68,70
1990,Ecuador,67,72
1990,Egypt,63,67
1990,El Salvador,61,70
1990,Equatorial Guinea,46,49
1990,Eritrea,46,50
1990,Estonia,64,75
1990,Ethiopia,42,48
1990,Fiji,64,68
1990,Finland,71,79
1990,France,73,82
1990,Gabon,60,63
1990,Gambia,50,53
1990,Georgia,67,75
1990,Germany,72,79
1990,Ghana,55,58
1990,Greece,75,80
1990,Grenada,67,74
1990,Guatemala,60,65
1990,Guinea,46,48
1990,Guinea-Bissau,47,52
1990,Guyana,59,67
1990,Haiti,52,56
1990,Honduras,65,69
1990,Hungary,65,74
1990,Iceland,75,81
1990,India,57,58
1990,Indonesia,60,64
1990,Iran (Islamic Republic of),63,64
1990,Iraq,67,71
1990,Ireland,72,78
1990,Israel,75,79
1990,Italy,74,80
1990,Jamaica,69,74
1990,Japan,76,82
1990,Jordan,68,71
1990,Kazakhstan,61,70
1990,Kenya,58,62
1990,Kiribati,57,62
1990,Kuwait,73,74
1990,Kyrgyzstan,62,69
1990,Lao People's Democratic Republic,51,54
1990,Latvia,64,74
1990,Lebanon,64,71
1990,Lesotho,59,62
1990,Liberia,39,46
1990,Libya,67,70
1990,Lithuania,66,76
1990,Luxembourg,72,79
1990,Madagascar,50,53
1990,Malawi,43,46
1990,Malaysia,68,73
1990,Maldives,60,57
1990,Mali,46,46
1990,Malta,74,78
1990,Marshall Islands,61,65
1990,Mauritania,57,60
1990,Mauritius,66,74
1990,Mexico,68,75
1990,Micronesia (Federated States of),65,67
1990,Monaco,74,81
1990,Mongolia,58,64
1990,Montenegro,73,79
1990,Morocco,63,66
1990,Mozambique,41,45
1990,Myanmar,57,61
1990,Namibia,62,64
1990,Nauru,69,77
1990,Nepal,54,55
1990,Netherlands,74,80
1990,New Zealand,73,78
1990,Nicaragua,68,74
1990,Niger,43,43
1990,Nigeria,45,47
1990,Niue,69,75
1990,Norway,74,80
1990,Oman,66,70
1990,Pakistan,59,61
1990,Palau,65,68
1990,Panama,72,76
1990,Papua New Guinea,53,59
1990,Paraguay,71,76
1990,Peru,68,72
1990,Philippines,63,70
1990,Poland,67,76
1990,Portugal,71,78
1990,Qatar,74,76
1990,Republic of Korea,68,76
1990,Republic of Moldova,65,72
1990,Romania,66,73
1990,Russian Federation,63,74
1990,Rwanda,46,50
1990,Saint Kitts and Nevis,65,71
1990,Saint Lucia,70,74
1990,Saint Vincent and the Grenadines,69,75
1990,Samoa,63,69
1990,San Marino,76,83
1990,Sao Tome and Principe,59,63
1990,Saudi Arabia,67,71
1990,Senegal,56,59
1990,Serbia,69,75
1990,Seychelles,64,75
1990,Sierra Leone,38,38
1990,Singapore,73,78
1990,Slovakia,66,75
1990,Slovenia,70,78
1990,Solomon Islands,61,63
1990,Somalia,45,50
1990,South Africa,59,66
1990,South Sudan,41,44
1990,Spain,73,81
1990,Sri Lanka,65,75
1990,Sudan,54,57
1990,Suriname,71,76
1990,Swaziland,62,61
1990,Sweden,75,81
1990,Switzerland,74,81
1990,Syrian Arab Republic,69,71
1990,Tajikistan,62,65
1990,Thailand,66,72
1990,The former Yugoslav Republic of Macedonia,70,75
1990,Timor-Leste,48,51
1990,Togo,54,57
1990,Tonga,64,74
1990,Trinidad and Tobago,65,71
1990,Tunisia,69,72
1990,Turkey,62,68
1990,Turkmenistan,59,65
1990,Tuvalu,59,64
1990,Uganda,44,49
1990,Ukraine,65,75
1990,United Arab Emirates,71,73
1990,United Kingdom,73,79
1990,United Republic of Tanzania,49,52
1990,United States,72,79
1990,Uruguay,69,76
1990,Uzbekistan,63,70
1990,Vanuatu,64,67
1990,Venezuela (Bolivarian Republic of),70,74
1990,Viet Nam,66,75
1990,Yemen,56,59
1990,Zambia,40,47
1990,Zimbabwe,60,64
2000,Afghanistan,54,56
2000,Albania,68,73
2000,Algeria,68,71
2000,Andorra,76,83
2000,Angola,44,47
2000,Antigua and Barbuda,72,74
2000,Argentina,71,78
2000,Armenia,68,74
2000,Australia,77,83
2000,Austria,75,81
2000,Azerbaijan,64,69
2000,Bahamas,69,76
2000,Bahrain,73,76
2000,Bangladesh,65,65
2000,Barbados,72,78
2000,Belarus,63,75
2000,Belgium,75,81
2000,Belize,69,76
2000,Benin,53,56
2000,Bhutan,60,60
2000,Bolivia (Plurinational State of),61,65
2000,Bosnia and Herzegovina,72,78
2000,Botswana,48,47
2000,Brazil,67,74
2000,Brunei Darussalam,74,79
2000,Bulgaria,68,75
2000,Burkina Faso,49,50
2000,Burundi,46,50
2000,C?te d'Ivoire,47,49
2000,Cabo Verde,66,73
2000,Cambodia,58,63
2000,Cameroon,50,52
2000,Canada,77,82
2000,Central African Republic,44,46
2000,Chad,45,47
2000,Chile,74,80
2000,China,70,73
2000,Colombia,69,78
2000,Comoros,57,60
2000,Congo,52,53
2000,Cook Islands,69,75
2000,Costa Rica,76,79
2000,Croatia,71,78
2000,Cuba,75,79
2000,Cyprus,75,79
2000,Czech Republic,72,78
2000,Democratic People's Republic of Korea,60,69
2000,Democratic Republic of the Congo,47,50
2000,Denmark,75,79
2000,Djibouti,55,59
2000,Dominica,73,76
2000,Dominican Republic,72,74
2000,Ecuador,70,76
2000,Egypt,66,71
2000,El Salvador,66,74
2000,Equatorial Guinea,49,52
2000,Eritrea,39,54
2000,Estonia,65,76
2000,Ethiopia,50,53
2000,Fiji,65,70
2000,Finland,74,81
2000,France,75,83
2000,Gabon,59,60
2000,Gambia,55,58
2000,Georgia,68,76
2000,Germany,75,81
2000,Ghana,57,59
2000,Greece,76,81
2000,Grenada,70,76
2000,Guatemala,64,71
2000,Guinea,50,52
2000,Guinea-Bissau,51,53
2000,Guyana,62,67
2000,Haiti,55,57
2000,Honduras,69,73
2000,Hungary,68,76
2000,Iceland,78,82
2000,India,61,63
2000,Indonesia,65,69
2000,Iran (Islamic Republic of),69,71
2000,Iraq,68,73
2000,Ireland,74,79
2000,Israel,77,81
2000,Italy,77,83
2000,Jamaica,68,75
2000,Japan,78,85
2000,Jordan,70,73
2000,Kazakhstan,58,68
2000,Kenya,51,53
2000,Kiribati,61,66
2000,Kuwait,74,76
2000,Kyrgyzstan,62,69
2000,Lao People's Democratic Republic,58,61
2000,Latvia,65,76
2000,Lebanon,73,76
2000,Lesotho,47,49
2000,Liberia,50,52
2000,Libya,70,74
2000,Lithuania,67,78
2000,Luxembourg,75,81
2000,Madagascar,57,59
2000,Malawi,45,44
2000,Malaysia,69,74
2000,Maldives,67,68
2000,Mali,48,48
2000,Malta,76,80
2000,Marshall Islands,64,68
2000,Mauritania,59,62
2000,Mauritius,68,75
2000,Mexico,72,77
2000,Micronesia (Federated States of),66,68
2000,Monaco,76,84
2000,Mongolia,60,66
2000,Montenegro,72,77
2000,Morocco,66,70
2000,Mozambique,46,49
2000,Myanmar,60,64
2000,Namibia,57,57
2000,Nauru,73,81
2000,Nepal,61,63
2000,Netherlands,76,81
2000,New Zealand,76,81
2000,Nicaragua,70,76
2000,Niger,50,50
2000,Nigeria,47,48
2000,Niue,70,76
2000,Norway,76,82
