Country,Confirmation Number,Death number,Year,Region
Afghanistan,116444,0,2005,Eastern Mediterranean
Afghanistan,92202,25,2007,Eastern Mediterranean
Afghanistan,81574,46,2008,Eastern Mediterranean
Afghanistan,64880,32,2009,Eastern Mediterranean
Afghanistan,69397,22,2010,Eastern Mediterranean
Afghanistan,77549,40,2011,Eastern Mediterranean
Afghanistan,54840,36,2012,Eastern Mediterranean
Angola,889572,13768,2005,Africa
Angola,1082398,10220,2006,Africa
Angola,1533485,9812,2007,Africa
Angola,1377992,9465,2008,Africa
Angola,1573422,10530,2009,Africa
Angola,1682870,8114,2010,Africa
Angola,1632282,6909,2011,Africa
Angola,1496834,5736,2012,Africa
Argentina,440,0,2000,Americas
Argentina,215,0,2001,Americas
Argentina,125,0,2002,Americas
Argentina,122,1,2003,Americas
Argentina,115,0,2004,Americas
Argentina,252,0,2005,Americas
Argentina,212,0,2006,Americas
Argentina,387,0,2007,Americas
Argentina,130,0,2008,Americas
Argentina,86,0,2009,Americas
Argentina,26,0,2010,Americas
Argentina,0,0,2011,Americas
Argentina,0,0,2012,Americas
Azerbaijan,1526,0,2000,Europe
Azerbaijan,1055,0,2001,Europe
Azerbaijan,505,0,2002,Europe
Azerbaijan,480,0,2003,Europe
Azerbaijan,386,0,2004,Europe
Azerbaijan,242,0,2005,Europe
Azerbaijan,141,0,2006,Europe
Azerbaijan,108,0,2007,Europe
Azerbaijan,72,0,2008,Europe
Azerbaijan,78,0,2009,Europe
Azerbaijan,50,0,2010,Europe
Azerbaijan,4,0,2011,Europe
Azerbaijan,3,0,2012,Europe
Burundi,308095,691,2000,Africa
Burundi,312015,417,2001,Africa
Burundi,327138,483,2002,Africa
Burundi,353459,425,2003,Africa
Burundi,363395,689,2004,Africa
Burundi,327464,776,2005,Africa
Burundi,791731,434,2006,Africa
Burundi,1101644,167,2007,Africa
Burundi,876741,595,2008,Africa
Burundi,1185622,1183,2009,Africa
Burundi,1763447,2677,2010,Africa
Burundi,1571874,2233,2011,Africa
Burundi,2151076,2263,2012,Africa
Benin,889597,1375,2009,Africa
Benin,422968,1753,2011,Africa
Benin,705839,2261,2012,Africa
Burkina Faso,0,4233,2001,Africa
Burkina Faso,0,4032,2002,Africa
Burkina Faso,0,4860,2003,Africa
Burkina Faso,18256,4205,2004,Africa
Burkina Faso,21335,5224,2005,Africa
Burkina Faso,44265,8083,2006,Africa
Burkina Faso,44246,6472,2007,Africa
Burkina Faso,36514,7834,2008,Africa
Burkina Faso,182527,7982,2009,Africa
Burkina Faso,804539,9024,2010,Africa
Burkina Faso,428113,7001,2011,Africa
Burkina Faso,3858046,7963,2012,Africa
Bangladesh,55599,484,2000,South-East Asia
Bangladesh,54216,470,2001,South-East Asia
Bangladesh,62269,598,2002,South-East Asia
Bangladesh,54654,574,2003,South-East Asia
Bangladesh,58894,505,2004,South-East Asia
Bangladesh,48121,501,2005,South-East Asia
Bangladesh,32857,508,2006,South-East Asia
Bangladesh,59866,228,2007,South-East Asia
Bangladesh,84690,154,2008,South-East Asia
Bangladesh,63873,47,2009,South-East Asia
Bangladesh,55873,37,2010,South-East Asia
Bangladesh,51773,36,2011,South-East Asia
Bangladesh,9901,11,2012,South-East Asia
Belize,1486,0,2000,Americas
Belize,1162,0,2001,Americas
Belize,1134,0,2002,Americas
Belize,1066,1,2004,Americas
Belize,1549,0,2005,Americas
