Country,Year,WORLDBANKINCOMEGROUPCODE,Numeric_Value,Indicator
Afghanistan,1991,1,19,Measles (MCV) immunization coverage among 1-year-olds (%)
Afghanistan,1992,1,22,Measles (MCV) immunization coverage among 1-year-olds (%)
Afghanistan,1993,1,25,Measles (MCV) immunization coverage among 1-year-olds (%)
Afghanistan,1994,1,40,Measles (MCV) immunization coverage among 1-year-olds (%)
Afghanistan,2007,1,55,Measles (MCV) immunization coverage among 1-year-olds (%)
Afghanistan,2008,1,59,Measles (MCV) immunization coverage among 1-year-olds (%)
Afghanistan,2009,1,60,Measles (MCV) immunization coverage among 1-year-olds (%)
Afghanistan,2010,1,62,Measles (MCV) immunization coverage among 1-year-olds (%)
Afghanistan,2011,1,65,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,1991,2,39,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,1992,2,39,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,1993,2,47,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,1994,2,44,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,2008,2,79,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,2009,2,77,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,2010,2,93,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,2011,2,88,Measles (MCV) immunization coverage among 1-year-olds (%)
Albania,1992,2,87,Measles (MCV) immunization coverage among 1-year-olds (%)
Albania,1993,2,76,Measles (MCV) immunization coverage among 1-year-olds (%)
Albania,1994,2,90,Measles (MCV) immunization coverage among 1-year-olds (%)
Albania,1995,2,91,Measles (MCV) immunization coverage among 1-year-olds (%)
Albania,2008,2,98,Measles (MCV) immunization coverage among 1-year-olds (%)
Albania,2009,2,97,Measles (MCV) immunization coverage among 1-year-olds (%)
Albania,2010,2,99,Measles (MCV) immunization coverage among 1-year-olds (%)
Albania,2011,2,99,Measles (MCV) immunization coverage among 1-year-olds (%)
Andorra,2009,4,98,Measles (MCV) immunization coverage among 1-year-olds (%)
Andorra,2010,4,99,Measles (MCV) immunization coverage among 1-year-olds (%)
Andorra,2011,4,99,Measles (MCV) immunization coverage among 1-year-olds (%)
Andorra,2012,4,98,Measles (MCV) immunization coverage among 1-year-olds (%)
United Arab Emirates,1993,4,90,Measles (MCV) immunization coverage among 1-year-olds (%)
United Arab Emirates,1994,4,90,Measles (MCV) immunization coverage among 1-year-olds (%)
United Arab Emirates,1995,4,90,Measles (MCV) immunization coverage among 1-year-olds (%)
United Arab Emirates,1996,4,90,Measles (MCV) immunization coverage among 1-year-olds (%)
United Arab Emirates,2009,4,93,Measles (MCV) immunization coverage among 1-year-olds (%)
United Arab Emirates,2010,4,94,Measles (MCV) immunization coverage among 1-year-olds (%)
United Arab Emirates,2011,4,94,Measles (MCV) immunization coverage among 1-year-olds (%)
United Arab Emirates,2012,4,94,Measles (MCV) immunization coverage among 1-year-olds (%)
Argentina,1980,3,61,Measles (MCV) immunization coverage among 1-year-olds (%)
Argentina,1991,3,99,Measles (MCV) immunization coverage among 1-year-olds (%)
Argentina,1999,3,97,Measles (MCV) immunization coverage among 1-year-olds (%)
Argentina,2006,3,97,Measles (MCV) immunization coverage among 1-year-olds (%)
Argentina,2007,3,94,Measles (MCV) immunization coverage among 1-year-olds (%)
Armenia,1993,2,95,Measles (MCV) immunization coverage among 1-year-olds (%)
Armenia,1994,2,95,Measles (MCV) immunization coverage among 1-year-olds (%)
Armenia,2000,2,92,Measles (MCV) immunization coverage among 1-year-olds (%)
Afghanistan,1981,1,0,Measles (MCV) immunization coverage among 1-year-olds (%)
Afghanistan,1988,1,34,Measles (MCV) immunization coverage among 1-year-olds (%)
Afghanistan,1990,1,20,Measles (MCV) immunization coverage among 1-year-olds (%)
Afghanistan,1995,1,41,Measles (MCV) immunization coverage among 1-year-olds (%)
Afghanistan,1997,1,38,Measles (MCV) immunization coverage among 1-year-olds (%)
Afghanistan,2004,1,48,Measles (MCV) immunization coverage among 1-year-olds (%)
Afghanistan,2006,1,53,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,1980,2,0,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,1982,2,0,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,1987,2,55,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,1989,2,48,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,1996,2,62,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,1998,2,62,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,2005,2,45,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,2007,2,88,Measles (MCV) immunization coverage among 1-year-olds (%)
Angola,2012,2,97,Measles (MCV) immunization coverage among 1-year-olds (%)
Albania,1981,2,90,Measles (MCV) immunization coverage among 1-year-olds (%)
Albania,1988,2,96,Measles (MCV) immunization coverage among 1-year-olds (%)
Albania,1990,2,88,Measles (MCV) immunization coverage among 1-year-olds (%)
Albania,1997,2,95,Measles (MCV) immunization coverage among 1-year-olds (%)
Albania,1999,2,85,Measles (MCV) immunization coverage among 1-year-olds (%)
Albania,2004,2,96,Measles (MCV) immunization coverage among 1-year-olds (%)
Albania,2006,2,95,Measles (MCV) immunization coverage among 1-year-olds (%)
Andorra,1997,4,90,Measles (MCV) immunization coverage among 1-year-olds (%)
Andorra,1999,4,97,Measles (MCV) immunization coverage among 1-year-olds (%)
Andorra,2006,4,91,Measles (MCV) immunization coverage among 1-year-olds (%)
Andorra,2008,4,98,Measles (MCV) immunization coverage among 1-year-olds (%)
United Arab Emirates,1980,4,34,Measles (MCV) immunization coverage among 1-year-olds (%)
