Country,Year,WORLDBANKINCOMEGROUPCODE,Numeric_Value,Indicator
Afghanistan,1980,1,0,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1981,1,3,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1982,1,5,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1983,1,5,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1984,1,16,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1985,1,15,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1986,1,11,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1987,1,25,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1988,1,35,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1989,1,33,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1990,1,25,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1991,1,23,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1992,1,21,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1993,1,18,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1994,1,8,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1995,1,20,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1996,1,31,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1997,1,28,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1998,1,28,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,1999,1,27,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,2000,1,24,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,2001,1,35,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,2002,1,36,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,2003,1,41,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,2004,1,50,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,2005,1,58,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,2006,1,58,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,2007,1,63,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,2008,1,64,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,2009,1,63,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,2010,1,66,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,2011,1,68,Polio (Pol3) immunization coverage among 1-year-olds (%)
Afghanistan,2012,1,71,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1980,2,0,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1981,2,0,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1982,2,0,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1983,2,0,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1984,2,0,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1985,2,13,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1986,2,15,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1987,2,16,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1988,2,13,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1989,2,19,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1990,2,23,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1991,2,26,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1992,2,21,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1993,2,28,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1994,2,28,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1995,2,28,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1996,2,33,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1997,2,38,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1998,2,47,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,1999,2,40,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,2000,2,33,Polio (Pol3) immunization coverage among 1-year-olds (%)
Angola,2001,2,44,Polio (Pol3) immunization coverage among 1-year-olds (%)
