Country,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Afghanistan,0,3,5,5,16,15,11,25,35,33,25,23,21,18,8,20,31,28,28,27,24,35,36,41,50,58,58,63,64,63,66,68,71
Albania,92,92,92,92,92,94,94,94,96,96,89,82,97,98,98,98,99,99,97,97,97,97,98,97,98,97,97,99,99,98,99,99,99
Algeria,0,31,31,30,30,69,72,79,85,87,89,89,88,88,87,88,88,89,85,83,86,89,86,87,86,88,95,95,92,94,95,95,95
Andorra,,,,,,,,,,,,,,,,,,90,90,95,95,95,95,99,99,98,93,96,99,99,99,99,99
Angola,0,0,0,0,0,13,15,16,13,19,23,26,21,28,28,28,33,38,47,40,33,44,42,45,46,46,44,83,75,73,92,85,88
Antigua and Barbuda,36,47,86,99,93,99,96,99,99,99,99,97,99,99,99,99,99,99,99,99,96,99,93,99,97,98,99,98,99,98,99,99,97
Argentina,33,40,48,79,72,73,79,85,90,86,90,86,85,82,85,90,90,92,90,91,88,85,94,95,91,95,92,92,94,97,95,93,90
Armenia,,,,,,,,,,,,,92,92,92,93,97,95,96,97,96,97,96,96,93,92,87,90,91,94,96,96,96
Australia,17,43,68,94,94,94,95,95,95,95,72,75,78,80,83,86,86,77,83,88,90,91,92,93,92,92,92,92,92,92,92,92,92
Austria,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,90,95,95,87,79,71,83,82,84,83,86,83,85,83,83,83,83,83
Azerbaijan,,,,,,,,,,,,,63,69,68,71,72,73,74,76,75,77,80,79,78,79,79,79,80,78,78,80,78
Bahamas,35,40,67,65,69,84,81,76,84,82,82,91,92,91,91,86,85,86,88,82,91,98,93,93,92,93,94,95,93,97,97,97,99
Bahrain,72,75,79,83,86,90,92,95,96,96,94,99,94,94,96,95,96,98,98,97,97,99,98,97,98,98,98,97,97,97,99,99,99
Bangladesh,0,1,1,1,1,2,4,8,16,49,69,74,67,74,84,69,77,78,78,72,81,85,83,90,96,96,93,95,95,96,95,96,96
Barbados,99,54,63,62,77,88,80,68,73,80,90,84,89,88,91,93,85,96,93,86,86,93,86,90,93,91,85,93,85,93,90,91,88
Belarus,,,,,,,,,,,,,90,91,92,96,98,98,99,99,99,99,99,53,99,98,97,90,98,98,99,98,98
Belgium,99,99,90,90,95,97,99,97,95,95,95,93,94,94,93,92,94,94,95,95,96,96,96,96,96,97,99,99,99,99,99,98,99
Belize,44,54,65,61,61,61,84,58,63,74,86,80,89,86,84,83,85,85,87,84,91,96,93,95,97,96,98,97,94,98,96,95,98
Benin,0,0,0,0,0,16,17,25,30,48,74,68,73,75,82,68,67,66,70,74,78,77,76,75,74,73,76,82,79,83,83,85,85
Bhutan,4,11,11,14,27,41,54,63,70,76,96,91,85,82,84,86,86,87,85,89,98,88,89,96,90,95,96,93,96,93,92,95,97
Bolivia (Plurinational State of),14,15,12,11,46,30,42,41,40,51,50,52,54,56,60,64,61,57,59,79,74,71,76,82,84,84,82,82,82,84,80,82,79
Bosnia and Herzegovina,,,,,,,,,,,,,65,45,69,69,74,80,89,90,87,92,86,87,87,95,91,95,92,90,90,89,87
Botswana,46,71,77,80,83,85,88,86,89,89,90,91,91,92,93,94,95,95,93,97,97,97,97,96,96,96,96,97,98,99,99,99,99
Brazil,69,39,51,55,55,52,51,53,57,54,58,67,65,64,70,79,80,89,95,99,99,99,99,99,98,98,99,99,99,99,99,98,97
Brunei Darussalam,89,95,99,90,94,88,86,88,89,91,92,94,95,99,99,99,99,99,98,97,99,99,99,99,92,93,94,95,97,99,99,95,90
Bulgaria,99,99,99,98,99,99,99,99,99,99,99,81,99,97,94,97,95,96,96,97,94,94,94,96,94,97,96,95,96,94,94,95,95
Burkina Faso,0,0,0,0,0,10,21,23,34,44,66,53,41,39,36,35,37,39,15,15,45,62,69,83,83,94,94,93,92,91,90,90,90
Burundi,0,39,43,35,21,58,56,71,51,86,97,89,81,64,49,73,72,69,61,70,71,72,74,75,76,82,88,93,89,96,94,94,94
C?te d'Ivoire,0,0,0,0,11,16,22,27,32,42,56,51,49,51,49,46,54,59,59,58,66,70,70,68,76,87,76,75,58,77,81,58,94
Cabo Verde,0,0,0,22,31,39,60,87,85,99,87,88,89,90,89,89,88,87,88,89,90,91,92,93,94,95,97,98,99,99,99,90,90
Cambodia,0,0,0,0,18,26,35,57,45,48,38,39,32,36,38,39,48,56,57,65,62,59,54,69,86,82,80,82,91,95,92,94,95
Cameroon,0,5,15,25,26,35,42,44,51,54,54,46,37,34,42,46,43,47,53,58,57,61,66,72,72,79,78,81,82,79,83,80,85
Canada,0,0,0,0,0,0,0,86,87,87,88,88,89,89,89,89,89,88,88,88,88,88,88,88,89,92,94,90,92,95,97,99,99
Central African Republic,13,11,14,16,17,20,19,22,42,61,82,64,45,46,46,51,47,44,45,36,38,40,42,44,45,47,47,46,46,45,46,47,47
Chad,0,0,0,0,4,3,8,13,14,20,20,18,10,12,18,18,20,24,29,34,30,26,31,36,31,37,49,38,30,32,43,40,56
Chile,93,99,99,89,99,99,90,93,96,95,95,94,90,90,94,94,91,90,90,95,91,96,97,96,94,92,94,95,95,94,92,93,90
China,0,0,80,81,84,87,68,78,96,96,98,95,93,90,87,82,84,85,85,86,86,86,86,87,87,87,94,94,99,99,99,99,99
Colombia,16,22,27,42,68,62,53,82,94,90,93,91,84,92,87,87,87,85,75,77,82,83,83,92,89,93,94,93,92,92,88,85,91
Comoros,0,0,0,0,32,53,73,73,44,78,94,55,46,70,58,78,60,48,75,73,70,70,98,80,73,67,69,75,81,84,82,85,85
Congo,42,42,48,53,59,73,71,71,71,79,80,74,67,60,55,50,47,21,25,29,31,32,41,50,67,65,79,80,89,91,90,90,85
Cook Islands,39,48,57,47,96,91,82,82,94,89,83,87,87,99,86,93,75,93,93,92,92,90,97,95,99,99,99,99,99,82,99,93,98
Costa Rica,86,85,80,86,94,88,87,92,87,86,95,90,91,88,88,86,85,97,85,84,80,92,94,88,90,91,89,89,89,80,93,82,90
Croatia,,,,,,,,,,,,,85,86,87,90,91,92,93,93,94,94,95,95,96,96,96,96,96,96,97,96,96
Cuba,99,97,83,95,95,88,99,86,98,96,94,97,99,97,96,95,98,97,97,96,98,99,98,98,98,99,99,99,99,99,99,99,98
Cyprus,35,44,27,36,31,61,91,93,90,93,94,94,95,95,96,96,98,98,98,97,97,97,98,98,98,98,97,97,97,99,99,99,99
Czech Republic,,,,,,,,,,,,,,99,98,98,98,97,97,98,98,97,97,97,96,96,98,99,99,99,99,99,99
Democratic People's Republic of Korea,50,51,51,52,52,65,62,70,58,79,99,98,99,99,93,88,82,76,82,87,93,98,99,99,99,97,98,99,98,98,99,99,99
Democratic Republic of the Congo,15,18,22,26,30,34,39,38,41,38,34,16,31,29,27,24,18,18,18,21,42,30,40,47,52,60,62,72,64,78,76,77,76
Denmark,99,98,99,98,96,99,94,97,99,98,99,98,98,96,99,97,99,99,99,99,97,97,98,96,95,93,93,87,88,89,90,91,94
Djibouti,0,0,6,14,21,22,24,25,65,77,85,53,41,41,41,41,41,32,23,24,46,49,62,68,64,71,72,88,89,89,88,87,81
Dominica,53,97,73,92,82,89,92,95,97,94,94,94,99,99,99,99,99,97,99,99,99,99,98,99,99,98,96,93,95,99,99,99,99
Dominican Republic,46,42,43,22,99,39,79,79,65,70,90,74,73,82,98,70,70,71,68,71,74,79,76,73,70,86,88,80,87,85,86,84,85
Ecuador,19,27,36,32,47,39,44,51,58,64,67,61,86,84,83,82,80,79,83,84,84,92,90,99,93,93,97,99,99,99,99,99,99
Egypt,67,67,67,67,78,84,89,82,89,90,87,86,89,89,91,90,91,94,95,97,98,99,97,98,97,98,98,98,97,97,97,96,93
El Salvador,42,38,42,20,30,54,51,57,63,64,80,61,61,79,89,94,94,97,99,92,98,94,81,93,90,89,96,99,98,91,92,89,92
Equatorial Guinea,0,0,0,0,0,4,4,8,11,15,75,75,76,76,77,79,80,81,81,39,39,39,39,39,39,39,39,39,39,39,39,39,39
Eritrea,,,,,,,,,,,,,,32,49,58,66,75,86,93,82,89,92,95,98,96,96,96,99,99,99,99,99
Estonia,,,,,,,,,,,,,0,67,76,80,86,86,88,91,93,94,94,95,95,96,95,95,95,95,94,93,94
Ethiopia,3,3,3,4,4,6,7,16,16,26,49,21,13,28,57,65,73,83,66,57,53,55,49,44,51,52,54,56,59,60,69,70,70
Fiji,55,62,65,81,72,68,73,92,99,99,96,99,98,96,96,99,99,88,89,90,91,92,94,95,96,97,98,99,99,99,99,99,99
Finland,90,90,78,78,84,89,95,97,99,90,90,97,99,99,98,99,99,95,95,95,96,95,95,96,96,97,97,97,97,99,99,99,99
France,80,80,86,92,97,97,97,89,81,84,95,95,95,95,97,97,97,97,97,98,98,98,97,96,99,98,99,99,98,98,99,99,99
Gabon,0,0,0,0,0,48,59,65,72,78,78,72,66,67,69,70,60,50,47,44,44,44,44,44,44,44,44,78,81,74,68,75,80
