"AREA_NAME","TOT_EMP","JOBS_1000","H_MEAN","A_MEAN","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","SCALED_TOT_EMP","SCALED_A_MEDIAN","LAT","LONG"
"Washington-Arlington-Alexandria, DC-VA-MD-WV Metropolitan Division",184180,77.444,48.24,100330,25.99,35.6,47.67,59.98,71.99,54050,74040,99140,124750,149740,8.01769883451647,2.76992118635106,38.894955,-77.036646
"New York-White Plains-Wayne, NY-NJ Metropolitan Division",169410,31.423,46.78,97300,23.92,32.17,43.73,58.29,74,49740,66910,90960,121240,153910,7.34085527904695,2.07980561856956,40.730599,-73.986581
"Chicago-Joliet-Naperville, IL Metropolitan Division",125170,33.363,38.67,80420,19.85,27.59,37.76,48.55,58.92,41290,57380,78540,100980,122550,5.31353240200081,1.03197733594776,41.875555,-87.624421
"San Jose-Sunnyvale-Santa Clara, CA",113340,116.425,59.57,123910,32.09,44.17,58.24,73.19,89.25,66740,91880,121130,152230,185640,4.77141599975272,4.62513406355342,37.34385,-121.883135
"Seattle-Bellevue-Everett, WA Metropolitan Division",112180,75.155,50.63,105300,26.55,38.34,50.77,62.2,73.16,55230,79740,105590,129380,152180,4.71825834746127,3.31408321718122,47.603832,-122.330062
"Dallas-Plano-Irving, TX Metropolitan Division",109260,48.808,39.99,83170,20.12,28.59,38.8,50.38,61.65,41850,59470,80700,104790,128230,4.58444770548626,1.21420834162111,32.776196,-96.796899
"Atlanta-Sandy Springs-Marietta, GA",97810,40.96,40.04,83270,19.7,26.83,37.93,50.09,61.68,40970,55800,78890,104190,128300,4.05974501691984,1.06150550816335,33.749099,-84.390185
"Boston-Cambridge-Quincy, MA NECTA Division",96190,53.582,46.64,97020,25.55,33.53,44.63,57.68,71.36,53150,69740,92820,119980,148420,3.9855076059611,2.23672676234383,42.360482,-71.059568
"Los Angeles-Long Beach-Glendale, CA  Metropolitan Division",95910,23.643,42.76,88940,21.16,29.43,40.99,54.63,68.44,44010,61210,85260,113630,142350,3.97267644851144,1.59891824248709,34.053717,-118.242727
"Houston-Sugar Land-Baytown, TX",82490,29.01,42.42,88230,20.83,29.29,39.82,53.21,67.27,43330,60910,82830,110670,139920,3.35769740217421,1.39390836110456,29.758938,-95.367697
"Minneapolis-St. Paul-Bloomington, MN-WI",75970,41.635,39.37,81890,21.92,29.29,38.3,48.1,58.67,45590,60920,79670,100050,122030,3.05891473584643,1.12731114910095,39.78373,-100.445882
"San Francisco-San Mateo-Redwood City, CA Metropolitan Division",73500,67.638,51.44,106990,28.72,38.31,50.48,64.1,75.81,59740,79680,105010,133330,157690,2.94572559691551,3.26515081750967,37.779277,-122.41927
"Phoenix-Mesa-Glendale, AZ",66260,36.288,38.2,79450,19.02,25.91,36.54,48.51,59.44,39550,53890,76010,100900,123640,2.61394852571718,0.818530833932206,33.446768,-112.075672
"Philadelphia, PA Metropolitan Division",65170,35.003,40.64,84520,21.21,28.85,39.32,51.09,62.9,44110,60000,81790,106260,130820,2.56399866278815,1.30616750652109,39.952335,-75.163789
"Denver-Aurora-Broomfield, CO",61660,46.523,43.47,90410,22.85,31.36,41.86,54.04,66.85,47530,65220,87070,112400,139040,2.40315093904421,1.75162107594485,39.739154,-104.984703
"Baltimore-Towson, MD",56910,43.967,45.77,95200,21.87,30.96,43.9,57.66,73.21,45480,64390,91310,119940,152290,2.18547951802321,2.10933379078515,39.290861,-76.610807
"Austin-Round Rock-San Marcos, TX",50920,57.434,39.02,81160,19.26,25.63,36.4,50.19,64.24,40050,53310,75710,104390,133630,1.91098439972515,0.793220972033129,30.271129,-97.743699
"Santa Ana-Anaheim-Irvine, CA Metropolitan Division",47500,31.995,43.16,89760,20.12,29.7,42.06,54.92,67.66,41860,61790,87490,114240,140730,1.75426097659003,1.78705488260356,33.74996,-117.873283
"San Diego-Carlsbad-San Marcos, CA",47430,35.919,44.21,91960,22.24,31.22,43.1,55.93,68.83,46270,64930,89650,116340,143160,1.75105318722761,1.96928588827692,32.717421,-117.162771
"St. Louis, MO-IL",42660,32.681,38.06,79170,20.38,27.61,37.22,46.82,57.41,42390,57430,77420,97380,119410,1.5324652549602,0.937487184857869,38.627273,-90.197889
"Edison-New Brunswick, NJ Metropolitan Division",42410,42.334,45.76,95190,23.78,31.99,43.04,56.91,72.08,49450,66540,89520,118370,149920,1.52100886438015,1.95831828145398,40.469647,-74.456977
"Oakland-Fremont-Hayward, CA Metropolitan Division",42350,41.266,48.55,100990,25.89,34.64,46.76,60.55,73.66,53850,72060,97260,125950,153210,1.51825933064094,2.61131271845018,37.804456,-122.271356
"Columbus, OH",38300,39.557,37.88,78790,20.38,28.14,37.72,46.28,55.53,42390,58520,78460,96260,115500,1.33266580324408,1.02522803944134,39.96226,-83.000706
"Kansas City, MO-KS",37710,37.465,37.19,77340,19.7,26.31,36.16,46.05,56.56,40980,54720,75210,95790,117650,1.30562872147516,0.751037868868,39.084469,-94.56303
"Portland-Vancouver-Hillsboro, OR-WA",37340,35.352,39.06,81250,19.77,27.13,37.7,48.65,58.42,41120,56420,78420,101190,121510,1.28867326341668,1.02185339118813,45.520247,-122.674195
