"STATE","TOT_EMP","JOBS_1000","H_MEAN","A_MEAN","H_PCT10","H_PCT25","H_MEDIAN","H_PCT75","H_PCT90","A_PCT10","A_PCT25","A_MEDIAN","A_PCT75","A_PCT90","SCALED_TOT_EMP","SCALED_A_MEDIAN"
"Alabama",39420,21.219,36.7,76330,18.87,25.76,35.26,45.77,57.44,39250,53570,73340,95200,119480,-0.389671723373751,0.102079266066543
"Alaska",5030,15.466,36.24,75380,21.19,27.14,34.97,43.48,52.42,44080,56450,72740,90440,109020,-0.756638259332196,0.0471388645237321
"Arizona",82500,32.649,37.48,77960,18.61,25.44,35.86,47.58,58.48,38710,52920,74580,98960,121630,0.0700234894523555,0.215622762588353
"Arkansas",21420,18.489,31.39,65290,16.11,21.81,30.48,38.96,47.66,33520,45370,63390,81040,99140,-0.581744932075467,-0.809015726185073
"California",514330,34.017,47.81,99450,23.66,33.16,45.63,60.22,74.76,49210,68980,94910,125250,155510,4.67796647354468,2.0771867015306
"Colorado",96120,40.597,42.59,88590,21.68,30.21,41.02,53.45,66.16,45100,62830,85320,111170,137610,0.215358884036654,1.19905595020467
"Connecticut",46180,28.05,41.72,86770,22.88,30.55,40.23,51.04,62.38,47590,63540,83680,106170,129760,-0.31753756277244,1.04888551932099
"Delaware",13570,31.982,41.78,86900,24.06,30.77,41.04,52.41,61.65,50030,63990,85350,109000,128230,-0.665510192537048,1.20180297028181
"Florida",172340,22.483,34.85,72490,17.2,23.14,32.87,44.23,55.89,35770,48130,68370,91990,116240,1.02868221555025,-0.353010393379741
"Georgia",121210,30.43,38.82,80740,19.1,25.94,36.66,48.54,60.09,39740,53960,76260,100970,124980,0.483087595499212,0.369455886908223
"Hawaii",8980,14.666,35.46,73760,19.61,25.61,33.97,43.16,52.5,40800,53260,70660,89770,109200,-0.714488860755986,-0.143321194158013
"Idaho",12190,19.414,31.8,66150,14.62,20.6,29.07,41.45,53.46,30420,42850,60470,86220,111200,-0.68023580520418,-1.07639234702675
"Illinois",166350,28.851,38.3,79670,19.6,27.28,37.43,48.06,58.52,40760,56750,77860,99970,121720,0.964764519987848,0.515963624355719
"Indiana",51590,17.759,33.41,69490,17.7,23.56,31.66,41.47,51.63,36820,49000,65860,86260,107400,-0.259808892823758,-0.582844406500501
"Iowa",31510,20.831,34.36,71470,19.35,25.07,33.3,42.62,51.82,40250,52140,69260,88640,107790,-0.474077227864338,-0.271515464424572
"Kansas",32240,23.716,34.08,70890,17.22,22.99,31.98,43.34,54.38,35810,47830,66520,90140,113120,-0.466287592178102,-0.522409964803409
"Kentucky",30090,16.641,30.81,64080,15.68,21,29.14,39.55,48.02,32620,43680,60610,82260,99890,-0.48922966988414,-1.0635729200001
"Louisiana",20400,10.65,29.96,62320,15.68,20.42,27.81,36.76,47.42,32610,42480,57850,76450,98630,-0.592629080568564,-1.31629876709703
"Maine",10260,17.494,32.49,67570,17.68,22.64,30.78,40.39,51.43,36770,47090,64020,84020,106980,-0.70083032147053,-0.751328304565121
"Maryland",117040,45.765,45.51,94670,22.28,31.44,44.12,56.79,71.17,46340,65390,91770,118130,148040,0.438590635483314,1.78966526678989
"Massachusetts",134620,40.517,45.59,94820,24.64,32.53,43.79,57.01,70.36,51240,67670,91090,118570,146360,0.62618213598199,1.7273994783747
"Michigan",101050,24.806,34.98,72770,17.97,24.46,33.74,44.53,55.1,37370,50880,70170,92620,114610,0.26796560175329,-0.188189188751308
"Minnesota",91560,33.537,38.56,80210,21.03,28.13,37.44,47.53,58.04,43750,58520,77880,98860,120730,0.166700337832219,0.517794971073813
"Mississippi",10610,9.7,30.21,62840,15.69,20.78,28.63,37.38,47.15,32630,43210,59540,77750,98070,-0.697095564634664,-1.16154996941811
"Missouri",74590,27.898,36.04,74960,18.67,25.11,34.93,45.35,56.07,38840,52230,72650,94320,116630,-0.0143820150382318,0.0388978042923105
"Montana",7310,16.486,27.94,58120,14.91,19.17,26.43,34.73,43.83,31010,39860,54970,72230,91160,-0.732308986229978,-1.58001269450252
