"Country","Log_Density","HDI","HDI_Rank","HDI_2013_Rank"
"China",4.95364157257614,0.701358314036,"High","High"
"Brazil",3.13244609686981,0.738594419596,"High","High"
"Russian Federation",2.12942147398486,0.772930075348,"High","High"
"Mexico",4.09033654082456,0.747892779865,"High","High"
"Iran, Islamic Republic of",3.81065451103986,0.725304371432,"High","High"
"Turkey",4.52634340544212,0.738458237857,"High","High"
"Thailand",4.86128418897221,0.715278707879,"High","High"
"Colombia",3.70819176514631,0.705953712009,"High","High"
"Ukraine",4.33441078073222,0.725687697842,"High","High"
"Algeria",2.74470351875025,0.709228288965,"High","High"
"Venezuela, Bolivarian Republic of",3.46072336097618,0.759260758887,"High","High"
"Peru",3.12544388007565,0.721974678265,"High","High"
"Malaysia",4.45143608604605,0.765504453686,"High","High"
"Romania",4.52233190767909,0.779366612688,"High","High"
"Sri Lanka",5.7570072358935,0.735507408901,"High","High"
"Kazakhstan",1.76814960358892,0.746968541513,"High","High"
"Ecuador",3.96840333886425,0.701059905929,"High","High"
"Tunisia",4.17407953024095,0.715337094441,"High","High"
"Dominican Republic",5.32573796212403,0.691041838359,"High","High"
"Serbia",4.82446634557341,0.742895575613,"High","High"
"Azerbaijan",4.65415080820971,0.743305688995,"High","High"
"Belarus",3.82253583892661,0.779361332326,"High","High"
"Jordan",4.24749474171578,0.743706636884,"High","High"
"Bulgaria",4.19900483276553,0.772502348553,"High","High"
"Libya",1.23256026117785,0.798872922969,"High","High"
"Costa Rica",4.51513606328411,0.750420869778,"High","High"
"Lebanon",6.0340449946431,0.758921988089,"High","High"
"Georgia",4.14265842250065,0.732647609927,"High","High"
"Panama",3.85078569595696,0.759295356517,"High","High"
"Bosnia and Herzegovina",4.32041715304219,0.725688420255,"High","High"
"Oman",2.57945896672922,0.77987193249,"High","High"
"Uruguay",2.95178038602481,0.778613045106,"Very High","High"
"Albania",4.6965636144173,0.707812790276,"High","High"
"Armenia",4.59945387899198,0.719701611775,"High","High"
"Jamaica",5.51901793621111,0.711747793136,"High","High"
"Macedonia, the former Yugoslav Republic of",4.41847909667619,0.728012719362,"High","High"
"Trinidad and Tobago",5.55671222487488,0.76365077893,"High","High"
"Mauritius",6.40263004375222,0.752823684101,"High","High"
"Fiji",3.85290974093564,0.721276875217,"High","High"
"Montenegro",3.78872478908365,0.783764240787,"Very High","High"
"Suriname",1.16938135955632,0.698179183976,"High","High"
"Bahamas",3.2511493854185,0.787667351167,"Very High","High"
"Belize",2.59897910604785,0.714136056346,"High","High"
"Barbados",6.47643375632875,0.779003241405,"High","High"
"Saint Lucia",5.66066618358257,0.716996439207,"High","High"
"Saint Vincent and the Grenadines",5.6355393220598,0.717072300928,"High","High"
"Grenada",5.72106559077876,0.746308058946,"High","High"
"Tonga",4.93476166151708,0.70062328968,"High","High"
"Seychelles",5.29831736654804,0.762912724561,"High","High"
"Antigua and Barbuda",5.28010247812713,0.778026898765,"High","High"
"Dominica",4.54499546295202,0.716812732779,"High","High"
"Saint Kitts and Nevis",5.29445993622073,0.746575195914,"High","High"
"Palau",3.77666136749747,0.768275064129,"High","High"
"Pakistan",5.37240390990073,0.525899346409,"Medium","Low"
"Nigeria",5.15265555411668,0.491974895988,"Medium","Low"
"Ethiopia",4.34730578194549,0.408745547631,"Low","Low"
"Congo, the Democratic Republic of the",3.27789916531766,0.31865682897,"Low","Low"
"Myanmar",4.33781347999756,0.514102449224,"Medium","Low"
"Tanzania, United Republic of",3.86262265513302,0.464385160238,"Medium","Low"
"Kenya",4.25149075102916,0.522273169138,"Medium","Low"
"Sudan",2.96165829322024,0.463201666579,"Low","Low"
"Uganda",4.96974385272018,0.472416100668,"Low","Low"
"Afghanistan",3.78100274298974,0.452523562983,"Low","Low"
"Nepal",5.20620207764023,0.526869334673,"Medium","Low"
"Mozambique",3.39785848039664,0.380155420893,"Low","Low"
"Yemen",3.76375498875904,0.484145512359,"Medium","Low"
"Madagascar",3.58101580823799,0.493945212274,"Medium","Low"
"Cameroon",3.76999850539873,0.493469337641,"Medium","Low"
"Angola",2.75238601492226,0.503920577421,"Medium","Low"
"Côte d'Ivoire",4.07499183370629,0.439124923398,"Low","Low"
"Niger",2.52892353520477,0.322517858351,"Low","Low"
"Burkina Faso",4.03724497018153,0.366512848976,"Low","Low"
"Malawi",4.84197992806612,0.405634484545,"Low","Low"
"Mali",2.42303124606991,0.397984777904,"Low","Low"
"Zimbabwe",3.51094824562127,0.458968653794,"Medium","Low"
"Senegal",4.18980624570068,0.483095300802,"Low","Low"
"Chad",2.21156569460688,0.349140621244,"Low","Low"
"Rwanda",6.01971181004608,0.452723810165,"Medium","Low"
"Guinea",3.78962935721408,0.380196288552,"Low","Low"
"Benin",4.43604122298012,0.4668972906,"Low","Low"
"Haiti",5.87664274766064,0.461948269935,"Low","Low"
"Burundi",5.80441181593813,0.381315267094,"Low","Low"
"Papua New Guinea",2.69597761986794,0.47934270928,"Medium","Low"
"Togo",4.70998055034044,0.460496206972,"Low","Low"
"Eritrea",3.85693303911019,0.372714920966,"Low","Low"
"Sierra Leone",4.38427410721436,0.353418131971,"Low","Low"
"Central African Republic",1.94304891677428,0.354854972536,"Low","Low"
"Liberia",3.57065882272651,0.393240152858,"Low","Low"
"Mauritania",1.25276296849537,0.474500900252,"Low","Low"
"Lesotho",4.19237830249347,0.472061290736,"Low","Low"
"Gambia",5.00233426905687,0.439563192765,"Low","Low"
"Guinea-Bissau",3.78282506695646,0.400634187535,"Low","Low"
"Swaziland",4.22989474904298,0.527088708762,"Medium","Low"
"Djibouti",3.5907152053267,0.452387263808,"Low","Low"
"Equatorial Guinea",3.21124679770371,0.558637885537,"Medium","Low"
"Comoros",5.75177867292446,0.479475940629,"Low","Low"
"Solomon Islands",2.91723004539903,0.48876972993,"Medium","Low"
"India",5.90459861408632,0.569904437176,"Medium","Medium"
"Indonesia",4.83142888020245,0.670856574091,"High","Medium"
"Bangladesh",6.95605008238544,0.539240556238,"Medium","Medium"
"Philippines",5.74133513070879,0.650590168961,"Medium","Medium"
"Viet Nam",5.5991624255261,0.629348698395,"Medium","Medium"
"Egypt",4.35619587463936,0.67848876261,"High","Medium"
"South Africa",3.74194617505063,0.638400010296,"Medium","Medium"
"Iraq",4.26042381291463,0.637801684691,"Medium","Medium"
"Morocco",4.26070609943733,0.602994378996,"Medium","Medium"
"Uzbekistan",4.12826278042556,0.648438438226,"Medium","Medium"
"Ghana",4.61828382513347,0.556387186546,"Medium","Medium"
"Syrian Arab Republic",4.75600107569068,0.662299243693,"Medium","Medium"
"Guatemala",4.88060253601096,0.612783354211,"Medium","Medium"
"Cambodia",4.37386844697242,0.570515549701,"Medium","Medium"
"Zambia",2.86562358820697,0.529567686527,"Medium","Medium"
"Bolivia, Plurinational State of",2.22462355152433,0.657816703115,"Medium","Medium"
"Tajikistan",3.9759363311718,0.595629857992,"Medium","Medium"
"Honduras",4.21936063553837,0.611600448626,"Medium","Medium"
"Paraguay",2.76506045581899,0.668665993044,"Medium","Medium"
"Lao People's Democratic Republic",3.29620716780452,0.549150795166,"Medium","Medium"
"El Salvador",5.6887703545357,0.652285733927,"Medium","Medium"
"Nicaragua",3.80577320558544,0.604409415727,"Medium","Medium"
"Kyrgyzstan",3.2910104226274,0.614056297561,"Medium","Medium"
"Turkmenistan",2.33505228313155,0.686610065245,"High","Medium"
"Congo",2.48657192910706,0.565314944427,"Medium","Medium"
"Palestine, State of",6.46952934763049,0.671312503487,"High","Medium"
"Moldova, Republic of",4.65946895939547,0.651524146047,"Medium","Medium"
"Mongolia",0.548121408509688,0.67136202405,"High","Medium"
"Namibia",0.970778917158225,0.609579642911,"Medium","Medium"
"Botswana",1.18784342239605,0.671640051484,"High","Medium"
"Gabon",1.75958057086382,0.66239230069,"Medium","Medium"
"Timor-Leste",4.275276264727,0.60581179915,"Medium","Medium"
"Guyana",1.29746314741327,0.626252178532,"Medium","Medium"
"Bhutan",2.72523502585631,0.569431596765,"Medium","Medium"
"Cape Verde",4.79579054559674,0.621623591212,"Medium","Medium"
"Maldives",6.9908732531726,0.688238699122,"High","Medium"
"Vanuatu",2.96217549002515,0.616840078682,"Medium","Medium"
"Sao Tome and Principe",5.18077180269299,0.542806753992,"Medium","Medium"
"Samoa",4.14598779537394,0.688010513753,"High","Medium"
"Micronesia, Federated States of",4.99822527401957,0.626539596909,"Medium","Medium"
"Kiribati",4.79446735651847,0.599046137463,"Medium","Medium"
"United States",3.45883716110857,0.908203081846,"Very High","Very High"
"Japan",5.82026095604787,0.884045425685,"Very High","Very High"
"Germany",5.44901924896153,0.903986589082,"Very High","Very High"
"France",4.58771879237434,0.878849392153,"Very High","Very High"
"United Kingdom",5.53544271538267,0.895377472946,"Very High","Very High"
"Italy",5.30265793264646,0.869128147583,"Very High","Very High"
"Korea, Republic of",6.19851936607261,0.882311783962,"Very High","Very High"
"Spain",4.51622967669144,0.86387618164,"Very High","Very High"
"Argentina",2.68033636253469,0.799130688757,"Very High","Very High"
"Poland",4.80533166091038,0.825809804559,"Very High","Very High"
"Canada",1.22964055107451,0.895923080318,"Very High","Very High"
"Saudi Arabia",2.54002594900908,0.814524770954,"Very High","Very High"
"Australia",1.0681530811834,0.925652509523,"Very High","Very High"
"Chile",3.12060125559986,0.80826507963,"Very High","Very High"
"Netherlands",5.99173950930241,0.903755405359,"Very High","Very High"
"Cuba",4.62271536520384,0.824313895163,"Very High","Very High"
"Greece",4.43319492124828,0.856313985283,"Very High","Very High"
"Belgium",5.8816217789258,0.877263243828,"Very High","Very High"
"Czech Republic",4.89649561335467,0.858445717921,"Very High","Very High"
"Portugal",4.74162230912359,0.815900664132,"Very High","Very High"
"Hungary",4.67888522381037,0.816774709952,"Very High","Very High"
"Sweden",3.03735394824481,0.895290340316,"Very High","Very High"
"United Arab Emirates",4.61492247743077,0.82378822239,"Very High","Very High"
"Austria",4.60696856792947,0.877319173969,"Very High","Very High"
"Switzerland",5.24523299545558,0.91487523966,"Very High","Very High"
"Israel",5.87843581680998,0.880960797216,"Very High","Very High"
"Hong Kong",8.77277140571746,0.88236314582,"Very High","Very High"
"Denmark",4.858338450408,0.897930204416,"Very High","Very High"
"Slovakia",4.71160012960394,0.825754609365,"Very High","Very High"
"Finland",2.76443053453832,0.876587160148,"Very High","Very High"
