"Country","LandMass","Den2013","Den2010","Den2000","Den1990","Den1980","HDI_80","HDI_90","HDI_00","HDI_10","HDI_13","Rank2013","Rank2010","Rank2000","Rank1990","Rank1980","Rank"
"Norway",323802,15.57,15.1,13.87,13.09,12.61,0.792797737295,0.840563587232,0.9102406195,0.939383727484,0.94359758071,"Very High","Very High","High","High","High","1"
"Australia",7686850,3.04,2.91,2.51,2.22,1.91,0.840945132535,0.865551607082,0.897795516724,0.925652509523,0.932662115105,"Very High","Very High","High","High","High","2"
"Switzerland",41290,195.64,189.66,173.55,161.64,152.68,0.805717077337,0.829162816273,0.885813882074,0.91487523966,0.917394316934,"Very High","Very High","High","High","High","3"
"Netherlands",41526,403.58,400.11,381.93,358.57,339.23,0.783321561555,0.825986810553,0.874178580711,0.903755405359,0.915282799302,"Very High","Very High","High","High","High","4"
"United States",9826630,32.57,31.78,28.96,25.9,23.42,0.825386232848,0.858031970836,0.883142042233,0.908203081846,0.913741642744,"Very High","Very High","High","High","High","5"
"Germany",357021,231.71,232.53,233.91,225.44,221.75,0.738572730759,0.781541193035,0.853654656291,0.903986589082,0.911436942001,"Very High","Very High","High","High","High","6"
"New Zealand",268680,16.77,16.26,14.36,12.65,11.71,0.792916305237,0.821000552334,0.873175774542,0.902644808693,0.910001628506,"Very High","Very High","High","High","High","7"
"Canada",9984670,3.52,3.42,3.07,2.77,2.45,0.808563584815,0.848447699338,0.866793287656,0.895923080318,0.901851575243,"Very High","Very High","High","High","High","8"
"Singapore",697,7764.33,7286.94,5621.23,4327.12,3464.85,0.744458671112,0.744458671112,0.79992029601,0.893620073513,0.901305854886,"Very High","Very High","High","High","High","9"
"Denmark",43094,130.39,128.81,123.87,119.27,118.88,0.781162966418,0.806048147652,0.858688278073,0.897930204416,0.900460725286,"Very High","Very High","High","High","High","10"
"Ireland",70280,65.84,63.57,54.13,50.24,48.63,0.734402741717,0.774728491995,0.862430569252,0.899262777413,0.899299119093,"Very High","Very High","High","High","High","11"
"Sweden",449964,21.27,20.85,19.72,19.02,18.47,0.776305433873,0.806645975082,0.888902320258,0.895290340316,0.897818201916,"Very High","Very High","High","High","High","12"
"Iceland",103000,3.2,3.09,2.73,2.48,2.21,0.754413002133,0.800330004116,0.858403256077,0.8860424338,0.894693734033,"Very High","Very High","High","High","High","13"
"United Kingdom",244820,257.89,253.52,240.79,233.7,229.98,0.734593311669,0.767998371878,0.863411915739,0.895377472946,0.891725911003,"Very High","Very High","High","High","High","14"
"Hong Kong",1092,6596.92,6456.04,6259.16,5305.86,4628.21,0.697706621179,0.775368325472,0.809534921682,0.88236314582,0.891128639249,"Very High","Very High","High","High","High","15"
"Korea, Republic of",98480,500.23,492.02,466.87,436.35,380.29,0.628369319397,0.730948313194,0.818754995799,0.882311783962,0.890669323936,"Very High","Very High","High","High","High","16"
"Japan",377835,336.51,337.06,332.72,323.55,306.78,0.772330578662,0.817411832906,0.857817297454,0.884045425685,0.890086070326,"Very High","Very High","High","High","High","17"
"Liechtenstein",160,230.78,225,206.25,181.25,162.5,0.882389782846,0.882389782846,0.882389782846,0.882389782846,0.88862662534,"Very High","Very High","High","High","High","18"
"Israel",20770,372.32,357.25,289.55,216.61,180.31,0.748782404967,0.785378324748,0.848990128731,0.880960797216,0.887762596885,"Very High","Very High","High","High","High","19"
"France",643427,99.92,98.27,92.03,88.35,83.83,0.721890646354,0.779037306335,0.847623836275,0.878849392153,0.884325552004,"Very High","Very High","High","High","High","20"
"Austria",83870,101.29,100.18,95.62,91.45,90.08,0.735778400131,0.786235327798,0.83523896128,0.877319173969,0.881209839263,"Very High","Very High","High","High","High","21"
"Luxembourg",2586,205.1,196.44,168.6,147.72,140.76,0.729183743734,0.786017699003,0.866194580648,0.88099120143,0.88092072782,"Very High","Very High","High","High","High","22"
"Belgium",30528,363.75,358.39,336.35,326.85,322.85,0.752518810193,0.804948919123,0.872575468479,0.877263243828,0.880780038064,"Very High","Very High","High","High","High","23"
"Finland",338145,16.05,15.87,15.31,14.75,14.13,0.75180221819,0.791517496659,0.840573924301,0.876587160148,0.879024287079,"Very High","Very High","High","High","High","24"
"Slovenia",20273,102.2,101.32,98.16,98.85,90.37,0.769230085825,0.769230085825,0.821451173187,0.873421463151,0.874292762937,"Very High","Very High","High","High","High","25"
"Italy",301230,202.47,200.87,189.18,188.67,186.64,0.718406371826,0.762901342977,0.824844903603,0.869128147583,0.87180880694,"Very High","Very High","High","High","High","26"
"Spain",504782,92.96,91.49,79.8,77.03,74.28,0.701506862884,0.755334579652,0.825945971064,0.86387618164,0.868910783796,"Very High","Very High","High","High","High","27"
"Czech Republic",78866,135.7,133.82,129.97,130.93,130.77,0.761692275712,0.761692275712,0.805691784653,0.858445717921,0.861342063905,"Very High","Very High","High","High","High","28"
"Greece",131940,84.34,84.2,83.27,77.01,73.09,0.713013845569,0.748664272758,0.798072109037,0.856313985283,0.852664377642,"Very High","Very High","High","High","High","29"
"Brunei Darussalam",5770,72.41,69.5,57.54,44.54,33.45,0.740192018122,0.785699759843,0.822398443607,0.843797103123,0.851822888226,"Very High","Very High","High","High","High","30"
"Qatar",11437,189.62,153.01,51.94,41.71,19.59,0.729471315096,0.75558720464,0.811293440651,0.846544629268,0.850742672708,"Very High","Very High","High","High","High","31"
"Cyprus",9250,123.37,119.35,101.95,82.92,74.05,0.660745611264,0.726481966398,0.79963495163,0.848259650318,0.845018727371,"Very High","Very High","High","High","High","32"
"Estonia",45226,28.46,28.72,30.2,34.6,32.59,0.730281181283,0.730281181283,0.775693891151,0.82988148966,0.83990081081,"Very High","Very High","High","High","High","33"
"Saudi Arabia",2149690,13.41,12.68,9.37,7.54,4.58,0.583069085035,0.662075792156,0.743771105154,0.814524770954,0.835530674765,"Very High","Very High","High","High","High","34"
"Lithuania",65200,46.27,47.06,53.65,56.7,52.64,0.736838818371,0.736838818371,0.757484532215,0.828888563257,0.83428562562,"Very High","Very High","High","High","High","35"
"Poland",312685,122.22,122.16,122.65,122.01,113.98,0.687417741021,0.713730481276,0.784009906585,0.825809804559,0.834217683087,"Very High","Very High","High","High","High","36"
"Andorra",468,169.27,166.67,138.89,117.52,76.92,0.830264849189,0.830264849189,0.830264849189,0.832001786498,0.830264849189,"Very High","Very High","High","High","High","37"
"Slovakia",48845,111.58,111.23,110.31,108.06,102.14,0.746901367991,0.746901367991,0.776312813587,0.825754609365,0.829877297245,"Very High","Very High","High","High","High","38"
"Malta",316,1357.61,1344.94,1291.14,1186.71,1044.3,0.70437873327,0.730241511066,0.770239211657,0.82078299976,0.828909442851,"Very High","Very High","High","High","High","39"
