dosage_form	route	trade_name	approval_date	ad_type	oral	topical	parenteral	black_box_warning	applicant_full_name	innovator_company	product_id	nda_type
"AEROSOL, FOAM"	TOPICAL	WOMEN'S ROGAINE	2/28/14	OTC	0	1	0	\N	JOHNSON AND JOHNSON GROUP CONSUMER COMPANIES	\N	PRODUCT_021812_002	N
"AEROSOL, FOAM"	TOPICAL	SORILUX	10/6/10	RX	0	1	0	0	STIEFEL LABORATORIES INC	\N	PRODUCT_022563_001	N
"AEROSOL, FOAM"	TOPICAL	BETAMETHASONE VALERATE	11/26/12	RX	0	1	0	1	PERRIGO CO	\N	PRODUCT_078337_001	A
"AEROSOL, FOAM"	TOPICAL	CLINDAMYCIN PHOSPHATE	3/31/10	RX	0	1	0	1	PERRIGO UK FINCO LTD PARTNERSHIP	\N	PRODUCT_090785_001	A
"AEROSOL, FOAM"	TOPICAL	MINOXIDIL	4/28/11	OTC	0	1	0	0	PERRIGO ISRAEL PHARMACEUTICALS LTD	\N	PRODUCT_091344_001	A
"AEROSOL, FOAM"	TOPICAL	KETOCONAZOLE	8/25/11	RX	0	1	0	0	PERRIGO ISRAEL PHARMACEUTICALS LTD	\N	PRODUCT_091550_001	A
"AEROSOL, FOAM"	TOPICAL	CLOBETASOL PROPIONATE	8/14/12	RX	0	1	0	\N	PERRIGO ISRAEL PHARMACEUTICALS LTD	\N	PRODUCT_201402_001	A
"AEROSOL, FOAM"	TOPICAL	FABIOR	5/11/12	RX	0	1	0	\N	STIEFEL LABORATORIES INC	\N	PRODUCT_202428_001	N
"AEROSOL, FOAM"	TOPICAL	ECOZA	10/24/13	RX	0	1	0	\N	VELDANA MEDICAL SA	\N	PRODUCT_205175_001	N
"AEROSOL, METERED"	INHALATION	DULERA	6/22/10	RX	0	1	0	1	MERCK SHARP AND DOHME CORP	\N	PRODUCT_022518_001	N
"AEROSOL, METERED"	INHALATION	DULERA	6/22/10	RX	0	1	0	1	MERCK SHARP AND DOHME CORP	\N	PRODUCT_022518_002	N
"AEROSOL, METERED"	NASAL	ZETONNA	1/20/12	RX	0	1	0	0	TAKEDA GMBH	\N	PRODUCT_202129_001	N
"AEROSOL, METERED"	NASAL	QNASL	3/23/12	RX	0	1	0	0	TEVA BRANDED PHARMACEUTICAL PRODUCTS R AND D INC	\N	PRODUCT_202813_001	N
CAPSULE	ORAL	NALFON	7/21/09	RX	1	0	0	1	XSPIRE LLC	\N	PRODUCT_017604_004	N
CAPSULE	ORAL	INDOMETHACIN	4/20/84	RX	1	0	0	1	MYLAN PHARMACEUTICALS INC	\N	PRODUCT_018858_001	N
