"dates2","comp4.ISO","comp4.applicant_full_name"
1982,"USA","WYETH CONSUMER HEALTHCARE"
1982,"DEU","BOEHRINGER INGELHEIM PHARMACEUTICALS INC"
1982,"USA","ABBVIE INC"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"USA","PARKE DAVIS DIV WARNER LAMBERT CO"
1982,"ITA","BRACCO DIAGNOSTICS INC"
1982,"USA","PFIZER INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"CHE","NOVARTIS PHARMACEUTICALS CORP"
1982,"USA","PARKE DAVIS DIV WARNER LAMBERT CO"
1982,"JPN","SHIONOGI INC"
1982,"USA","BRISTOL MYERS SQUIBB CO"
1982,"USA","MALLINCKRODT MEDICAL INC"
1982,"USA","MALLINCKRODT MEDICAL INC"
1982,"USA","PFIZER INC"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"ITA","SIGMA TAU PHARMACEUTICALS INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"USA","MALLINCKRODT INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"USA","WATSON LABORATORIES INC"
1982,"USA","MCNEIL CONSUMER HEALTHCARE"
1982,"USA","PFIZER INC"
1982,"USA","MALLINCKRODT LLC"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"USA","ABBVIE INC"
1982,"GBR","GLAXOSMITHKLINE LLC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"USA","MALLINCKRODT INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"GBR","GLAXOSMITHKLINE"
1982,"CHE","SANDOZ INC"
1982,"USA","BRISTOL LABORATORIES INC DIV BRISTOL MYERS CO"
1982,"GBR","GLAXOSMITHKLINE"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"CHE","SANDOZ INC"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"USA","PARKE DAVIS DIV WARNER LAMBERT CO"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"CHE","SANDOZ INC"
1982,"CHE","SANDOZ INC"
1982,"USA","MALLINCKRODT CHEMICAL INC"
1982,"CHE","SANDOZ INC"
1982,"GBR","GLAXOSMITHKLINE"
1982,"GBR","GLAXOSMITHKLINE"
1982,"USA","PFIZER INC"
1982,"USA","MALLINCKRODT CHEMICAL INC"
1982,"USA","PFIZER LABORATORIES DIV PFIZER INC"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"CAN","VALEANT PHARMACEUTICALS INTERNATIONAL"
1982,"CAN","VALEANT INTERNATIONAL BERMUDA"
1982,"USA","WYETH PHARMACEUTICALS INC"
1982,"USA","BRISTOL MYERS SQUIBB CO"
1982,"CAN","VALEANT INTERNATIONAL BARBADOS SRL"
1982,"USA","PHARMACIA AND UPJOHN CO"
1982,"FRA","SANOFI AVENTIS US LLC"
1982,"CHE","NOVARTIS CONSUMER HEALTH INC"
