,wban,dewpt,tavg,wp,long,lat,stname,ststate
0,03013,21.5,45.9,155.4,-102.688,38.070,LAMAR,CO
1,03017,20.0,41.6,180.1,-104.658,39.833,DENVER,CO
2,03024,27.9,60.4,101.8,-101.394,35.700,BORGER,TX
3,03026,20.7,44.1,164.0,-102.284,39.245,BURLINGTON,CO
4,03027,14.1,43.9,105.5,-105.663,35.003,CLINES CORNERS,NM
5,03028,20.8,43.9,166.5,-102.614,37.283,SPRINGFIELD,CO
6,03029,10.6,42.2,90.1,-109.061,35.658,WINDOW ROCK,AZ
7,03030,25.1,50.6,149.9,-101.505,36.682,GUYMON,OK
8,03031,33.8,61.4,141.8,-102.387,31.921,ODESSA,TX
9,03032,41.5,65.2,181.9,-102.213,30.048,DRYDEN,TX
10,03102,44.0,61.7,245.4,-117.600,34.056,ONTARIO,CA
11,03103,17.0,40.2,161.6,-111.672,35.140,FLAGSTAFF,AZ
12,03104,34.9,68.2,103.6,-116.160,33.628,PALM SPRINGS,CA
13,03131,48.5,61.1,313.2,-117.139,32.816,SAN DIEGO,CA
14,03144,34.2,69.2,92.5,-115.579,32.834,IMPERIAL,CA
15,03145,33.6,70.0,84.5,-114.617,32.650,YUMA,AZ
16,03154,49.5,57.0,392.1,-117.350,33.300,CAMP PENDLETON,CA
17,03159,34.2,56.6,186.8,-118.219,34.741,LANCASTER,CA
18,03160,24.4,55.3,108.6,-116.028,36.621,MERCURY,NV
19,03162,19.8,54.3,81.4,-111.448,36.926,PAGE,AZ
20,03164,35.9,52.6,249.7,-116.467,32.617,CAMPO,CA
21,03166,47.8,63.3,275.0,-117.979,33.872,FULLERTON,CA
22,03167,48.7,62.1,302.7,-118.334,33.923,HAWTHORNE,CA
23,03170,22.6,40.6,221.4,-116.006,39.601,EUREKA,NV
24,03171,43.8,62.4,234.9,-117.439,33.952,RIVERSIDE,CA
25,03177,50.2,59.4,364.4,-117.279,33.128,CARLSBAD,CA
26,03178,49.2,58.4,363.7,-116.979,32.572,SAN DIEGO,CA
27,03179,45.5,61.7,264.5,-117.636,33.975,CHINO,CA
28,03184,23.5,66.2,44.5,-112.082,33.688,PHOENIX,AZ
29,03192,24.7,66.7,48.8,-111.911,33.623,SCOTTSDALE,AZ
30,03195,17.1,40.3,161.6,-112.155,35.946,GRAND CANYON,AZ
31,03196,20.8,58.5,65.4,-110.846,31.421,NOGALES,AZ
32,03757,39.6,52.0,308.9,-76.429,38.142,ST INIGOES,MD
33,03802,35.9,49.3,291.6,-80.229,39.296,CLARKSBURG,WV
34,03810,40.1,55.8,265.7,-81.390,35.741,HICKORY,NC
35,03811,43.3,54.8,324.9,-88.917,35.593,JACKSON,TN
36,03812,37.8,53.1,268.8,-82.538,35.432,ASHEVILLE,NC
37,03813,49.5,61.2,326.8,-83.654,32.688,MACON,GA
38,03816,41.2,53.3,314.4,-88.774,37.056,PADUCAH,KY
39,03818,54.5,64.3,358.2,-85.184,30.836,MARIANNA,FL
40,03820,49.1,60.8,326.1,-81.965,33.370,AUGUSTA,GA
41,03822,53.4,65.0,331.1,-81.202,32.119,SAVANNAH,GA
42,03849,37.7,51.9,282.4,-84.077,37.087,LONDON,KY
43,03853,57.6,67.4,360.0,-81.417,30.400,MAYPORT,FL
44,03856,42.9,58.0,275.6,-86.786,34.644,HUNTSVILLE,AL
45,03859,32.9,49.9,242.9,-81.208,37.296,BLUEFIELD,WV
46,03860,36.9,53.0,257.7,-82.555,38.382,HUNTINGTON,WV
47,03866,48.6,59.7,334.8,-88.567,32.550,MERIDIAN,MS
48,03868,38.5,49.0,336.0,-87.309,39.452,TERRE HAUTE,IN
49,03870,42.9,58.3,271.9,-82.219,34.899,GREER,SC
50,03872,33.9,47.8,283.6,-81.125,37.795,BECKLEY,WV
51,03878,51.3,63.1,326.8,-86.012,31.861,TROY,AL
52,03887,37.8,48.5,332.3,-88.866,39.984,DECATUR,IL
53,03888,44.6,58.3,295.3,-84.521,33.779,ATLANTA,GA
54,03889,36.6,54.1,241.1,-83.314,37.591,JACKSON,KY
55,03893,38.2,49.6,322.4,-86.617,39.144,BLOOMINGTON,IN
56,03894,41.5,53.3,319.4,-87.415,36.622,CLARKSVILLE,TN
57,03901,49.3,61.4,320.6,-94.711,32.385,LONGVIEW,TX
58,03904,53.6,65.3,329.8,-96.364,30.588,COLLEGE STATION,TX
59,03919,33.0,51.4,226.9,-97.661,38.813,SALINA,KS
60,03927,45.4,61.2,268.8,-97.041,32.896,DALLAS-FORT WORTH,TX
61,03928,33.7,52.5,223.2,-97.429,37.647,WICHITA,KS
62,03932,37.8,54.5,251.6,-99.200,35.340,CLINTON,OK
63,03935,42.3,52.3,346.5,-89.571,37.225,CAPE GIRARDEAU,MO
64,03936,34.5,49.8,265.7,-96.678,39.135,MANHATTAN,KS
65,03937,57.6,66.2,378.5,-93.228,30.125,LAKE CHARLES,LA
66,03940,50.5,61.8,332.9,-90.078,32.320,JACKSON,MS
67,03945,38.4,51.4,299.6,-92.218,38.817,COLUMBIA,MO
68,03947,36.8,50.2,292.9,-94.718,39.299,KANSAS CITY,MO
69,03949,52.5,62.6,352.0,-93.283,31.400,FORT POLK,LA
70,03950,40.8,56.6,265.1,-98.416,34.568,LAWTON,OK
71,03953,44.6,53.7,362.5,-90.646,35.831,JONESBORO,AR
72,03954,38.6,55.7,247.2,-97.647,35.534,OKLAHOMA CITY,OK
73,03957,34.4,51.8,239.8,-98.553,37.284,MEDICINE LODGE,KS
74,03959,37.2,52.4,269.4,-96.011,36.762,BARTLESVILLE,OK
75,03960,39.0,51.8,302.7,-90.157,38.571,CAHOKIA/ST.LOUIS,IL
76,03962,44.2,57.5,300.3,-93.096,34.478,HOT SPRINGS,AR
77,03963,38.5,51.8,295.3,-92.156,38.591,JEFFERSON CITY,MO
78,03966,39.5,51.0,321.8,-90.656,38.657,ST LOUIS,MO
79,03967,35.5,50.4,271.3,-94.739,38.850,OLATHE,KS
80,03971,46.2,59.9,296.6,-96.868,32.681,DALLAS,TX
81,03975,42.4,53.1,336.0,-90.325,36.773,POPLAR BLUFF,MO
