"Neighborhood","CUISINE","RESTAURANT","SCORE"
"Washington Heights","Spanish","ORTIZ RESTAURANT",66
"West Midtown ","Chinese","SAVOUR SICHUAN",65
"Lower East Side ","Chinese","XING WONG BBQ",63
"Greenwich Village ","Chinese","HUNAN BISTRO",60
"East Harlem ","Caribbean","CARVAL PIZZERIA",58
"Financial District ","American","OPEN MARKET",53
"East Greenwich Village ","American","BRINDLE ROOM",49
"East Harlem ","Latin Cuban Dominican Puerto Rican South  Central American","EL AGUILA",49
"Upper East Side","American","STARGATE DINER",49
"East Midtown ","Delicatessen","Plaza Garden",48
"West Greenwich Village ","Hamburgers","JOY BURGER BAR",48
"Greenwich Village ","Japanese","OH TAISHO",47
"West Midtown ","Korean","MADANGSUI",47
"Gramercy ","American","RIDGEWAY DINER",45
"Greenwich Village ","Latin Cuban Dominican Puerto Rican South  Central American","VSPOT ORGANIC",45
"Murray Hill ","Indian","PIPPALI",44
"Lower East Side ","Chinese","A SAN FUZHOU RESTAURANT",43
"Upper East Side ","Mexican","CASCABEL TAQUERIA",42
"Upper West Side","American","GOOD ENOUGH TO EAT AG BISTRO",42
"East Harlem ","Chinese","KING FOOD",41
"East Midtown ","Thai","THAI GRILL SUSHI BAR",41
"Inwood ","Mexican","MADE IN MEXICO",41
"West Midtown ","Chinese","LAN SHENG RESTAURANT SZECHUAN FOOD",41
"East Midtown ","Japanese","GYUKAKU",40
"Tribeca, Soho ","Italian","CHA CHA'S BACKYARD GARDEN BAR  CAFE",40
"West Midtown ","Chinese","CHEF YU / AZUKI",40
"East Harlem ","Spanish","MEGASUN RESTAURANT",39
"Upper West Side","American","AMSTERDAM ALE HOUSE",39
"West Greenwich Village ","Asian","CARMA ASIAN TAPAS",39
"Washington Heights ","Spanish","BERTI RESTAURANT  LOUNGE",38
"East Midtown ","Chinese","MEE NOODLE  GRILL",37
"Upper East Side ","French","JACQUE'S CAFE",37
"East Midtown ","Caf/Coffee/Tea","RED MANGO",36
"East Midtown ","Japanese","TENZAN",36
"Murray Hill ","American","OPEN KITCHEN",36
