"INSPECTION.DATE","GRADE","RESTAURANT","SCORE","count"
"1/7/2016","C","ORTIZ RESTAURANT",66,7
"4/15/2016","Z","XING WONG BBQ",63,7
"4/11/2016","Z","HUNAN BISTRO",60,10
"1/8/2016","C","CARVAL PIZZERIA",58,7
"1/27/2016","C","OPEN MARKET",53,7
"3/25/2016","Z","OH TAISHO",47,6
"3/1/2016","Z","RIDGEWAY DINER",45,6
"3/16/2016","Z","VSPOT ORGANIC",45,6
"4/13/2016","Z","PIPPALI",44,6
"4/15/2016","Z","THAI GRILL SUSHI BAR",41,6
"2/17/2016","C","CHEF YU / AZUKI",40,6
"3/21/2016","C","CHA CHA'S BACKYARD GARDEN BAR  CAFE",40,6
"3/9/2016","C","MEGASUN RESTAURANT",39,6
