"lat","long","name","Marker"
40.760658,-73.988082,"Frisson Espresso","green"
40.798452,-73.974414,"JUICE PRESS","green"
40.750422,-73.996328,"FRESH  CO","green"
40.745527,-73.978449,"STARBUCKS","green"
40.74964,-73.991889,"CHICKEN/CELEBRITY CHEF DELI CONCESSION","green"
40.74964,-73.991889,"BAR","green"
40.74964,-73.991889,"BAR/BALL PARK","green"
40.74964,-73.991889,"CARNEGIE DELI CATESSEN","green"
40.74964,-73.991889,"CASA NONNA","green"
40.74964,-73.991889,"CHICKEN/FRIES CONCESSION","green"
40.74964,-73.991889,"CHICKEN/FRIES CONCESSION","green"
40.74964,-73.991889,"DUNKIN DONUTS/JEAN GEORGES SIMPLY CHICKEN","green"
40.74964,-73.991889,"EMPLOYEE FEEDING","green"
40.74964,-73.991889,"GARDEN MARKET","green"
40.74964,-73.991889,"Garden Market 35/36","green"
40.74964,-73.991889,"GARDEN MARKET 37/38","green"
40.74964,-73.991889,"GARDEN MARKET DUNKIN DONUTS","green"
40.74964,-73.991889,"Garden Market/Jean Georges Simply Chicken","green"
40.74964,-73.991889,"HAMBURGER/CELEBRITY CHEF","green"
40.74964,-73.991889,"HAMBURGER/CELEBRITY CHEF UNCLE JACKS","green"
40.74964,-73.991889,"HOT DOG CONCESSION","green"
40.74964,-73.991889,"HOT DOG CONCESSION","green"
40.74964,-73.991889,"MADISON CLUB","green"
40.74964,-73.991889,"PRESS ROOM","green"
40.74964,-73.991889,"PUB","green"
40.74964,-73.991889,"SAUSAGE BOSS","green"
40.74964,-73.991889,"SENZAI SUSHI/LOBSTER SHRIMP ROLL BY AQUA GRILL","green"
40.74964,-73.991889,"SUITE 200/1879","green"
40.74964,-73.991889,"THEATER FLY","green"
40.752196,-73.981822,"LITTLE LIONS","green"
40.753481,-73.980888,"FRESH  CO","green"
40.798452,-73.974414,"LENWICH","green"
40.759786,-73.976289,"SUBWAY","green"
40.755332,-73.993172,"GREGORY'S COFFEE","green"
40.819853,-73.952556,"CHINELOS II DELIGROCERY RESTAURANT","green"
40.740916,-73.999769,"MCDONALD'S","green"
40.764584,-73.963013,"COLONY CLUB","green"
40.756543,-74.003253,"STARBUCKS","green"
40.741335,-74.005082,"LENWICH","green"
40.77303,-73.978281,"MAPLE","green"
40.752955,-73.973196,"TERRI","green"
40.756654,-73.978565,"KURUMAZUSHI RESTAURANT","green"
40.738261,-73.991517,"SWEETGREEN","green"
40.776322,-73.960016,"DIG INN SEASONAL MARKET","green"
40.778312,-73.962767,"ROASTING PLANT","green"
40.710927,-74.014262,"YI ZHANG FISHBALL","green"
40.730223,-73.988564,"SIGIRI","green"
40.798664,-73.967778,"MAHARAJA PALACE","green"
40.790365,-73.965632,"TRIBECA TREATS","green"
40.758775,-73.967842,"PIG  WHISTLE","green"
40.839137,-73.942181,"ORTIZ RESTAURANT","red"
40.753076,-73.985897,"SAVOUR SICHUAN","red"
40.718758,-73.986427,"XING WONG BBQ","red"
40.730223,-73.988564,"HUNAN BISTRO","red"
40.791884,-73.943517,"CARVAL PIZZERIA","red"
40.736691,-73.993119,"OPEN MARKET","red"
40.800664,-73.946462,"EL AGUILA","red"
40.780989,-73.95158,"STARGATE DINER","red"
40.728781,-73.984448,"BRINDLE ROOM","red"
40.754782,-73.979936,"Plaza Garden","red"
40.738088,-74.005095,"JOY BURGER BAR","red"
40.749102,-73.984076,"VERY FRESH NOODLES","red"
40.731165,-73.99192,"MADANGSUI","red"
40.734671,-73.994585,"OH TAISHO","red"
40.739024,-73.983542,"VSPOT ORGANIC","red"
40.742178,-73.983232,"RIDGEWAY DINER","red"
40.728696,-73.989804,"PIPPALI","red"
40.776629,-73.953914,"A SAN FUZHOU RESTAURANT","red"
40.798452,-73.974414,"CASCABEL TAQUERIA","red"
40.755404,-73.979483,"GOOD ENOUGH TO EAT AG BISTRO","red"
40.791884,-73.943517,"THAI GRILL SUSHI BAR","red"
40.86723,-73.924415,"KING FOOD","red"
40.752332,-73.983782,"MADE IN MEXICO","red"
40.795635,-73.940486,"LAN SHENG RESTAURANT SZECHUAN FOOD","red"
40.755332,-73.993172,"CHA CHA'S BACKYARD GARDEN BAR  CAFE","red"
40.758775,-73.967842,"JOE THE ART OF COFFEE","red"
40.791884,-73.943517,"CHEF YU / AZUKI","red"
40.798452,-73.974414,"GYUKAKU","red"
40.750959,-73.982723,"MEGASUN RESTAURANT","red"
40.742142,-73.987056,"AMSTERDAM ALE HOUSE","red"
40.78085,-73.960918,"CARMA ASIAN TAPAS","red"
40.752955,-73.973196,"VIVI BUBBLE TEA","red"
40.742276,-73.989229,"BERTI RESTAURANT  LOUNGE","red"
40.747107,-73.983305,"JACQUE'S CAFE","red"
40.752955,-73.973196,"MEE NOODLE  GRILL","red"
40.758775,-73.967842,"FLEET BAKERY","red"
40.751634,-73.983783,"OPEN KITCHEN","red"
40.832685,-73.939675,"RED MANGO","red"
40.780989,-73.95158,"TENZAN","red"
40.823438,-73.949039,"FABRICK BY DAVID BURKE","red"
40.737941,-73.986835,"PIANOS","red"
40.823438,-73.949039,"BRICKLANE CURRY HOUSE","red"
40.815326,-73.935756,"NEW KIM TONG","red"
40.755332,-73.993172,"ROHM THAI","red"
40.752955,-73.973196,"CHINESE FAST WOK","red"
40.756032,-73.979024,"EL NUEVO AMANECER RESTAURANT","red"
40.760556,-73.989455,"JOE COFFEE SHOP","red"
40.812242,-73.9532,"Harry's Cafe/Harry's Steak","red"
40.7373,-73.996886,"CAROL'S BUN","red"
40.744003,-73.985533,"TAVOLA","red"
