State,Corn ,Wheat 
Alabama,100,100
Alaska,0,0
Arizona,0,338
Arkansas,0,0
California,4730,18622
Colorado,2040,26864
Connecticut,0,0
Delaware,47,0
Florida,0,0
Georgia,95,44
Hawaii,3,0
Idaho,2967,9583
Illinois,8139,3539
Indiana,2950,812
Iowa,25355,1939
Kansas,4948,18065
Kentucky,1123,2
Louisiana,165,0
Maine,790,298
Maryland,2069,153
Massachusetts,114,5
Michigan,15493,6358
Minnesota,28449,6898
Mississippi,0,0
Missouri,4176,2063
Montana,5,55063
Nebraska,15810,15894
Nevada,0,0
New Hampshire,0,5
New Jersey,0,0
New Mexico,93,7185
New York,18546,3018
North Carolina,1369,1741
North Dakota,2882,22839
Ohio,10060,2579
Oklahoma,0,2481
Oregon,2103,4076
Pennsylvania,12608,1199
Rhode Island,0,0
South Carolina,0,0
South Dakota,7314,14555
Tennessee,67,0
Texas,17006,15745
Utah,39,51917
Vermont,0,545
Virginia,1252,34
Washington,7611,5785
West Virginia,34,0
Wisconsin,33364,4218
Wyoming,553,31266
