Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,ABW,GDP at market prices (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1330167598,1320670391,1379888268,1531843575,1665363128,1722798883,1873452514,1920262570,1941094972,2021301676,2228279330,2331005587,2421474860,2623726257,2791960894,2498932961,2467703911,2584463687,,,,
Andorra,AND,GDP at market prices (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,78617622.62,89406587.66,113414399.2,150841573.5,186557164,220112879.8,227284061.5,253998001.2,308020288.9,411548365.7,446377571.5,388982990.5,375914806.5,327849981.5,330073057,346742876.3,481996191.3,611300147.3,721425971.8,795489464,1028989394,1106891025,1209992650,1007090915,1017544675,1178745314,1224023416,1180646068,1211953954,1239840270,1401694156,1484004617,1717563533,2373836214,2916913449,3248134607,3536451646,4010785102,4001349340,3649863493,3346317329,3427235709,3146177741,3249100675,,
Afghanistan,AFG,GDP at market prices (current US$),NY.GDP.MKTP.CD,537777811.9,548888894.6,546666678,751111190.8,800000045.5,1006666638,1399999966,1673333419,1373333367,1408888923,1748886596,1831108972,1595555476,1733333265,2155555499,2366666615,2555555567,2953333419,3300000108,3697940345,3641723447,3478787910,,,,,,,,,,,,,,,,,,,,2461666315,4128818042,4583648922,5285461999,6275076016,7057598407,9843842455,10190529882,12486943506,15936800636,17930239400,20536542737,20458939155,20038215159,
Angola,AGO,GDP at market prices (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,6684491979,6684491979,6684491979,6684491979,10026737968,10026737968,12118610904,5684291719,5278182971,3101000000,5060000000,7526963964,7649716157,6445427699,6152936539,9129634978,8936063723,15285594828,17812704825,23552047248,36970918699,52381006892,65266452081,88538611205,73157893410,83369475451,1.10891E+11,1.25492E+11,1.38357E+11,,
Albania,ALB,GDP at market prices (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,1924242453,1965384586,2173750013,2156624900,2126000000,2335124988,2101624963,1139166646,709452583.9,1228071038,1985673798,2424499009,3314898291,2359903108,2707123772,3414760915,3632043908,4060758804,4435078648,5746945913,7314865176,8158548717,8992642349,10701011896,12881352688,12044212904,11926953259,12890867538,12319784787,12781029643,13211513726,
Arab World,ARB,GDP at market prices (current US$),NY.GDP.MKTP.CD,,,,,,,,,25463189637,28106476259,31015030187,36018414387,42863643775,54455899286,1.04344E+11,1.15384E+11,1.43661E+11,1.6587E+11,1.8339E+11,2.47442E+11,3.36807E+11,3.46669E+11,3.22925E+11,3.02788E+11,3.06804E+11,3.02509E+11,2.87764E+11,3.11279E+11,3.05852E+11,3.20573E+11,4.43859E+11,4.36805E+11,4.6783E+11,4.73296E+11,4.84257E+11,5.2005E+11,5.74467E+11,6.09295E+11,5.87646E+11,6.40059E+11,7.30783E+11,7.19113E+11,7.24855E+11,8.18121E+11,9.59479E+11,1.17976E+12,1.39863E+12,1.63868E+12,2.07755E+12,1.7956E+12,2.1E+12,2.49343E+12,2.76786E+12,2.84198E+12,2.86903E+12,
United Arab Emirates,ARE,GDP at market prices (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,14720672892,19213022856,24871774866,23775831263,31225462774,43598747467,49333424084,46622718557,42803323301,41807954192,40603650189,33943612060,36384908706,36275674166,41464995871,50701443696,51552165622,54239171888,55625170253,59305093980,65743666576,73571233996,78839008445,75674336283,84445473111,1.04337E+11,1.03312E+11,1.09816E+11,1.24346E+11,1.47824E+11,1.80617E+11,2.22106E+11,2.57916E+11,3.15475E+11,2.53547E+11,2.86049E+11,3.48526E+11,3.7343E+11,3.87192E+11,3.99451E+11,
Argentina,ARG,GDP at market prices (current US$),NY.GDP.MKTP.CD,,,24450604878,18272123664,25605249382,28344705967,28630474728,24256667553,26436857247,31256284544,31584210366,33293199095,34733000536,52544000117,72436777342,52438647922,51169499891,56781000101,58082870156,69252328953,76961923742,78676842366,84307486837,1.03979E+11,79092001998,88416668900,1.10934E+11,1.11106E+11,1.26207E+11,76636898036,1.41352E+11,1.8972E+11,2.28789E+11,2.36742E+11,2.5744E+11,2.58032E+11,2.7215E+11,2.92859E+11,2.98948E+11,2.83523E+11,2.84204E+11,2.68697E+11,97724513456,1.27586E+11,1.81873E+11,2.20814E+11,2.62667E+11,3.29318E+11,4.03782E+11,3.76628E+11,4.6164E+11,5.5789E+11,6.04378E+11,6.14384E+11,5.3766E+11,
Armenia,ARM,GDP at market prices (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2256838858,2068526522,1272577522,1201313196,1315158670,1468317350,1596968913,1639492424,1893726437,1845482181,1911563665,2118467913,2376335048,2807061009,3576615240,4900469515,6384451606,9206301700,11662040714,8647936748,9260284938,10142111334,10619320049,11121465767,11644438423,
American Samoa,ASM,GDP at market prices (current US$),NY.GDP.MKTP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
