nhood,valueone
Upper West Side,1007775
Upper East Side,884250
East New York,300808
Washington Heights,527716
Astoria,434156
Williamsburg,867950
Bedford Stuyvesant,749588
Flatbush,442125
Crown Heights,675000
Jamaica,337040
Harlem,726400
Williamsbridge,
East Harlem,700588
Bushwick,
East Flatbush,665700
Corona,190000
Sunset Park,367058
Borough Park,672266
Elmhurst,287250
Bensonhurst,573461
Lower East Side,679650
Canarsie,439076
Flushing,341200
South Ozone Park,377750
Murray Hill,430650
Sheepshead Bay,229000
Gravesend,476500
Forest Hills,293250
East Village,800750
Far Rockaway,
East Elmhurst,469050
Jackson Heights,263950
Midwood,634875
Flatlands,417307
Ozone Park,434520
Queens Village,422000
Park Slope,964250
Gramercy,646150
Richmond Hill,400000
Bay Ridge,369950
Kensington,420000
Bath Beach,400455
Bayside,650050
Maspeth,548365.6471
Hamilton Heights,
Chelsea,699977
Woodside,267625
Sunnyside,327275
Greenwich Village,962000
Coney Island,360000
Rego Park,252200
Morningside Heights,618823
Kew Gardens Hills,199700
Parkchester,111650
Ocean Parkway,430000
Woodhaven,420000
Inwood,445315
Dyker Heights,
Wakefield,
Melrose,
St. Albans,
Throggs Neck,369000
Hollis,372117
Whitestone,391350
Fort Greene,786450
Greenwood,
Greenpoint,765000
Rochdale,
Glendale,502000
Middle Village,614750
Homecrest,405000
Bellerose,451750
Fort Hamilton,316617
Clinton,975769
Financial District,833500
Briarwood,163461
Brighton Beach,406923
Auburndale,666529
Flatiron District,1308447
Laurelton,
Pelham Gardens,
Rosedale,
Howard Beach,229500
College Point,
Marine Park,547500
Pelham Bay,
Eltingville,410550
Douglaston-Little Neck,470000
Clinton Hill,672614
Great Kills,416923
Fresh Meadows,677888
Oakland Gardens,227875
West Village,984600
Kew Gardens,215750
Brooklyn Heights,913719
Columbus Circle,762006
Sutton Place,783950
West Brighton,408176
Wingate,
Heartland Village,334495
Gowanus,
Prospect Heights,754000
Turtle Bay,841500
Midtown,1094550
Port Richmond,
Baychester,
Tribeca,2995250
Spuyten Duyvil,277941
Carnegie Hill,2320000
Rockaway Park,
Tudor City,537900
Battery Park,829615
Cambria Heights,410000
Hillcrest,
Arden Heights,357000
New Springville,
Emerson Hill,585100
Jamaica Estates,
Glen Oaks,260875
Mariner's Harbor,290000
Riverdale,377337
Bay Terrace,324300
Oakwood,400100
Floral park,515000
Carroll Gardens,
North Riverdale,239000
Roosevelt Island,
Bulls Head,400000
Boerum Hill,
Rosebank,375000
St. George,604360
Stapleton,
Graniteville,
Meiers Corners,
Georgetown,1010500
SoHo,1638461
Hunters Point,792692
Park Hill,
Brookville,
Chinatown,
Rossville,341730
Murray Hill,743250
Tottenville,
Huguenot,
Downtown,
Richmond Town,415100
Prince's Bay,
Midland Beach,390000
Clason Point,
Greenridge,369950
Little Italy,
South Beach,
Grymes Hill,
Windsor Terrace,740407
Rockaway Beach,
Castleton Corners,
Arrochar,
Country Club,
Cobble Hill,560000
Grant City,
Old Town,
Bay Terrace,
Grasmere - Concord,245000
Clearview,245000
Mill Basin,
New Brighton,1400000
NoHo,
Woodrow,
Gerritsen Beach,
Astoria Heights,
Belle Harbor,
Garment District,
Columbia Street Waterfront District,
Pleasant Plains,
New Dorp Beach,
DUMBO,
Elm Park,
Broad Channel,840000
Charleston,1028061
Willowbrook,435000
