"Treatment_ID","Treatment_Description"
281,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W CC"
280,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W MCC"
282,"ACUTE MYOCARDIAL INFARCTION, DISCHARGED ALIVE W/O CC/MCC"
897,"ALCOHOL/DRUG ABUSE OR DEPENDENCE W/O REHABILITATION THERAPY W/O MCC"
303,"ATHEROSCLEROSIS W/O MCC"
491,"BACK & NECK PROC EXC SPINAL FUSION W/O CC/MCC"
202,"BRONCHITIS & ASTHMA W CC/MCC"
203,"BRONCHITIS & ASTHMA W/O CC/MCC"
309,"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W CC"
308,"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W MCC"
310,"CARDIAC ARRHYTHMIA & CONDUCTION DISORDERS W/O CC/MCC"
602,"CELLULITIS W MCC"
603,"CELLULITIS W/O MCC"
473,"CERVICAL SPINAL FUSION W/O CC/MCC"
313,"CHEST PAIN"
191,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE W CC"
190,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE W MCC"
192,"CHRONIC OBSTRUCTIVE PULMONARY DISEASE W/O CC/MCC"
286,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W MCC"
287,"CIRCULATORY DISORDERS EXCEPT AMI, W CARD CATH W/O MCC"
74,"CRANIAL & PERIPHERAL NERVE DISORDERS W/O MCC"
57,"DEGENERATIVE NERVOUS SYSTEM DISORDERS W/O MCC"
638,"DIABETES W CC"
439,"DISORDERS OF PANCREAS EXCEPT MALIGNANCY W CC"
149,"DYSEQUILIBRIUM"
391,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W MCC"
392,"ESOPHAGITIS, GASTROENT & MISC DIGEST DISORDERS W/O MCC"
39,"EXTRACRANIAL PROCEDURES W/O CC/MCC"
536,"FRACTURES OF HIP & PELVIS W/O MCC"
563,"FX, SPRN, STRN & DISL EXCEPT FEMUR, HIP, PELVIS & THIGH W/O MCC"
378,"G.I. HEMORRHAGE W CC"
377,"G.I. HEMORRHAGE W MCC"
379,"G.I. HEMORRHAGE W/O CC/MCC"
389,"G.I. OBSTRUCTION W CC"
390,"G.I. OBSTRUCTION W/O CC/MCC"
292,"HEART FAILURE & SHOCK W CC"
291,"HEART FAILURE & SHOCK W MCC"
293,"HEART FAILURE & SHOCK W/O CC/MCC"
481,"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W CC"
480,"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W MCC"
482,"HIP & FEMUR PROCEDURES EXCEPT MAJOR JOINT W/O CC/MCC"
305,"HYPERTENSION W/O MCC"
853,"INFECTIOUS & PARASITIC DISEASES W O.R. PROCEDURE W MCC"
65,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W CC"
64,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W MCC"
66,"INTRACRANIAL HEMORRHAGE OR CEREBRAL INFARCTION W/O CC/MCC"
689,"KIDNEY & URINARY TRACT INFECTIONS W MCC"
690,"KIDNEY & URINARY TRACT INFECTIONS W/O MCC"
418,"LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W CC"
419,"LAPAROSCOPIC CHOLECYSTECTOMY W/O C.D.E. W/O CC/MCC"
238,"MAJOR CARDIOVASC PROCEDURES W/O MCC"
372,"MAJOR GASTROINTESTINAL DISORDERS & PERITONEAL INFECTIONS W CC"
469,"MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W MCC"
470,"MAJOR JOINT REPLACEMENT OR REATTACHMENT OF LOWER EXTREMITY W/O MCC"
330,"MAJOR SMALL & LARGE BOWEL PROCEDURES W CC"
329,"MAJOR SMALL & LARGE BOWEL PROCEDURES W MCC"
552,"MEDICAL BACK PROBLEMS W/O MCC"
640,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W MCC"
641,"MISC DISORDERS OF NUTRITION,METABOLISM,FLUIDS/ELECTROLYTES W/O MCC"
315,"OTHER CIRCULATORY SYSTEM DIAGNOSES W CC"
314,"OTHER CIRCULATORY SYSTEM DIAGNOSES W MCC"
394,"OTHER DIGESTIVE SYSTEM DIAGNOSES W CC"
699,"OTHER KIDNEY & URINARY TRACT DIAGNOSES W CC"
698,"OTHER KIDNEY & URINARY TRACT DIAGNOSES W MCC"
253,"OTHER VASCULAR PROCEDURES W CC"
252,"OTHER VASCULAR PROCEDURES W MCC"
254,"OTHER VASCULAR PROCEDURES W/O CC/MCC"
246,"PERC CARDIOVASC PROC W DRUG-ELUTING STENT W MCC OR 4+ VESSELS/STENTS"
247,"PERC CARDIOVASC PROC W DRUG-ELUTING STENT W/O MCC"
249,"PERC CARDIOVASC PROC W NON-DRUG-ELUTING STENT W/O MCC"
251,"PERC CARDIOVASC PROC W/O CORONARY ARTERY STENT W/O MCC"
300,"PERIPHERAL VASCULAR DISORDERS W CC"
301,"PERIPHERAL VASCULAR DISORDERS W/O CC/MCC"
243,"PERMANENT CARDIAC PACEMAKER IMPLANT W CC"
244,"PERMANENT CARDIAC PACEMAKER IMPLANT W/O CC/MCC"
917,"POISONING & TOXIC EFFECTS OF DRUGS W MCC"
918,"POISONING & TOXIC EFFECTS OF DRUGS W/O MCC"
885,"PSYCHOSES"
189,"PULMONARY EDEMA & RESPIRATORY FAILURE"
176,"PULMONARY EMBOLISM W/O MCC"
811,"RED BLOOD CELL DISORDERS W MCC"
812,"RED BLOOD CELL DISORDERS W/O MCC"
683,"RENAL FAILURE W CC"
682,"RENAL FAILURE W MCC"
684,"RENAL FAILURE W/O CC/MCC"
178,"RESPIRATORY INFECTIONS & INFLAMMATIONS W CC"
177,"RESPIRATORY INFECTIONS & INFLAMMATIONS W MCC"
208,"RESPIRATORY SYSTEM DIAGNOSIS W VENTILATOR SUPPORT <96 HOURS"
