Vendor Name , Budget Fiscal Year , Date , Vendor HQ State , Vendor HQ City , Government Area , Department Name , Department , Account , Account Name , Funding Type , Fund Name , Fund , Object Class , Object Code Name , Object Code , Statewide Contract Number , Amount Spent
SWANSEA PEDIATRICS ASSOC.,2010,2009-07-17,MA,SWANSEA,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,513.35
SHEA MORIN DC INC,2010,2009-07-13,MA,NANTUCKET,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,30.64
MT AUBURN PATHOLOGISTS INC,2010,2009-08-24,MA,CAMBRIDGE,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,452.13
LAUREN A KITCHELL,2010,2009-08-24,MA,PLYMOUTH,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,866.8
MARIA R WARTH,2010,2009-09-04,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,48.67
FELICIDAD G MELQUIADES,2010,2009-09-04,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,343.72
CRV DERMATOLOGY LLC,2010,2009-08-28,CT,ENFIELD,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,12.38
LIBERTY TESTING LABORATOR,2010,2009-09-14,MA,BOSTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,104.88
LOUIS SPARANGES,2010,2009-09-18,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,197
THE WHITTIER PHARMACIST INC,2010,2009-11-09,MA,HAVERHILL,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,3717.45
CHERYL ANDREWS,2010,2009-10-26,MA,PROVINCETOWN,Health and Human Services,Exec Office of Health & Human Services,EHS,40000950,Children's Behavioral Health Initiative,Budgetary,General Fund,0010,RR,Medicaid,R10,,69
DAVID E EISENBERG MD PC,2010,2009-11-20,MA,CHELSEA,Health and Human Services,Exec Office of Health & Human Services,EHS,40000430,COMMONHEALTH SUPPLEMENTAL CARE FOR,Budgetary,General Fund,0010,RR,Medicaid,R10,,157.51
"PRATT OTOLARYGOLOGY HEAD &, NECK SURGERY ASSOC INC",2010,2009-12-04,MA,BOSTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,169.4
HEART RHYTHM SPECIALISTS,2010,2009-11-23,MA,WORCESTER,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,5.58
KOZOL VISION CTR INC,2010,2009-12-11,MA,NORTH EASTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000320,PRIOR YEAR COLLECTIONS FROM LIENS/ESTATE,Budgetary,General Fund,0010,RR,Medicaid,R10,,152.05
R ROGER KOMER MD,2010,2009-09-28,,,Health and Human Services,Mass Rehabilitation Commission,MRC,41200511,VOCATIONAL REHABILITATION-DETERMINATION,Federal Grants,Federal Grants Fund,0100,HH,Health and Safety Services,HH4,RFR99-8990004,300
THOMAS A KARP,2010,2009-11-24,,,Judiciary,Committee for Public Counsel Service,CPC,03211510,"COMPENSATION OF PRIVATE COUNSEL,",Budgetary,General Fund,0010,RR,Public Counsel,R24,LEGISLATIVEXMPT,2275
HANDY HOUSE INC,2010,2009-08-31,MA,FOXBORO,Energy & Environmental Affairs,Dept of Conservation and Recreation,DCR,28100100,STATE PARKS AND RECREATION,Budgetary,General Fund,0010,LL,Programmatic Facility Equipment Rental or Lease,L23,FAC39,227.7
NEP LLC,2010,2009-12-15,ME,WESTBROOK,Energy & Environmental Affairs,Department of Environmental Protection,EQE,22000100,ENIVRONMENTAL COMPLIANCE,Budgetary,General Fund,0010,UU,Telecommunications Services - Voice,U02,ITT30,4.89
INSTATRAC LP,2010,2009-11-02,MA,BOSTON,Independents,Victim and Witness Assistance Board,VWA,45100810,SEXUAL ASSAULT NURSE EXAMINERS PROGRAM,Budgetary,General Fund,0010,EE,"Subscriptions, Memberships & Licensing Fees",E12,,61.15
NEW ALBERTSONS INC,2010,2009-11-17,ID,BOISE,Health and Human Services,Department of Mental Health,DMH,50462000,FOR SERVICES TO THE HOMELESS MENTALLY,Budgetary,General Fund,0010,FF,"Food, Beverages & Preservation",F01,,188.52
"SOUTH SHORE ARC INC, DAVID C CALHOUN",2010,2009-08-19,MA,NO WEYMOUTH,Health and Human Services,Department of Developmental Services,DMR,59202000,RESIDENTIAL AND DAY COMPONENT,Budgetary,General Fund,0010,MM,Purch.H&Ss For Clit.Med/Hc Rel,MM3,269013177SSA,11685.38
DIANA CHARLES,2010,2009-07-10,,,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,164.64
BROCKTON PEDIATRICS INC,2010,2009-08-21,MA,BROCKTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40001405,MassHealth - Essential Plan,Budgetary,General Fund,0010,RR,Medicaid,R10,,87.02
"BROCKTON UROLOGY CLINIC, INC.",2010,2009-08-21,MA,BROCKTON,Health and Human Services,Exec Office of Health & Human Services,EHS,40000700,INDEMNITY/THIRD PARTY LIABILITY PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,755.49
NORTH SHORE PHYSICIANS GRP INC,2010,2009-09-08,MA,SALEM,Health and Human Services,Exec Office of Health & Human Services,EHS,40000500,MANAGED CARE PLAN,Budgetary,General Fund,0010,RR,Medicaid,R10,,49307.45
