CountryName,CountryCode,IndicatorName,IndicatorCode,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Andorra,AND,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.64,6.56,6.56,8.05,6.01,6.20,5.60,5.82,5.81,5.71,5.77,6.04,6.22,6.21,6.19,7.20,7.19,8.30
Angola,AGO,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.83,3.45,4.58,4.70,4.11,3.39,5.82,4.36,4.93,5.12,4.16,4.54,3.38,3.84,4.37,3.41,3.44,3.47
Albania,ALB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,2.52,4.03,4.81,5.34,5.83,6.35,6.04,6.50,6.16,6.51,6.28,5.95,6.44,6.11,6.00,5.53,6.03,5.97
Arab World,ARB,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.81,3.81,3.94,4.15,4.25,4.08,4.41,4.46,4.23,3.99,3.62,3.58,3.67,3.50,4.44,4.08,3.82,3.77
United Arab Emirates,ARE,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,2.64,2.46,2.49,2.62,2.48,2.19,2.48,2.72,2.65,2.46,2.32,2.33,2.48,2.67,3.43,3.24,3.11,2.84
Argentina,ARG,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,8.31,8.02,8.36,8.54,9.36,9.21,9.38,8.31,8.22,8.19,8.33,8.26,8.21,8.28,9.41,8.19,7.87,8.49
Armenia,ARM,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.42,5.79,5.77,5.76,5.68,6.25,5.94,5.40,5.56,5.50,5.25,4.58,4.31,3.80,4.55,4.56,3.71,4.49
Antigua and Barbuda,ATG,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.88,4.61,4.64,4.64,3.96,4.04,4.38,4.31,4.40,4.12,4.50,4.47,4.57,4.44,4.56,5.65,5.51,5.16
Australia,AUS,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.25,7.44,7.49,7.65,7.78,8.06,8.16,8.39,8.34,8.59,8.48,8.52,8.55,8.75,9.04,8.95,8.97,8.94
Austria,AUT,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,9.58,9.53,9.81,9.97,10.16,10.02,10.09,10.12,10.30,10.43,10.42,10.22,10.26,10.49,11.23,11.64,11.34,11.47
Azerbaijan,AZE,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.79,6.12,5.45,5.43,5.36,4.67,4.48,4.47,6.56,7.92,7.86,6.17,5.10,4.37,5.85,5.33,5.01,5.39
Burundi,BDI,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.46,5.41,5.01,5.74,5.60,6.30,6.77,7.08,7.16,9.72,10.08,11.63,10.03,7.86,6.96,8.84,8.96,8.13
Belgium,BEL,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,7.61,7.91,7.77,7.89,8.08,8.12,8.29,8.46,9.97,10.01,9.98,9.48,9.53,9.91,10.59,10.50,10.51,10.79
Benin,BEN,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.69,4.59,4.31,4.39,4.59,4.34,4.69,4.27,4.63,4.56,4.73,4.75,4.55,4.19,4.37,4.35,4.48,4.49
Burkina Faso,BFA,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.30,4.52,4.53,4.68,5.26,5.13,4.94,5.01,5.52,6.11,6.87,7.37,7.65,8.58,7.28,7.36,6.37,6.17
Bangladesh,BGD,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,3.53,3.46,2.75,2.73,2.76,2.82,2.98,3.09,3.04,3.12,3.21,3.40,3.46,3.54,3.71,3.69,3.81,3.60
Bulgaria,BGR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,5.23,4.67,5.12,5.36,5.97,6.18,7.37,7.58,7.58,7.31,7.31,6.89,6.81,6.97,7.23,7.58,7.27,7.42
Bahrain,BHR,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,4.10,4.04,4.36,4.21,4.12,3.51,3.80,3.89,3.74,3.94,3.74,3.59,3.62,4.10,4.49,4.26,3.83,3.88
"Bahamas, The",BHS,"Health expenditure, total (% of GDP)",SH.XPD.TOTL.ZS,6.85,6.92,5.55,5.59,5.23,5.21,5.15,5.26,5.62,6.02,5.95,6.93,7.08,7.30,7.43,7.43,7.55,7.52
