CountryName,CountryCode,Indicator.Name,Indicator.Code,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.56,73.59,73.61,73.64,73.68,73.72,73.78,73.87,73.97,74.09,74.23,74.38,74.53,74.67,74.82,74.95,75.08,75.21
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,52.38,52.97,53.51,53.99,54.43,54.85,55.26,55.67,56.11,56.57,57.06,57.57,58.09,58.61,59.11,59.60,60.07,60.51
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,42.05,42.50,43.06,43.71,44.44,45.20,45.97,46.71,47.39,48.00,48.54,49.01,49.44,49.85,50.25,50.65,51.06,51.46
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.24,72.53,72.90,73.33,73.79,74.27,74.73,75.16,75.53,75.84,76.09,76.29,76.46,76.63,76.80,76.98,77.16,77.35
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,66.34,66.65,66.95,67.21,67.46,67.67,67.87,68.05,68.23,68.41,68.60,68.79,68.99,69.19,69.38,69.57,69.76,69.95
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.12,73.39,73.65,73.91,74.16,74.41,74.65,74.89,75.12,75.36,75.58,75.80,76.01,76.21,76.41,76.60,76.78,76.96
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.66,72.89,73.10,73.32,73.53,73.75,73.95,74.16,74.36,74.56,74.75,74.94,75.13,75.31,75.49,75.66,75.84,76.01
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.76,69.22,69.72,70.24,70.77,71.28,71.76,72.20,72.61,72.97,73.29,73.55,73.76,73.94,74.09,74.22,74.33,74.44
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.32,72.54,72.76,72.97,73.19,73.40,73.61,73.81,74.02,74.22,74.42,74.62,74.80,74.99,75.16,75.33,75.50,75.67
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.83,78.08,78.48,78.63,78.93,79.23,79.63,79.94,80.24,80.49,80.84,81.04,81.29,81.40,81.54,81.70,81.90,82.10
