CountryName,CountryCode,Region
Aruba,ABW,Latin America & Caribbean
Afghanistan,AFG,South Asia
Angola,AGO,Sub-Saharan Africa
Albania,ALB,Europe & Central Asia
Andorra,AND,Europe & Central Asia
Arab World,ARB,
United Arab Emirates,ARE,Middle East & North Africa
Argentina,ARG,Latin America & Caribbean
Armenia,ARM,Europe & Central Asia
American Samoa,ASM,East Asia & Pacific
Antigua and Barbuda,ATG,Latin America & Caribbean
Australia,AUS,East Asia & Pacific
Austria,AUT,Europe & Central Asia
Azerbaijan,AZE,Europe & Central Asia
Burundi,BDI,Sub-Saharan Africa
Belgium,BEL,Europe & Central Asia
Benin,BEN,Sub-Saharan Africa
Burkina Faso,BFA,Sub-Saharan Africa
Bangladesh,BGD,South Asia
Bulgaria,BGR,Europe & Central Asia
Bahrain,BHR,Middle East & North Africa
"Bahamas, The",BHS,Latin America & Caribbean
Bosnia and Herzegovina,BIH,Europe & Central Asia
Belarus,BLR,Europe & Central Asia
Belize,BLZ,Latin America & Caribbean
Bermuda,BMU,North America
Bolivia,BOL,Latin America & Caribbean
Brazil,BRA,Latin America & Caribbean
Barbados,BRB,Latin America & Caribbean
Brunei Darussalam,BRN,East Asia & Pacific
Bhutan,BTN,South Asia
Botswana,BWA,Sub-Saharan Africa
Sub-Saharan Africa (IFC classification),CAA,
Central African Republic,CAF,Sub-Saharan Africa
Canada,CAN,North America
East Asia and the Pacific (IFC classification),CEA,
Europe and Central Asia (IFC classification),CEU,
Switzerland,CHE,Europe & Central Asia
Channel Islands,CHI,Europe & Central Asia
Chile,CHL,Latin America & Caribbean
China,CHN,East Asia & Pacific
Côte d'Ivoire,CIV,Sub-Saharan Africa
Latin America and the Caribbean (IFC classification),CLA,
Middle East and North Africa (IFC classification),CME,
Cameroon,CMR,Sub-Saharan Africa
"Congo, Dem. Rep.",COD,Sub-Saharan Africa
"Congo, Rep.",COG,Sub-Saharan Africa
Colombia,COL,Latin America & Caribbean
Comoros,COM,Sub-Saharan Africa
Cabo Verde,CPV,Sub-Saharan Africa
Costa Rica,CRI,Latin America & Caribbean
South Asia (IFC classification),CSA,
Caribbean small states,CSS,
Cuba,CUB,Latin America & Caribbean
Curaçao,CUW,Latin America & Caribbean
Cayman Islands,CYM,Latin America & Caribbean
Cyprus,CYP,Europe & Central Asia
Czech Republic,CZE,Europe & Central Asia
Germany,DEU,Europe & Central Asia
Djibouti,DJI,Middle East & North Africa
Dominica,DMA,Latin America & Caribbean
Denmark,DNK,Europe & Central Asia
Dominican Republic,DOM,Latin America & Caribbean
Algeria,DZA,Middle East & North Africa
East Asia & Pacific,EAP,
East Asia & Pacific (all income levels),EAS,
Europe & Central Asia,ECA,
Europe & Central Asia (all income levels),ECS,
Ecuador,ECU,Latin America & Caribbean
"Egypt, Arab Rep.",EGY,Middle East & North Africa
Euro area,EMU,
Eritrea,ERI,Sub-Saharan Africa
