Specialty	ServiceCount	UniqueBeneficiaries	BeneficiaryServiceCount	TotalAllowedSum	TotalChargedSum	TotalPaymentSum
Internal Medicine	196862742.30	95001597.00	171291483	11385954516.6921	21611392298.5863	8736303008.1018
Ophthalmology	53329774.40	31050042.00	44935439	7332992004.7426	14750957871.3463	5585007863.9666
Cardiology	89680653.50	55308660.00	78519349	6456439722.0733	16761749495.5871	4965533000.9963
Ambulance Service Supplier	158484626.70	14766536.00	25475369	6196607546.4046	13761266566.8424	4916014891.1026
Clinical Laboratory	364776133.00	157856320.00	259037609	5044464490.2423	16975940301.8261	4824100186.4123
Family Practice	124891531.30	63021587.00	115476646	5917183157.1145	10635005496.2131	4372939294.9022
Diagnostic Radiology	152685707.40	84941275.00	92265807	4299612332.6689	15495823448.1063	3408871834.307
Hematology/Oncology	193273013.30	11607555.00	35300823	3420047355.0942	8273298122.1584	2703869932.0584
Ambulatory Surgical Center	6422864.30	4568574.00	5597300	2989563656.2075	14403761169.1857	2373508566.0204
Dermatology	41825224.40	21380825.00	28681510	2954727183.5426	5195408487.4567	2235385550.0624
