County	ServiceCount	UniqueBeneficiaries	BeneficiaryServiceCount	TotalAllowedSum	TotalChargedSum	TotalPaymentSum
LOS ANGELES CA	62512744.50	22768650.00	41312025	2919343212.4293	7440188439.9527	2311684453.5945
COOK IL	40065676.80	14858968.00	25900611	2034659023.2654	5318372245.2879	1579909833.2155
MARICOPA AZ	30682331.40	12485450.00	19574080	1326033079.4574	3210543385.8001	1047430155.3576
HARRIS TX	30663834.30	11741554.00	19323513	1275611790.9791	4006053449.2419	1005928700.2497
NASSAU NY	22680163.80	9460276.00	17421444	1113061554.5881	2642164772.1768	886265260.1723
SAN DIEGO CA	27108402.90	10700935.00	18333010	993726657.3896	2163062876.404	828917602.9409
NEW YORK NY	16491196.20	6493079.00	10934458	1058774113.1117	2980011816.5423	823577618.043
DALLAS TX	25503790.60	10884687.00	16667804	1004702517.1228	3121361156.059	801530958.1247
PALM BEACH FL	19063844.00	6645246.00	11615271	961991251.7395	2090973650.3623	754591924.655
ORANGE CA	17817805.00	5501506.00	10436541	943898754.6587	2087576057.9677	743726531.0237
