id	rate
1001	0.006451
1003	0.047533
1005	0.003835
1007	0.000823
1009	0.002463
1011	0.000685
1013	0.003429
1015	0.054295
1017	0.005835
1019	0.003084
1021	0.002969
1023	0.001811
1025	0.004011
1027	0.002272
1029	0.001276
1031	0.010763
1033	0.039222
1035	0.002590
1037	0.000385
1039	0.015133
1041	0.001182
1043	0.037600
1045	0.005767
1047	0.012989
1049	0.010476
1051	0.006205
1053	0.004877
1055	0.057742
1057	0.002933
1059	0.006540
1061	0.003354
1063	0.000835
1065	0.002129
1067	0.001429
1069	0.116770
1071	0.009161
1073	0.485547
1073	0.000216
1075	0.000729
1077	0.041166
1079	0.004781
1081	0.035101
1083	0.009988
1087	0.000281
1089	0.268747
1091	0.007384
1093	0.008575
1095	0.020411
1097	0.167671
1099	0.003105
1101	0.127686
1103	0.050087
1105	0.000349
1107	0.002987
1109	0.004022
1111	0.003822
1113	0.004023
1115	0.004412
1117	0.036756
1119	0.000375
1121	0.010788
1123	0.016146
1125	0.101460
1127	0.024868
1129	0.000281
1131	0.000684
1133	0.003919
2013	0.000005
2016	0.000146
2020	0.067248
2050	0.000249
2060	0.000037
2068	0.000035
2070	0.000247
2090	0.016212
2100	0.000116
2105	0.000014
2110	0.002818
2122	0.005937
2130	0.001171
2150	0.000415
2164	0.000001
2170	0.010070
2180	0.000056
2185	0.000001
2188	0.000335
2195	0.000022
2198	0.000124
2220	0.001371
2230	0.000006
2240	0.000512
2261	0.000141
2270	0.000011
2275	0.000067
2290	0.000065
4001	0.008203
4003	0.022569
4005	0.032412
4007	0.013816
4009	0.003515
4011	0.000373
4012	0.002883
4013	1.353598
4015	0.096149
4017	0.014295
4019	0.317873
4021	0.025269
4021	0.001179
4023	0.002530
4025	0.095832
4027	0.062855
5001	0.001216
5003	0.002766
5005	0.034178
5007	0.041217
5009	0.011867
5011	0.002444
5013	0.000143
5015	0.002939
5017	0.003934
5019	0.002168
5021	0.000458
5023	0.002898
5025	0.000003
5027	0.004441
5029	0.002510
5031	0.075127
5033	0.003000
5035	0.011123
5037	0.002691
5039	0.000654
5041	0.001690
5043	0.004242
5045	0.027524
5047	0.001084
5049	0.000661
5051	0.067065
5053	0.001059
5055	0.008734
5057	0.003929
5059	0.003333
5061	0.001923
5063	0.020547
5065	0.001011
5067	0.003616
5069	0.030294
5071	0.003298
5073	0.000614
5075	0.001352
5077	0.000212
5079	0.000230
5081	0.000703
5083	0.001790
5085	0.002582
5087	0.000393
5089	0.000428
5091	0.004167
5093	0.005355
5095	0.002065
5097	0.000004
5097	0.000039
5099	0.001732
5103	0.003354
5105	0.000335
5107	0.002319
5109	0.001165
5111	0.001688
5113	0.005809
5115	0.012353
5117	0.000211
5119	0.331006
5121	0.001400
5123	0.002914
5125	0.009550
5127	0.000101
5129	0.000076
5131	0.069866
5133	0.002767
5135	0.002907
5137	0.001777
5139	0.020929
5141	0.000773
5143	0.074259
5145	0.020110
5147	0.000910
5149	0.002765
6001	0.375888
6003	0.000010
6005	0.011519
6007	0.091387
6009	0.004240
6011	0.001611
6013	0.208456
6015	0.006503
6017	0.030325
6019	0.292412
6021	0.001209
6023	0.036156
6025	0.037388
6027	0.003627
6029	0.188598
6031	0.021282
6033	0.016537
6035	0.003451
6037	0.000244
6037	2.987155
6039	0.014062
6041	0.069228
6043	0.000943
6045	0.016071
6047	0.055172
6049	0.000211
6051	0.000435
6053	0.112363
6055	0.042558
6057	0.028497
6059	0.961121
6061	0.076620
6063	0.001948
6065	0.397622
6067	0.374079
6069	0.003954
6071	0.278081
6073	1.071214
6075	0.000085
6075	0.244630
6077	0.130563
6079	0.118998
6081	0.222046
6083	0.180687
6085	0.441984
6087	0.074000
6089	0.120590
6091	0.000021
6093	0.007760
6095	0.045936
6097	0.155457
6099	0.126031
6101	0.045647
6103	0.008449
6105	0.001696
6107	0.114151
6109	0.020970
6111	0.254693
6113	0.016767
6115	0.007972
8001	0.063478
8003	0.003032
8005	0.158568
