NPI	TotalPayment
1902877129	1416706.7223
1356389647	1275195.7937
1235125535	1019434.543
1942394499	999238.002
1710916663	910025.6478
1790758944	858565.5429
1275679755	825807.0708
1073682910	754871.1083
1639140403	737332.0194
1619915295	736416.984
1962449140	734148.6089
1255333415	722834.0983
1326072463	683179.792
1538119490	679388.7043
1366455529	642832.5471
1134218399	611969.5234
1558477661	595615.362
1881647048	590712.382
1154390193	589016.7137
1346276656	582447.3565
1043313000	569208.7914
1326019407	561536.6879
1720036528	560601.6246
1659355295	555759.3726
1790787331	555526.2242
1568451490	552297.6755
1992704035	550407.2028
1518044387	542961.82
1295813996	532440.3671
1265492128	530863.9075
1023032646	528880.2771
1346546496	528137.2339
1346294642	504685.1312
1518117233	502443.9241
1043260136	494297.8739
1750346011	488912.1484
1740220193	488078.3597
1275517211	487415.9595
1932321098	484684.4478
1215933825	481480.3701
1700896750	476377.2936
1871526343	474197.2176
1407814569	458352.1717
1336161322	450377.2292
1407855083	450274.9877
1235210097	449524.0021
1699710483	448898.0071
1255447421	443916.4439
1871560169	439094.9489
1386602431	438308.8031
1982884714	436414.8149
1366544405	434229.4649
1972664902	433153.497
1699738351	432417.7334
1649339441	426437.5756
1093887705	425903.1925
1285732651	420743.7966
1427212638	419543.7347
1073560512	417774.3162
1831175447	412334.3657
1689811978	410968.6945
1659314607	410914.9338
1922007962	410297.6409
1225062912	410102.7801
1306899570	408752.0999
1912959305	405306.6238
1548234073	400095.6439
1245307305	397679.25
1164450672	396900.7349
1811996036	396110.4122
1760597710	394965.4446
1063464840	394735.986
1457306953	394523.4607
1811080716	392530.3166
1558477570	391501.7205
1235176074	389546.0698
1003923426	384067.387
1477574127	382652.4042
1790724417	380864.7038
1871547505	380313.291
1093780926	379295.7245
1255347811	378593.4682
1568426781	377825.2398
1922180330	377256.9728
1548292832	375338.8891
1245313618	374426.0611
1184683849	372331.7682
1538157045	369786.6911
1942249008	367965.7467
1235315995	367322.1977
1437124419	363440.9251
1790737781	359965.0553
1437143013	359307.2566
1134110448	354864.9374
1215946603	354239.3071
1962467563	353581.3779
1316971005	353414.1091
1922197268	348995.3677
1013051705	347160.1524
1376632976	346531.2857
1235295999	346200.0311
1063453876	341229.3504
1144276361	340967.2727
1760431076	340360.1749
1700925211	340115.3675
1699743070	338622.4589
1891798476	338481.3296
1003881699	336998.6259
1588704381	336231.7924
1578563912	334315.5036
1992730725	332950.3556
1508997982	331961.8732
1528069481	331125.9363
1275550964	330553.3112
1336102284	330496.3494
1134275928	330288.3055
1811067275	328819.3177
1437228731	328062.3437
1023123015	328002.8746
1255330361	325356.278
1265401335	324534.2327
1831211861	323793.9008
1750449880	323319.1462
1265603054	322466.6946
1952359440	321560.1178
1831133693	320265.439
1114033826	318679.1332
1851457717	316548.8932
1346223500	316460.4637
1336135599	313944.7443
1518923515	312528.6035
1811911852	312121.8604
1023004587	311972.3236
1578511176	306858.9896
1104025139	306382.1485
1447228762	306262.7147
1306887807	304217.1255
1295784031	303448.2499
1245206655	302606.422
1952357436	302543.0614
1114949211	302159.4988
1487763025	302149.1055
1124023031	300306.1849
1851483119	299895.423
1275623233	299390.5962
1013903509	298815.6655
1821057324	297336.588
1528111341	296304.9537
1720038979	295989.1902
