npi	ServiceCount	UniqueBeneficiaries	TotalPaymentSum
1902877129	41.948000	15.779000	1416.7067
1356389647	18.525000	2.496000	1275.1957
1235125535	21.298000	7.830000	1019.4345
1942394499	14.863000	5.250000	999.238
1710916663	10.558000	2.898000	910.0256
1790758944	12.552000	1.826000	858.5655
1275679755	19.758000	7.031000	825.807
1073682910	14.046000	5.014000	754.8711
1639140403	19.018000	9.206000	737.332
1619915295	13.843000	4.511000	736.4169
1962449140	9.721000	3.160000	734.1486
1255333415	15.229000	3.326000	722.834
1326072463	20.619000	3.504000	683.1797
1538119490	7.964000	2.551000	679.3887
1366455529	6.912000	2.183000	642.8325
1134218399	8.519000	2.485000	611.9695
1558477661	6.604000	3.593000	595.6153
1881647048	8.455000	1.608000	590.7123
1154390193	8.856000	3.581000	589.0167
1346276656	13.275000	3.383000	582.4473
1043313000	8.984000	3.434000	569.2087
1326019407	14.101000	5.993000	561.5366
1720036528	7.529000	1.884000	560.6016
1659355295	7.617000	1.214000	555.7593
1790787331	4.922000	3.438000	555.5262
1568451490	21.028000	10.681000	552.2976
1992704035	66.142000	1.477000	550.4072
1518044387	8.679000	2.709000	542.9618
1295813996	6.435000	3.364000	532.4403
1265492128	6.666000	2.007000	530.8639
1023032646	8.284000	4.086000	528.8802
1346546496	6.572000	3.990000	528.1372
1346294642	5.516000	2.061000	504.6851
1518117233	5.558000	3.153000	502.4439
1043260136	6.206000	2.421000	494.2978
1750346011	7.031000	2.001000	488.9121
1740220193	5.368000	1.888000	488.0783
1275517211	7.944000	2.957000	487.4159
1932321098	7.862000	2.455000	484.6844
1215933825	5.315000	2.088000	481.4803
1700896750	6.941000	2.926000	476.3772
1871526343	7.034000	5.374000	474.1972
1407814569	7.910000	3.307000	458.3521
1336161322	6.321000	1.835000	450.3772
1407855083	5.450000	2.842000	450.2749
1235210097	7.503000	1.947000	449.524
1699710483	6.818000	2.837000	448.898
1255447421	5.288000	1.324000	443.9164
1871560169	7.008000	2.982000	439.0949
1386602431	6.152000	2.250000	438.3088
1982884714	5.767000	3.363000	436.4148
1366544405	6.772000	3.000000	434.2294
1972664902	6.054000	2.795000	433.1534
1699738351	5.714000	2.890000	432.4177
1649339441	9.812000	5.703000	426.4375
1093887705	5.788000	2.138000	425.9031
1285732651	9.940000	2.991000	420.7437
1427212638	4.933000	2.047000	419.5437
1073560512	5.276000	2.447000	417.7743
1831175447	6.003000	2.436000	412.3343
1689811978	3.854000	1.302000	410.9686
1659314607	5.592000	1.601000	410.9149
1922007962	7.356000	2.165000	410.2976
