,EIN,nonpfrea,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,totreprtabled,totcomprelatede,totestcompf,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,grsalesecur,grsalesothr,netgnls,grsincfndrsng,grsincgaming,grsalesinvent,miscrevtota,miscrevtot11b,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,rcvdpdtngcd,cstbasisecur,cstbasisothr,lessdirfndrsng,lessdirgaming,lesscstofgoods,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,totsupport,rntlexpnsreal,rntlexpnsprsnl,noemplyeesw3cnt,noindiv100kcnt,nocontractor100kcnt,NAME,CITY,STATE,NTEE_CD
0,751756215.0,9.0,0.0,0.0,0.0,0.0,190512.0,0.0,0.0,2028056.0,687031.0,57280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29295.0,0.0,0.0,21250.0,16513.0,0.0,0.0,37763.0,2806191.0,N,0.0,0.0,33234.0,0.0,0.0,0.0,0.0,0.0,0.0,190512.0,0.0,907084.0,0.0,107427.0,0.0,2642.0,0.0,2450.0,0.0,0.0,0.0,359060.0,125312.0,93951.0,23194.0,3435.0,133573.0,80108.0,0.0,9953.0,160730.0,0.0,296181.0,18971.0,19107.0,375.0,50753.0,0.0,0.0,0.0,2584816.0,0.0,0.0,0.0,0.0,0.0,0.0,DALLAS BLACK DANCE THEATRE,DALLAS,TX,A620
29,311347641.0,7.0,0.0,0.0,0.0,0.0,87876.0,0.0,0.0,494638.0,209710.0,112.0,0.0,0.0,338857.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.0,12437.0,0.0,0.0,12550.0,1055867.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87876.0,0.0,227089.0,0.0,36278.0,22344.0,0.0,6792.0,10855.0,0.0,0.0,0.0,0.0,1147.0,1915.0,0.0,0.0,0.0,0.0,0.0,293.0,48239.0,0.0,126669.0,21616.0,95906.0,13075.0,1027568.0,61392.0,72264.0,0.0,1861318.0,0.0,0.0,0.0,0.0,0.0,0.0,DELAWARE CREATIVE HOUSING INC,DELAWARE,OH,
85,382555458.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784862.0,0.0,1483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96602.0,0.0,0.0,0.0,0.0,0.0,882947.0,N,0.0,0.0,0.0,0.0,0.0,0.0,12912.0,0.0,0.0,131184.0,0.0,0.0,0.0,5449.0,0.0,0.0,0.0,4141.0,0.0,0.0,0.0,6868.0,718.0,38893.0,5203.0,6232.0,68427.0,14208.0,0.0,101128.0,0.0,0.0,80443.0,20327.0,38044.0,25959.0,60148.0,178360.0,78070.0,0.0,876714.0,0.0,0.0,0.0,0.0,0.0,0.0,DAVID A WOOD EVANGELISTIC ASSN INC,PANAMA CITY,FL,X21Z
86,382555458.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541104.0,0.0,1148.0,0.0,0.0,10500.0,0.0,637977.0,0.0,248901.0,0.0,0.0,79237.0,0.0,0.0,0.0,0.0,0.0,880890.0,N,389076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183751.0,0.0,0.0,0.0,11912.0,0.0,0.0,8286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98732.0,0.0,3980.0,41889.0,0.0,0.0,0.0,40050.0,220.0,800.0,8416.0,0.0,315661.0,713697.0,0.0,0.0,0.0,9.0,0.0,0.0,DAVID A WOOD EVANGELISTIC ASSN INC,PANAMA CITY,FL,X21Z
85,382555458.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,784862.0,0.0,1483.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,96602.0,0.0,0.0,0.0,0.0,0.0,882947.0,N,0.0,0.0,0.0,0.0,0.0,0.0,12912.0,0.0,0.0,131184.0,0.0,0.0,0.0,5449.0,0.0,0.0,0.0,4141.0,0.0,0.0,0.0,6868.0,718.0,38893.0,5203.0,6232.0,68427.0,14208.0,0.0,101128.0,0.0,0.0,80443.0,20327.0,38044.0,25959.0,60148.0,178360.0,78070.0,0.0,876714.0,0.0,0.0,0.0,0.0,0.0,0.0,DAVID A WOOD EVANGELISTIC ASSN INC,PANAMA CITY,FL,X21Z
86,382555458.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,541104.0,0.0,1148.0,0.0,0.0,10500.0,0.0,637977.0,0.0,248901.0,0.0,0.0,79237.0,0.0,0.0,0.0,0.0,0.0,880890.0,N,389076.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,183751.0,0.0,0.0,0.0,11912.0,0.0,0.0,8286.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98732.0,0.0,3980.0,41889.0,0.0,0.0,0.0,40050.0,220.0,800.0,8416.0,0.0,315661.0,713697.0,0.0,0.0,0.0,9.0,0.0,0.0,DAVID A WOOD EVANGELISTIC ASSN INC,PANAMA CITY,FL,X21Z
140,452045918.0,7.0,0.0,0.0,0.0,0.0,43117.0,0.0,0.0,100151.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1292.0,0.0,0.0,0.0,1292.0,101443.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43118.0,0.0,0.0,0.0,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,0.0,8958.0,0.0,0.0,2152.0,11732.0,0.0,3843.0,0.0,0.0,4728.0,0.0,14391.0,4597.0,3442.0,0.0,0.0,0.0,101761.0,0.0,0.0,0.0,0.0,0.0,0.0,DALE BROOKS INTERNATIONAL MINISTRY INC,LUTZ,FL,X20
191,240798688.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100419.0,10465.0,23573.0,0.0,0.0,0.0,0.0,390735.0,0.0,46835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181292.0,N,343900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22481.0,0.0,0.0,75338.0,0.0,32040.0,6340.0,0.0,0.0,975.0,0.0,0.0,8765.0,13121.0,1834.0,4047.0,0.0,0.0,57586.0,0.0,0.0,808.0,0.0,0.0,0.0,0.0,10800.0,7909.0,324190.0,0.0,0.0,0.0,566234.0,0.0,0.0,0.0,5.0,0.0,0.0,DIMMICK MEMORIAL LIBRARY,JIM THORPE,PA,B71Z
192,240798688.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103338.0,11400.0,22859.0,0.0,0.0,0.0,0.0,353766.0,0.0,90292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227889.0,N,263474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19441.0,0.0,0.0,80037.0,0.0,34384.0,3932.0,0.0,0.0,975.0,0.0,0.0,8989.0,11566.0,1755.0,6428.0,0.0,0.0,39058.0,0.0,0.0,961.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,209926.0,0.0,0.0,0.0,6.0,0.0,0.0,DIMMICK MEMORIAL LIBRARY,JIM THORPE,PA,B71Z
191,240798688.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100419.0,10465.0,23573.0,0.0,0.0,0.0,0.0,390735.0,0.0,46835.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181292.0,N,343900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22481.0,0.0,0.0,75338.0,0.0,32040.0,6340.0,0.0,0.0,975.0,0.0,0.0,8765.0,13121.0,1834.0,4047.0,0.0,0.0,57586.0,0.0,0.0,808.0,0.0,0.0,0.0,0.0,10800.0,7909.0,324190.0,0.0,0.0,0.0,566234.0,0.0,0.0,0.0,5.0,0.0,0.0,DIMMICK MEMORIAL LIBRARY,JIM THORPE,PA,B71Z
192,240798688.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,103338.0,11400.0,22859.0,0.0,0.0,0.0,0.0,353766.0,0.0,90292.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,227889.0,N,263474.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19441.0,0.0,0.0,80037.0,0.0,34384.0,3932.0,0.0,0.0,975.0,0.0,0.0,8989.0,11566.0,1755.0,6428.0,0.0,0.0,39058.0,0.0,0.0,961.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,209926.0,0.0,0.0,0.0,6.0,0.0,0.0,DIMMICK MEMORIAL LIBRARY,JIM THORPE,PA,B71Z
230,453839061.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,200000.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4443.0,3831.0,722.0,0.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0,12661.0,117146.0,15534.0,14992.0,4336.0,16253.0,0.0,207918.0,0.0,0.0,0.0,0.0,0.0,0.0,DOWNTOWN SPAYNEUTER FOUNDATION,LOS ANGELES,CA,D20
512,521226027.0,9.0,0.0,0.0,0.0,0.0,58389.0,0.0,0.0,141477.0,1157268.0,104.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4906.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1302706.0,N,0.0,0.0,1049.0,0.0,0.0,0.0,0.0,0.0,0.0,58389.0,0.0,792442.0,0.0,66191.0,70615.0,0.0,0.0,11720.0,0.0,0.0,0.0,0.0,8396.0,8372.0,0.0,0.0,0.0,0.0,0.0,0.0,3082.0,0.0,25357.0,14641.0,27076.0,18480.0,13782.0,11507.0,48060.0,0.0,1178110.0,0.0,0.0,0.0,47.0,0.0,0.0,DOWNTOWN BALTIMORE CHILD CARE INC,BALTIMORE,MD,P33Z
