,EIN,nonpfrea,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,totreprtabled,totcomprelatede,totestcompf,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,grsalesecur,grsalesothr,netgnls,grsincfndrsng,grsincgaming,grsalesinvent,miscrevtota,miscrevtot11b,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,rcvdpdtngcd,cstbasisecur,cstbasisothr,lessdirfndrsng,lessdirgaming,lesscstofgoods,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,totsupport,rntlexpnsreal,rntlexpnsprsnl,noemplyeesw3cnt,noindiv100kcnt,nocontractor100kcnt,NAME,CITY,STATE,NTEE_CD
1,521601960.0,7.0,0.0,0.0,0.0,0.0,341211.0,0.0,0.0,9272971.0,1914845.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11187816.0,N,0.0,0.0,0.0,0.0,0.0,9116158.0,0.0,0.0,0.0,413264.0,0.0,820427.0,77012.0,147894.0,71201.0,0.0,9830.0,32000.0,0.0,0.0,0.0,66894.0,0.0,24068.0,0.0,0.0,169179.0,43600.0,0.0,0.0,0.0,0.0,21237.0,25491.0,136780.0,57290.0,35984.0,33311.0,99929.0,0.0,11401549.0,0.0,0.0,0.0,23.0,0.0,0.0,EARTHSHARE,BETHESDA,MD,C010
37,237209097.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204700.0,0.0,15521.0,0.0,0.0,652893.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,24.0,873138.0,N,0.0,0.0,0.0,0.0,0.0,161923.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10000.0,2500.0,6925.0,0.0,0.0,0.0,0.0,0.0,52032.0,0.0,0.0,45320.0,0.0,0.0,0.0,2033.0,0.0,135511.0,28368.0,10296.0,7766.0,2429.0,0.0,0.0,0.0,465103.0,0.0,0.0,0.0,0.0,0.0,0.0,EDUCATIONAL FOUNDATION OF ALFRED INC,ALFRED,NY,
179,721193464.0,7.0,0.0,0.0,0.0,0.0,998868.0,0.0,0.0,4527337.0,786555.0,4865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109304.0,0.0,0.0,0.0,109304.0,5428061.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3402612.0,0.0,1043265.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,15719.0,0.0,0.0,312624.0,44295.0,0.0,37130.0,0.0,0.0,238913.0,59478.0,618310.0,84220.0,74125.0,48196.0,216108.0,0.0,6204995.0,0.0,0.0,0.0,67.0,7.0,0.0,EXCELTH INC,NEW ORLEANS,LA,E30Z
180,721193464.0,7.0,0.0,0.0,0.0,0.0,1054682.0,0.0,0.0,4953261.0,3244634.0,732675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89367.0,0.0,0.0,0.0,89367.0,9019937.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3645901.0,0.0,1192483.0,84513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11946.0,60175.0,0.0,331946.0,42425.0,0.0,46355.0,15778.0,0.0,257509.0,76978.0,462425.0,424432.0,92180.0,92144.0,266894.0,0.0,7104084.0,0.0,0.0,0.0,64.0,6.0,0.0,EXCELTH INC,NEW ORLEANS,LA,E30Z
179,721193464.0,7.0,0.0,0.0,0.0,0.0,998868.0,0.0,0.0,4527337.0,786555.0,4865.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109304.0,0.0,0.0,0.0,109304.0,5428061.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3402612.0,0.0,1043265.0,0.0,0.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0,15719.0,0.0,0.0,312624.0,44295.0,0.0,37130.0,0.0,0.0,238913.0,59478.0,618310.0,84220.0,74125.0,48196.0,216108.0,0.0,6204995.0,0.0,0.0,0.0,67.0,7.0,0.0,EXCELTH INC,NEW ORLEANS,LA,E30Z
180,721193464.0,7.0,0.0,0.0,0.0,0.0,1054682.0,0.0,0.0,4953261.0,3244634.0,732675.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89367.0,0.0,0.0,0.0,89367.0,9019937.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3645901.0,0.0,1192483.0,84513.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11946.0,60175.0,0.0,331946.0,42425.0,0.0,46355.0,15778.0,0.0,257509.0,76978.0,462425.0,424432.0,92180.0,92144.0,266894.0,0.0,7104084.0,0.0,0.0,0.0,64.0,6.0,0.0,EXCELTH INC,NEW ORLEANS,LA,E30Z
240,421547242.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,425411.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75593.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,418370.0,N,0.0,0.0,82665.0,0.0,0.0,290895.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0,12500.0,0.0,0.0,0.0,0.0,5865.0,2550.0,0.0,0.0,8160.0,0.0,0.0,0.0,0.0,0.0,915.0,1355.0,11605.0,0.0,0.0,0.0,0.0,0.0,408845.0,0.0,0.0,0.0,0.0,0.0,0.0,EQUUS FOUNDATION INC,WESTPORT,CT,D12
259,200218600.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679600.0,0.0,95.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,679695.0,N,0.0,0.0,0.0,0.0,0.0,0.0,238014.0,0.0,0.0,69751.0,0.0,163550.0,0.0,2400.0,76021.0,0.0,0.0,10175.0,0.0,0.0,0.0,0.0,1181.0,5443.0,0.0,0.0,18433.0,33130.0,0.0,19960.0,0.0,0.0,0.0,0.0,5807.0,7228.0,0.0,0.0,0.0,0.0,651093.0,0.0,0.0,0.0,0.0,0.0,0.0,EASTERN ARIZONA AREA HEALTH EDUCATION CENTER INC,GLOBE,AZ,E99
265,161422825.0,7.0,0.0,0.0,0.0,0.0,186574.0,0.0,3893.0,898133.0,6839821.0,1439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25156.0,0.0,0.0,0.0,25156.0,7764549.0,N,0.0,0.0,0.0,0.0,0.0,0.0,39246.0,0.0,0.0,190467.0,0.0,4395537.0,0.0,597311.0,424759.0,0.0,25449.0,30750.0,0.0,0.0,0.0,167128.0,0.0,140905.0,0.0,0.0,260636.0,218026.0,0.0,2664.0,38738.0,0.0,121259.0,28192.0,678215.0,128879.0,124401.0,94051.0,0.0,0.0,7706613.0,0.0,0.0,0.0,367.0,1.0,0.0,EPILEPSY-PRALID INC,ROCHESTER,NY,P82Z
266,161422825.0,7.0,0.0,0.0,0.0,0.0,196498.0,0.0,4999.0,937728.0,7077442.0,1116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19198.0,0.0,0.0,0.0,19198.0,8035484.0,N,0.0,0.0,0.0,0.0,0.0,0.0,42646.0,0.0,0.0,201497.0,0.0,4367196.0,0.0,394562.0,647534.0,0.0,22516.0,24020.0,0.0,0.0,0.0,234409.0,0.0,257985.0,0.0,0.0,280126.0,212243.0,0.0,4295.0,43384.0,0.0,129602.0,33005.0,754348.0,141549.0,82867.0,0.0,0.0,0.0,7873784.0,0.0,0.0,0.0,352.0,0.0,0.0,EPILEPSY-PRALID INC,ROCHESTER,NY,P82Z
265,161422825.0,7.0,0.0,0.0,0.0,0.0,186574.0,0.0,3893.0,898133.0,6839821.0,1439.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25156.0,0.0,0.0,0.0,25156.0,7764549.0,N,0.0,0.0,0.0,0.0,0.0,0.0,39246.0,0.0,0.0,190467.0,0.0,4395537.0,0.0,597311.0,424759.0,0.0,25449.0,30750.0,0.0,0.0,0.0,167128.0,0.0,140905.0,0.0,0.0,260636.0,218026.0,0.0,2664.0,38738.0,0.0,121259.0,28192.0,678215.0,128879.0,124401.0,94051.0,0.0,0.0,7706613.0,0.0,0.0,0.0,367.0,1.0,0.0,EPILEPSY-PRALID INC,ROCHESTER,NY,P82Z
266,161422825.0,7.0,0.0,0.0,0.0,0.0,196498.0,0.0,4999.0,937728.0,7077442.0,1116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19198.0,0.0,0.0,0.0,19198.0,8035484.0,N,0.0,0.0,0.0,0.0,0.0,0.0,42646.0,0.0,0.0,201497.0,0.0,4367196.0,0.0,394562.0,647534.0,0.0,22516.0,24020.0,0.0,0.0,0.0,234409.0,0.0,257985.0,0.0,0.0,280126.0,212243.0,0.0,4295.0,43384.0,0.0,129602.0,33005.0,754348.0,141549.0,82867.0,0.0,0.0,0.0,7873784.0,0.0,0.0,0.0,352.0,0.0,0.0,EPILEPSY-PRALID INC,ROCHESTER,NY,P82Z
281,202274469.0,7.0,0.0,0.0,0.0,0.0,88861.0,0.0,0.0,471589.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2338.0,0.0,0.0,0.0,2338.0,473927.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,88861.0,0.0,117921.0,0.0,25424.0,43650.0,0.0,0.0,7050.0,0.0,0.0,0.0,1425.0,0.0,1370.0,0.0,0.0,33346.0,1649.0,0.0,0.0,0.0,0.0,7786.0,24041.0,33827.0,22180.0,16180.0,12687.0,43578.0,0.0,480975.0,0.0,0.0,0.0,8.0,0.0,0.0,EUREKA PROJECT HOUSE,RIVERSIDE,CA,P70
347,541377985.0,9.0,0.0,0.0,0.0,0.0,126122.0,0.0,22000.0,2086.0,1423323.0,1664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1831289.0,0.0,0.0,0.0,0.0,0.0,1570301.0,N,0.0,0.0,0.0,0.0,1688061.0,500.0,0.0,0.0,0.0,148122.0,0.0,633078.0,0.0,77458.0,64503.0,0.0,0.0,17712.0,0.0,0.0,0.0,0.0,15606.0,106217.0,0.0,0.0,275617.0,11622.0,0.0,0.0,0.0,0.0,5450.0,17926.0,5830.0,0.0,0.0,0.0,0.0,0.0,1379641.0,0.0,0.0,0.0,81.0,1.0,0.0,E-TRON SYSTEMS INC,LORTON,VA,
348,541377985.0,9.0,0.0,0.0,0.0,0.0,122392.0,0.0,2200.0,0.0,1405293.0,1313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1857043.0,0.0,0.0,0.0,0.0,0.0,1591736.0,N,0.0,0.0,0.0,0.0,1671913.0,0.0,0.0,0.0,0.0,144392.0,0.0,729871.0,0.0,75798.0,68739.0,0.0,0.0,20476.0,0.0,0.0,0.0,0.0,11320.0,72738.0,0.0,0.0,302532.0,13502.0,0.0,0.0,0.0,0.0,6886.0,22942.0,0.0,0.0,0.0,0.0,0.0,0.0,1469196.0,0.0,0.0,0.0,92.0,0.0,0.0,E-TRON SYSTEMS INC,LORTON,VA,
347,541377985.0,9.0,0.0,0.0,0.0,0.0,126122.0,0.0,22000.0,2086.0,1423323.0,1664.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1831289.0,0.0,0.0,0.0,0.0,0.0,1570301.0,N,0.0,0.0,0.0,0.0,1688061.0,500.0,0.0,0.0,0.0,148122.0,0.0,633078.0,0.0,77458.0,64503.0,0.0,0.0,17712.0,0.0,0.0,0.0,0.0,15606.0,106217.0,0.0,0.0,275617.0,11622.0,0.0,0.0,0.0,0.0,5450.0,17926.0,5830.0,0.0,0.0,0.0,0.0,0.0,1379641.0,0.0,0.0,0.0,81.0,1.0,0.0,E-TRON SYSTEMS INC,LORTON,VA,
348,541377985.0,9.0,0.0,0.0,0.0,0.0,122392.0,0.0,2200.0,0.0,1405293.0,1313.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1857043.0,0.0,0.0,0.0,0.0,0.0,1591736.0,N,0.0,0.0,0.0,0.0,1671913.0,0.0,0.0,0.0,0.0,144392.0,0.0,729871.0,0.0,75798.0,68739.0,0.0,0.0,20476.0,0.0,0.0,0.0,0.0,11320.0,72738.0,0.0,0.0,302532.0,13502.0,0.0,0.0,0.0,0.0,6886.0,22942.0,0.0,0.0,0.0,0.0,0.0,0.0,1469196.0,0.0,0.0,0.0,92.0,0.0,0.0,E-TRON SYSTEMS INC,LORTON,VA,
351,352236508.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117457.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31971.0,3037.0,1385.0,0.0,36393.0,153850.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,460.0,0.0,0.0,0.0,0.0,0.0,3783.0,26665.0,21607.0,20695.0,19891.0,60665.0,0.0,153766.0,0.0,0.0,0.0,0.0,0.0,0.0,EAST VALLEY YOUTH BASEBALL & SOFTBALL,BURBANK,CA,N63
357,741509249.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2723973.0,0.0,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2724026.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1722113.0,0.0,0.0,445431.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64524.0,0.0,0.0,0.0,0.0,0.0,0.0,125367.0,172888.0,7500.0,186150.0,0.0,0.0,2723973.0,0.0,0.0,0.0,117.0,0.0,0.0,ECONOMIC OPPORTUNITIES DEVELOPMENT CORPORATION OF ATASCOSA KARNES & W,KENEDY,TX,B22Z
358,741509249.0,7.0,0.0,0.0,0.0,0.0,84109.0,0.0,0.0,2842317.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2842317.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1644582.0,0.0,0.0,403842.0,0.0,0.0,12500.0,0.0,0.0,0.0,23874.0,0.0,151525.0,0.0,0.0,10840.0,50486.0,0.0,0.0,0.0,0.0,0.0,21991.0,177560.0,32620.0,509.0,83211.0,175804.0,0.0,2789344.0,0.0,0.0,0.0,120.0,0.0,0.0,ECONOMIC OPPORTUNITIES DEVELOPMENT CORPORATION OF ATASCOSA KARNES & W,KENEDY,TX,B22Z
