,EIN,nonpfrea,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,totreprtabled,totcomprelatede,totestcompf,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,grsalesecur,grsalesothr,netgnls,grsincfndrsng,grsincgaming,grsalesinvent,miscrevtota,miscrevtot11b,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,rcvdpdtngcd,cstbasisecur,cstbasisothr,lessdirfndrsng,lessdirgaming,lesscstofgoods,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,totsupport,rntlexpnsreal,rntlexpnsprsnl,noemplyeesw3cnt,noindiv100kcnt,nocontractor100kcnt,NAME,CITY,STATE,NTEE_CD
7,61555759.0,7.0,0.0,0.0,0.0,0.0,87418.0,0.0,0.0,1587607.0,0.0,2057.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50803.0,0.0,0.0,0.0,50803.0,1640467.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87418.0,0.0,591707.0,0.0,96855.0,55875.0,0.0,0.0,26766.0,0.0,0.0,0.0,0.0,0.0,50279.0,0.0,0.0,35755.0,0.0,0.0,93015.0,1550.0,0.0,689.0,3942.0,87818.0,64662.0,57020.0,23421.0,0.0,0.0,1276772.0,0.0,0.0,0.0,13.0,0.0,0.0,JUST FOOD INC,NEW YORK,NY,K200
70,232403575.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83275.0,9645.0,427.0,0.0,0.0,3800.0,0.0,0.0,0.0,0.0,71326.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,129676.0,N,0.0,0.0,38797.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,325.0,0.0,0.0,0.0,0.0,0.0,4040.0,0.0,0.0,14499.0,0.0,0.0,0.0,22821.0,0.0,78203.0,7477.0,24.0,6508.0,3879.0,6260.0,6586.0,0.0,150622.0,0.0,0.0,0.0,0.0,0.0,0.0,JEFFERSON TOWNSHIP VOLUNTEER FIRE CO,JEFFERSON TWP,PA,M24Z
129,330998513.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47438.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64464.0,N,0.0,0.0,10328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,20594.0,0.0,16349.0,0.0,0.0,588.0,0.0,13200.0,8501.0,6500.0,1940.0,2255.0,0.0,70301.0,0.0,0.0,0.0,0.0,0.0,0.0,JULINE FOUNDATION FOR CHILDREN,MODESTO,CA,B82
130,330998513.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41650.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61788.0,N,0.0,0.0,18869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,0.0,0.0,0.0,12659.0,0.0,8680.0,27.0,0.0,539.0,1915.0,13200.0,5875.0,1970.0,1811.0,941.0,0.0,48043.0,0.0,0.0,0.0,0.0,0.0,0.0,JULINE FOUNDATION FOR CHILDREN,MODESTO,CA,B82
129,330998513.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47438.0,0.0,27.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27327.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64464.0,N,0.0,0.0,10328.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374.0,0.0,0.0,0.0,20594.0,0.0,16349.0,0.0,0.0,588.0,0.0,13200.0,8501.0,6500.0,1940.0,2255.0,0.0,70301.0,0.0,0.0,0.0,0.0,0.0,0.0,JULINE FOUNDATION FOR CHILDREN,MODESTO,CA,B82
130,330998513.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41650.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38993.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61788.0,N,0.0,0.0,18869.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,426.0,0.0,0.0,0.0,12659.0,0.0,8680.0,27.0,0.0,539.0,1915.0,13200.0,5875.0,1970.0,1811.0,941.0,0.0,48043.0,0.0,0.0,0.0,0.0,0.0,0.0,JULINE FOUNDATION FOR CHILDREN,MODESTO,CA,B82
150,920045091.0,7.0,0.0,0.0,0.0,0.0,59856.0,0.0,0.0,305362.0,0.0,43.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48178.0,44226.0,0.0,0.0,0.0,0.0,0.0,0.0,349631.0,N,0.0,0.0,48178.0,0.0,0.0,0.0,0.0,0.0,0.0,59856.0,0.0,86169.0,29890.0,0.0,14035.0,0.0,0.0,0.0,0.0,0.0,0.0,18500.0,0.0,14367.0,0.0,0.0,24140.0,2047.0,0.0,0.0,0.0,0.0,1068.0,2077.0,1015.0,4868.0,10399.0,935.0,58053.0,0.0,327419.0,0.0,0.0,0.0,4.0,0.0,0.0,JUNIOR ACHIEVEMENT OF ALASKA,ANCHORAGE,AK,Q320
172,731543535.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,455926.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10660.0,0.0,0.0,0.0,0.0,0.0,463632.0,N,0.0,0.0,0.0,0.0,3019.0,438380.0,10500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778.0,0.0,0.0,0.0,0.0,0.0,449658.0,0.0,0.0,0.0,0.0,0.0,0.0,JOHN MARSHALL HIGH SCHOOL FOUNDATION INC,OKLAHOMA CITY,OK,B820
206,582061218.0,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4352.0,0.0,37107.0,0.0,0.0,0.0,0.0,112516.0,0.0,-31078.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10381.0,N,143594.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9938.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9938.0,0.0,0.0,0.0,0.0,0.0,0.0,JUNIOR LEAGUE OF ATLANTA ENDOWMENT FUND,ATLANTA,GA,S118
207,580600947.0,9.0,0.0,0.0,0.0,0.0,81756.0,0.0,0.0,1313320.0,0.0,76011.0,0.0,0.0,0.0,0.0,1910157.0,0.0,-14128.0,1052069.0,0.0,0.0,23394.0,0.0,0.0,0.0,23394.0,1079148.0,N,1924285.0,0.0,1371518.0,0.0,0.0,217450.0,0.0,0.0,0.0,81756.0,0.0,206323.0,0.0,0.0,0.0,0.0,14750.0,0.0,0.0,0.0,28424.0,0.0,0.0,0.0,0.0,0.0,79884.0,0.0,0.0,163891.0,0.0,0.0,36596.0,0.0,38129.0,92615.0,30358.0,0.0,86804.0,0.0,1076980.0,0.0,0.0,0.0,13.0,0.0,0.0,JUNIOR LEAGUE OF ATLANTA INC,ATLANTA,GA,S810
