,EIN,nonpfrea,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,totreprtabled,totcomprelatede,totestcompf,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,grsalesecur,grsalesothr,netgnls,grsincfndrsng,grsincgaming,grsalesinvent,miscrevtota,miscrevtot11b,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,rcvdpdtngcd,cstbasisecur,cstbasisothr,lessdirfndrsng,lessdirgaming,lesscstofgoods,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,totsupport,rntlexpnsreal,rntlexpnsprsnl,noemplyeesw3cnt,noindiv100kcnt,nocontractor100kcnt,NAME,CITY,STATE,NTEE_CD
120,350449569.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,78400.0,428760.0,0.0,0.0,0.0,36086.0,0.0,0.0,0.0,-2748.0,58961.0,1440.0,0.0,0.0,0.0,0.0,0.0,0.0,498325.0,N,0.0,2748.0,43816.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82104.0,0.0,0.0,9837.0,0.0,0.0,2279.0,0.0,0.0,0.0,0.0,32338.0,6928.0,2100.0,0.0,87423.0,0.0,0.0,1374.0,1881.0,0.0,24113.0,22866.0,269055.0,4113.0,7755.0,2613.0,3223.0,0.0,560002.0,0.0,58758.0,0.0,12.0,0.0,0.0,KOSCIUSKO COUNTY COMMUNITY FAIR INC,WARSAW,IN,N520
164,223610430.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,KOPS FOUNDATION,BRADENTON,FL,I21
165,223610430.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,KOPS FOUNDATION,BRADENTON,FL,I21
164,223610430.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,250.0,0.0,0.0,0.0,0.0,0.0,0.0,KOPS FOUNDATION,BRADENTON,FL,I21
165,223610430.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,KOPS FOUNDATION,BRADENTON,FL,I21
328,364234906.0,7.0,0.0,0.0,0.0,0.0,80000.0,0.0,0.0,267973.0,0.0,225.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90706.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,323113.0,N,0.0,0.0,35791.0,0.0,0.0,0.0,0.0,0.0,0.0,80000.0,0.0,49784.0,0.0,4582.0,10206.0,0.0,0.0,4485.0,0.0,0.0,0.0,0.0,0.0,1795.0,0.0,0.0,12371.0,0.0,0.0,4113.0,0.0,0.0,0.0,2923.0,14103.0,7087.0,2640.0,2624.0,1884.0,0.0,198597.0,0.0,0.0,0.0,15.0,0.0,0.0,KIDS IN DANGER,CHICAGO,IL,I72
345,202952146.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718783.0,0.0,1311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710079.0,N,0.0,0.0,22737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,90.0,4269.0,0.0,0.0,1093.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,190.0,0.0,0.0,0.0,0.0,0.0,36451.0,0.0,0.0,0.0,0.0,0.0,1.0,KENDALL COUNTY WOMENS SHELTER,BOERNE,TX,P80
346,202952146.0,9.0,0.0,0.0,0.0,0.0,41144.0,0.0,3081.0,470221.0,0.0,837.0,0.0,0.0,1110.0,0.0,0.0,0.0,0.0,48555.0,0.0,0.0,941.0,0.0,0.0,0.0,941.0,486006.0,N,0.0,0.0,35443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209099.0,0.0,15021.0,16023.0,0.0,0.0,2590.0,0.0,0.0,0.0,1071.0,931.0,12900.0,4450.0,0.0,34044.0,1103.0,0.0,3330.0,0.0,0.0,47239.0,14012.0,3096.0,755.0,8274.0,4780.0,5133.0,0.0,383851.0,0.0,215.0,0.0,17.0,0.0,1.0,KENDALL COUNTY WOMENS SHELTER,BOERNE,TX,P80
345,202952146.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,718783.0,0.0,1311.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12722.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,710079.0,N,0.0,0.0,22737.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28800.0,0.0,0.0,90.0,4269.0,0.0,0.0,1093.0,0.0,0.0,0.0,0.0,0.0,0.0,2009.0,190.0,0.0,0.0,0.0,0.0,0.0,36451.0,0.0,0.0,0.0,0.0,0.0,1.0,KENDALL COUNTY WOMENS SHELTER,BOERNE,TX,P80
346,202952146.0,9.0,0.0,0.0,0.0,0.0,41144.0,0.0,3081.0,470221.0,0.0,837.0,0.0,0.0,1110.0,0.0,0.0,0.0,0.0,48555.0,0.0,0.0,941.0,0.0,0.0,0.0,941.0,486006.0,N,0.0,0.0,35443.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,209099.0,0.0,15021.0,16023.0,0.0,0.0,2590.0,0.0,0.0,0.0,1071.0,931.0,12900.0,4450.0,0.0,34044.0,1103.0,0.0,3330.0,0.0,0.0,47239.0,14012.0,3096.0,755.0,8274.0,4780.0,5133.0,0.0,383851.0,0.0,215.0,0.0,17.0,0.0,1.0,KENDALL COUNTY WOMENS SHELTER,BOERNE,TX,P80
413,731583033.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102377.0,6366.0,348.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109091.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107801.0,3571.0,403.0,8208.0,0.0,0.0,2973.0,0.0,0.0,0.0,7599.0,0.0,3753.0,0.0,0.0,39083.0,2517.0,0.0,0.0,0.0,0.0,0.0,117.0,1053.0,302.0,0.0,0.0,0.0,0.0,177380.0,0.0,0.0,0.0,0.0,0.0,0.0,KIDS FOR HEALTH,SPRINGDALE,AR,E70
475,582674116.0,2.0,0.0,0.0,0.0,0.0,101421.0,0.0,25013.0,905515.0,1829571.0,5590.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,294630.0,0.0,0.0,9424.0,0.0,0.0,0.0,9424.0,2987418.0,N,0.0,0.0,57312.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1951741.0,40940.0,131821.0,143585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42369.0,0.0,344504.0,27379.0,230764.0,89794.0,55694.0,33402.0,223173.0,0.0,3315166.0,0.0,0.0,0.0,90.0,1.0,0.0,KELLMAN BROWN ACADEMY A NEW JERSEY CORPORATION,VOORHEES,NJ,B24
