,EIN,nonpfrea,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,totreprtabled,totcomprelatede,totestcompf,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,grsalesecur,grsalesothr,netgnls,grsincfndrsng,grsincgaming,grsalesinvent,miscrevtota,miscrevtot11b,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,rcvdpdtngcd,cstbasisecur,cstbasisothr,lessdirfndrsng,lessdirgaming,lesscstofgoods,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,totsupport,rntlexpnsreal,rntlexpnsprsnl,noemplyeesw3cnt,noindiv100kcnt,nocontractor100kcnt,NAME,CITY,STATE,NTEE_CD
734,205196967.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,503159.0,606168.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1109327.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,391837.0,0.0,24606.0,36600.0,0.0,10413.0,7743.0,0.0,0.0,0.0,2935.0,17226.0,0.0,0.0,0.0,119283.0,17476.0,0.0,0.0,0.0,0.0,13138.0,11078.0,281507.0,42063.0,15752.0,14513.0,34126.0,0.0,1040296.0,0.0,0.0,0.0,55.0,0.0,0.0,150 CHERRY STREET INC,BURLINGTON,VT,X20
1085,46792848.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,N,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1533.0,0.0,0.0,0.0,0.0,0.0,1001533.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1960 TRUST,BOSTON,MA,T90J
1086,46792848.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2042.0,0.0,0.0,0.0,0.0,0.0,2042.0,0.0,0.0,0.0,0.0,0.0,0.0,1960 TRUST,BOSTON,MA,T90J
1085,46792848.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,102.0,N,0.0,0.0,0.0,0.0,0.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1533.0,0.0,0.0,0.0,0.0,0.0,1001533.0,1000000.0,0.0,0.0,0.0,0.0,0.0,1960 TRUST,BOSTON,MA,T90J
1086,46792848.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2042.0,0.0,0.0,0.0,0.0,0.0,2042.0,0.0,0.0,0.0,0.0,0.0,0.0,1960 TRUST,BOSTON,MA,T90J
1521,262418657.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2937377.0,5021.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2942398.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15912.0,0.0,4704.0,1361.0,14693.0,13026.0,13500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70011.0,0.0,0.0,0.0,4854.0,0.0,84249.0,13393.0,3259.0,29925.0,56583.0,6030.0,47683.0,0.0,379183.0,0.0,0.0,0.0,0.0,0.0,0.0,176 SOUTH EIGHTH STREET APARTMENTS HOUSING DEVELOPMENT FUND CORP,BROOKLYN,NY,
3588,132690309.0,7.0,0.0,0.0,0.0,0.0,288473.0,0.0,0.0,4306064.0,521577.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3328.0,64.0,0.0,0.0,3392.0,4831033.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,288473.0,0.0,2865204.0,0.0,105998.0,275345.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,601118.0,410895.0,113626.0,72758.0,137877.0,0.0,4871294.0,0.0,0.0,0.0,126.0,0.0,0.0,1332 FULTON AVENUE DAY CARE CENTER INC,BRONX,NY,P33Z
5495,941698065.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86047.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86047.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8541.0,0.0,0.0,6779.0,3000.0,0.0,0.0,0.0,0.0,0.0,0.0,5641.0,2000.0,30145.0,7769.0,8000.0,0.0,71875.0,0.0,0.0,0.0,0.0,0.0,0.0,100 BLACK MEN OF SACRAMENTO INC,SACRAMENTO,CA,
5829,562644123.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,150.0,59825.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4300.0,4300.0,200.0,0.0,8800.0,68775.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,54977.0,0.0,0.0,0.0,0.0,0.0,44867.0,0.0,468.0,65.0,1925.0,4000.0,776.0,0.0,107168.0,0.0,0.0,0.0,0.0,0.0,0.0,194 SPICER INC,STOW,OH,B83
9789,237057664.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,121359.0,0.0,9691.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131050.0,N,0.0,0.0,0.0,0.0,0.0,0.0,143888.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6696.0,0.0,0.0,379.0,0.0,1009.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,828.0,6526.0,350.0,0.0,0.0,0.0,0.0,159676.0,0.0,0.0,0.0,0.0,0.0,0.0,101 INC,PRINCETON,NJ,B82Z
