,EIN,nonpfrea,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,totreprtabled,totcomprelatede,totestcompf,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,grsalesecur,grsalesothr,netgnls,grsincfndrsng,grsincgaming,grsalesinvent,miscrevtota,miscrevtot11b,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,rcvdpdtngcd,cstbasisecur,cstbasisothr,lessdirfndrsng,lessdirgaming,lesscstofgoods,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,totsupport,rntlexpnsreal,rntlexpnsprsnl,noemplyeesw3cnt,noindiv100kcnt,nocontractor100kcnt,NAME,CITY,STATE,NTEE_CD
269,954608289.0,7.0,0.0,0.0,0.0,0.0,9773.0,0.0,0.0,459557.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461902.0,N,0.0,0.0,5293.0,0.0,0.0,0.0,0.0,0.0,0.0,9773.0,0.0,309124.0,7524.0,36200.0,23023.0,0.0,0.0,1786.0,0.0,0.0,0.0,3756.0,0.0,2366.0,0.0,0.0,43732.0,9369.0,0.0,456.0,0.0,0.0,0.0,3535.0,7546.0,6686.0,902.0,574.0,1500.0,0.0,467852.0,0.0,0.0,0.0,0.0,0.0,0.0,ORANGE COUNTY DEAF EQUAL ACCESS FOUNDATION INC,LOS ANGELES,CA,P87
270,954608289.0,7.0,0.0,0.0,0.0,0.0,9103.0,0.0,0.0,449865.0,0.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19427.0,0.0,0.0,191.0,0.0,0.0,0.0,191.0,455279.0,N,0.0,0.0,14867.0,0.0,0.0,0.0,0.0,0.0,0.0,9103.0,0.0,293585.0,0.0,73898.0,0.0,0.0,0.0,1475.0,0.0,0.0,0.0,4628.0,0.0,2575.0,0.0,0.0,35523.0,9660.0,0.0,150.0,0.0,0.0,0.0,4873.0,971.0,980.0,6204.0,8660.0,0.0,1803.0,454088.0,0.0,0.0,0.0,0.0,0.0,0.0,ORANGE COUNTY DEAF EQUAL ACCESS FOUNDATION INC,LOS ANGELES,CA,P87
269,954608289.0,7.0,0.0,0.0,0.0,0.0,9773.0,0.0,0.0,459557.0,0.0,119.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7519.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,461902.0,N,0.0,0.0,5293.0,0.0,0.0,0.0,0.0,0.0,0.0,9773.0,0.0,309124.0,7524.0,36200.0,23023.0,0.0,0.0,1786.0,0.0,0.0,0.0,3756.0,0.0,2366.0,0.0,0.0,43732.0,9369.0,0.0,456.0,0.0,0.0,0.0,3535.0,7546.0,6686.0,902.0,574.0,1500.0,0.0,467852.0,0.0,0.0,0.0,0.0,0.0,0.0,ORANGE COUNTY DEAF EQUAL ACCESS FOUNDATION INC,LOS ANGELES,CA,P87
270,954608289.0,7.0,0.0,0.0,0.0,0.0,9103.0,0.0,0.0,449865.0,0.0,663.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19427.0,0.0,0.0,191.0,0.0,0.0,0.0,191.0,455279.0,N,0.0,0.0,14867.0,0.0,0.0,0.0,0.0,0.0,0.0,9103.0,0.0,293585.0,0.0,73898.0,0.0,0.0,0.0,1475.0,0.0,0.0,0.0,4628.0,0.0,2575.0,0.0,0.0,35523.0,9660.0,0.0,150.0,0.0,0.0,0.0,4873.0,971.0,980.0,6204.0,8660.0,0.0,1803.0,454088.0,0.0,0.0,0.0,0.0,0.0,0.0,ORANGE COUNTY DEAF EQUAL ACCESS FOUNDATION INC,LOS ANGELES,CA,P87
285,540699616.0,9.0,0.0,0.0,0.0,0.0,112107.0,0.0,0.0,450828.0,1279330.0,65751.0,0.0,0.0,0.0,0.0,140334.0,0.0,-2139.0,0.0,0.0,0.0,32397.0,0.0,0.0,0.0,32397.0,1826167.0,N,142473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109522.0,0.0,874784.0,20999.0,65853.0,79182.0,0.0,0.0,23205.0,0.0,0.0,0.0,0.0,0.0,30859.0,0.0,0.0,123759.0,67886.0,0.0,7951.0,0.0,0.0,49568.0,24785.0,331472.0,70501.0,64302.0,36354.0,16435.0,0.0,1997417.0,0.0,0.0,0.0,32.0,1.0,0.0,OLD DOMINION EYE FOUNDATION INC,N CHESTERFLD,VA,
286,540699616.0,9.0,0.0,0.0,0.0,0.0,110850.0,0.0,0.0,247882.0,1939772.0,55654.0,0.0,0.0,0.0,0.0,175000.0,0.0,-3648.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,215.0,2239875.0,N,178648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112014.0,0.0,891806.0,20441.0,72930.0,82219.0,0.0,0.0,26846.0,0.0,0.0,0.0,0.0,0.0,31753.0,0.0,0.0,103026.0,73513.0,0.0,19504.0,0.0,0.0,53322.0,27317.0,303709.0,303506.0,29379.0,23661.0,15000.0,0.0,2189946.0,0.0,0.0,0.0,31.0,1.0,0.0,OLD DOMINION EYE FOUNDATION INC,N CHESTERFLD,VA,
285,540699616.0,9.0,0.0,0.0,0.0,0.0,112107.0,0.0,0.0,450828.0,1279330.0,65751.0,0.0,0.0,0.0,0.0,140334.0,0.0,-2139.0,0.0,0.0,0.0,32397.0,0.0,0.0,0.0,32397.0,1826167.0,N,142473.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109522.0,0.0,874784.0,20999.0,65853.0,79182.0,0.0,0.0,23205.0,0.0,0.0,0.0,0.0,0.0,30859.0,0.0,0.0,123759.0,67886.0,0.0,7951.0,0.0,0.0,49568.0,24785.0,331472.0,70501.0,64302.0,36354.0,16435.0,0.0,1997417.0,0.0,0.0,0.0,32.0,1.0,0.0,OLD DOMINION EYE FOUNDATION INC,N CHESTERFLD,VA,
286,540699616.0,9.0,0.0,0.0,0.0,0.0,110850.0,0.0,0.0,247882.0,1939772.0,55654.0,0.0,0.0,0.0,0.0,175000.0,0.0,-3648.0,0.0,0.0,0.0,215.0,0.0,0.0,0.0,215.0,2239875.0,N,178648.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112014.0,0.0,891806.0,20441.0,72930.0,82219.0,0.0,0.0,26846.0,0.0,0.0,0.0,0.0,0.0,31753.0,0.0,0.0,103026.0,73513.0,0.0,19504.0,0.0,0.0,53322.0,27317.0,303709.0,303506.0,29379.0,23661.0,15000.0,0.0,2189946.0,0.0,0.0,0.0,31.0,1.0,0.0,OLD DOMINION EYE FOUNDATION INC,N CHESTERFLD,VA,
340,363652244.0,7.0,0.0,0.0,0.0,0.0,36600.0,0.0,0.0,525017.0,0.0,251.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525268.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36600.0,0.0,72572.0,0.0,10772.0,10493.0,0.0,0.0,22188.0,0.0,0.0,0.0,0.0,5502.0,13773.0,982.0,0.0,19140.0,2626.0,0.0,0.0,196.0,0.0,339.0,7148.0,219443.0,49573.0,35959.0,9970.0,14643.0,0.0,531919.0,0.0,0.0,0.0,10.0,0.0,0.0,OPEN AID ALLIANCE,MISSOULA,MT,
341,363652244.0,7.0,0.0,0.0,0.0,0.0,39937.0,0.0,0.0,450479.0,0.0,501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,450980.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39937.0,0.0,77238.0,0.0,0.0,24794.0,0.0,0.0,19693.0,0.0,0.0,0.0,0.0,0.0,5137.0,0.0,0.0,28800.0,3877.0,0.0,0.0,155.0,0.0,0.0,6741.0,10237.0,10838.0,17736.0,210716.0,0.0,12532.0,468431.0,0.0,0.0,0.0,7.0,0.0,0.0,OPEN AID ALLIANCE,MISSOULA,MT,
