,EIN,nonpfrea,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,totreprtabled,totcomprelatede,totestcompf,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,grsalesecur,grsalesothr,netgnls,grsincfndrsng,grsincgaming,grsalesinvent,miscrevtota,miscrevtot11b,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,rcvdpdtngcd,cstbasisecur,cstbasisothr,lessdirfndrsng,lessdirgaming,lesscstofgoods,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,totsupport,rntlexpnsreal,rntlexpnsprsnl,noemplyeesw3cnt,noindiv100kcnt,nocontractor100kcnt,NAME,CITY,STATE,NTEE_CD
3117,311518738.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6271118.0,454.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6271572.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2896901.0,0.0,516185.0,111017.0,420855.0,302.0,1950.0,0.0,0.0,0.0,79193.0,39619.0,8004.0,0.0,0.0,209088.0,1610.0,0.0,3468.0,1322032.0,0.0,329433.0,65560.0,471810.0,461674.0,380859.0,174364.0,67517.0,0.0,7561441.0,0.0,0.0,0.0,109.0,0.0,0.0,QCFI INC,ATLANTA,GA,P750
3146,562017872.0,2.0,0.0,0.0,0.0,0.0,1360.0,0.0,0.0,362490.0,3111271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13801.0,0.0,0.0,0.0,37133.0,0.0,0.0,0.0,37133.0,3497093.0,N,0.0,13801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256391.0,12601.0,102567.0,110074.0,0.0,1300.0,11010.0,0.0,0.0,0.0,222118.0,0.0,0.0,0.0,0.0,192976.0,606.0,0.0,70262.0,12867.0,0.0,65001.0,0.0,331944.0,223603.0,87421.0,82114.0,157490.0,0.0,2940345.0,0.0,0.0,0.0,57.0,0.0,0.0,QUALITY EDUCATION ACADEMY,WINSTON SALEM,NC,B20
3147,562017872.0,2.0,0.0,0.0,0.0,0.0,3040.0,0.0,0.0,585189.0,3362416.0,0.0,0.0,0.0,0.0,0.0,0.0,174078.0,-4582.0,0.0,0.0,0.0,45012.0,0.0,0.0,0.0,45012.0,3988035.0,N,0.0,178660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1487150.0,7373.0,126986.0,130169.0,130083.0,18098.0,10940.0,0.0,0.0,0.0,185209.0,0.0,0.0,0.0,0.0,346908.0,1562.0,0.0,68262.0,13270.0,0.0,64595.0,0.0,305871.0,276838.0,155152.0,115935.0,190594.0,0.0,3634995.0,0.0,0.0,0.0,61.0,0.0,0.0,QUALITY EDUCATION ACADEMY,WINSTON SALEM,NC,B20
3146,562017872.0,2.0,0.0,0.0,0.0,0.0,1360.0,0.0,0.0,362490.0,3111271.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13801.0,0.0,0.0,0.0,37133.0,0.0,0.0,0.0,37133.0,3497093.0,N,0.0,13801.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1256391.0,12601.0,102567.0,110074.0,0.0,1300.0,11010.0,0.0,0.0,0.0,222118.0,0.0,0.0,0.0,0.0,192976.0,606.0,0.0,70262.0,12867.0,0.0,65001.0,0.0,331944.0,223603.0,87421.0,82114.0,157490.0,0.0,2940345.0,0.0,0.0,0.0,57.0,0.0,0.0,QUALITY EDUCATION ACADEMY,WINSTON SALEM,NC,B20
3147,562017872.0,2.0,0.0,0.0,0.0,0.0,3040.0,0.0,0.0,585189.0,3362416.0,0.0,0.0,0.0,0.0,0.0,0.0,174078.0,-4582.0,0.0,0.0,0.0,45012.0,0.0,0.0,0.0,45012.0,3988035.0,N,0.0,178660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1487150.0,7373.0,126986.0,130169.0,130083.0,18098.0,10940.0,0.0,0.0,0.0,185209.0,0.0,0.0,0.0,0.0,346908.0,1562.0,0.0,68262.0,13270.0,0.0,64595.0,0.0,305871.0,276838.0,155152.0,115935.0,190594.0,0.0,3634995.0,0.0,0.0,0.0,61.0,0.0,0.0,QUALITY EDUCATION ACADEMY,WINSTON SALEM,NC,B20
4909,420927424.0,0.0,0.0,0.0,0.0,0.0,58890.0,0.0,0.0,0.0,372375.0,6794.0,0.0,0.0,0.0,0.0,59429.0,0.0,148.0,0.0,0.0,0.0,3333.0,0.0,0.0,0.0,3333.0,382650.0,N,59281.0,0.0,0.0,0.0,0.0,8500.0,0.0,0.0,0.0,58890.0,0.0,21499.0,0.0,3040.0,10176.0,0.0,0.0,5599.0,0.0,0.0,4428.0,0.0,4744.0,8281.0,7616.0,0.0,19575.0,1927.0,0.0,8925.0,86.0,0.0,4897.0,4282.0,129555.0,73185.0,2564.0,6774.0,5950.0,0.0,390493.0,0.0,0.0,0.0,2.0,0.0,0.0,QUAD CITIES BUILDERS & REMODELERS ASSOCIATION INC,DAVENPORT,IA,
6549,41753250.0,0.0,500.0,36700.0,0.0,0.0,0.0,0.0,0.0,42650.0,22176.0,22.0,0.0,0.0,36700.0,0.0,0.0,0.0,0.0,0.0,0.0,65569.0,0.0,0.0,0.0,0.0,0.0,121560.0,N,0.0,0.0,0.0,0.0,39559.0,0.0,0.0,0.0,0.0,0.0,0.0,18531.0,0.0,0.0,2064.0,0.0,0.0,6700.0,0.0,0.0,0.0,0.0,0.0,6678.0,0.0,0.0,84228.0,0.0,0.0,0.0,0.0,0.0,17932.0,0.0,22635.0,3825.0,1445.0,944.0,26275.0,0.0,191257.0,0.0,5998.0,0.0,8.0,0.0,0.0,QUINCY YACHT CLUB,QUINCY,MA,
6856,550577653.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1635.0,0.0,29.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44728.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16746.0,N,0.0,0.0,29646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,188.0,0.0,0.0,0.0,0.0,0.0,372.0,0.0,0.0,0.0,0.0,1302.0,1737.0,0.0,0.0,0.0,0.0,3599.0,0.0,0.0,0.0,0.0,0.0,0.0,QUOTA CLUB INTERNATIONAL INC,N MARTINSVLLE,WV,
7296,270120709.0,9.0,0.0,0.0,0.0,0.0,43750.0,0.0,0.0,7334.0,392891.0,1115.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,401340.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43750.0,0.0,225298.0,0.0,0.0,21724.0,0.0,0.0,4197.0,0.0,0.0,0.0,0.0,1171.0,10623.0,1518.0,0.0,15790.0,11200.0,0.0,0.0,0.0,0.0,1818.0,3057.0,7079.0,708.0,2304.0,4358.0,0.0,0.0,354595.0,0.0,0.0,0.0,20.0,0.0,0.0,QUE TAL LANGUAGE PROGRAM,HAMEL,MN,B90
8205,237172152.0,7.0,0.0,0.0,0.0,0.0,75000.0,0.0,0.0,243293.0,231542.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9750.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474374.0,N,0.0,0.0,10211.0,0.0,0.0,0.0,0.0,0.0,0.0,75000.0,0.0,99064.0,0.0,43516.0,17406.0,0.0,0.0,12500.0,0.0,0.0,0.0,1280.0,15513.0,0.0,0.0,0.0,34148.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34302.0,62066.0,108302.0,7178.0,21353.0,0.0,531628.0,0.0,0.0,0.0,5.0,0.0,0.0,QUEENS JEWISH COMMUNITY COUNCIL INC PROJECT NECESSITY,FOREST HILLS,NY,P280
