,EIN,nonpfrea,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,totreprtabled,totcomprelatede,totestcompf,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,grsalesecur,grsalesothr,netgnls,grsincfndrsng,grsincgaming,grsalesinvent,miscrevtota,miscrevtot11b,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,rcvdpdtngcd,cstbasisecur,cstbasisothr,lessdirfndrsng,lessdirgaming,lesscstofgoods,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,totsupport,rntlexpnsreal,rntlexpnsprsnl,noemplyeesw3cnt,noindiv100kcnt,nocontractor100kcnt,NAME,CITY,STATE,NTEE_CD
181,256063424.0,0.0,0.0,0.0,0.0,0.0,0.0,3457667.0,1160130.0,0.0,4567926.0,323154.0,0.0,0.0,0.0,0.0,28995092.0,0.0,507003.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5398083.0,N,28488089.0,0.0,0.0,0.0,0.0,285023.0,15300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42518.0,0.0,0.0,0.0,0.0,34748.0,0.0,192205.0,0.0,0.0,28105.0,756844.0,0.0,2197636.0,0.0,52572.0,0.0,29660.0,44078.0,15975.0,0.0,0.0,0.0,0.0,3694664.0,0.0,0.0,0.0,0.0,0.0,0.0,UNITED STEELWORKERS,PITTSBURG,PA,J40
253,562543934.0,9.0,0.0,0.0,0.0,0.0,4800.0,0.0,0.0,73335.0,0.0,32.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79085.0,N,0.0,0.0,20425.0,0.0,0.0,0.0,0.0,0.0,0.0,4800.0,0.0,0.0,0.0,0.0,2135.0,0.0,0.0,630.0,0.0,0.0,0.0,0.0,1150.0,2466.0,0.0,0.0,2400.0,0.0,0.0,4517.0,0.0,0.0,0.0,0.0,3525.0,3403.0,7063.0,15638.0,0.0,0.0,47727.0,0.0,0.0,0.0,2.0,0.0,0.0,UNITED STATES BOWLING CONGRESS INC,ALTOONA,PA,N70
369,410855267.0,7.0,0.0,0.0,0.0,0.0,68648.0,0.0,0.0,1160770.0,0.0,1936.0,0.0,0.0,0.0,0.0,147.0,0.0,-2727.0,37350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1180894.0,N,2874.0,0.0,16435.0,0.0,0.0,819377.0,0.0,0.0,0.0,57683.0,0.0,87452.0,0.0,11098.0,11016.0,0.0,0.0,9716.0,0.0,0.0,0.0,0.0,3534.0,14501.0,0.0,0.0,19156.0,3658.0,0.0,3201.0,0.0,6413.0,12113.0,2884.0,38442.0,11598.0,7749.0,6118.0,13034.0,0.0,1138743.0,0.0,0.0,0.0,6.0,0.0,0.0,UNITED WAY OF WASHINGTON COUNTY EAST INC,STILLWATER,MN,T70
370,410855267.0,7.0,0.0,0.0,0.0,0.0,78487.0,0.0,0.0,1173529.0,0.0,999.0,0.0,0.0,0.0,0.0,32.0,0.0,-3491.0,6651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171189.0,N,3523.0,0.0,6499.0,0.0,0.0,850093.0,0.0,0.0,0.0,78487.0,0.0,85174.0,0.0,11330.0,12292.0,0.0,0.0,10400.0,0.0,0.0,0.0,0.0,1841.0,9183.0,0.0,0.0,19718.0,2410.0,0.0,2172.0,0.0,8161.0,11901.0,2420.0,18982.0,12329.0,5998.0,5663.0,0.0,10215.0,1158769.0,0.0,0.0,0.0,7.0,0.0,0.0,UNITED WAY OF WASHINGTON COUNTY EAST INC,STILLWATER,MN,T70
369,410855267.0,7.0,0.0,0.0,0.0,0.0,68648.0,0.0,0.0,1160770.0,0.0,1936.0,0.0,0.0,0.0,0.0,147.0,0.0,-2727.0,37350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1180894.0,N,2874.0,0.0,16435.0,0.0,0.0,819377.0,0.0,0.0,0.0,57683.0,0.0,87452.0,0.0,11098.0,11016.0,0.0,0.0,9716.0,0.0,0.0,0.0,0.0,3534.0,14501.0,0.0,0.0,19156.0,3658.0,0.0,3201.0,0.0,6413.0,12113.0,2884.0,38442.0,11598.0,7749.0,6118.0,13034.0,0.0,1138743.0,0.0,0.0,0.0,6.0,0.0,0.0,UNITED WAY OF WASHINGTON COUNTY EAST INC,STILLWATER,MN,T70
370,410855267.0,7.0,0.0,0.0,0.0,0.0,78487.0,0.0,0.0,1173529.0,0.0,999.0,0.0,0.0,0.0,0.0,32.0,0.0,-3491.0,6651.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1171189.0,N,3523.0,0.0,6499.0,0.0,0.0,850093.0,0.0,0.0,0.0,78487.0,0.0,85174.0,0.0,11330.0,12292.0,0.0,0.0,10400.0,0.0,0.0,0.0,0.0,1841.0,9183.0,0.0,0.0,19718.0,2410.0,0.0,2172.0,0.0,8161.0,11901.0,2420.0,18982.0,12329.0,5998.0,5663.0,0.0,10215.0,1158769.0,0.0,0.0,0.0,7.0,0.0,0.0,UNITED WAY OF WASHINGTON COUNTY EAST INC,STILLWATER,MN,T70
436,616054655.0,7.0,0.0,0.0,0.0,0.0,106585.0,0.0,5409.0,864233.0,0.0,10169.0,0.0,0.0,0.0,0.0,43610.0,0.0,7684.0,0.0,0.0,0.0,19336.0,0.0,0.0,0.0,19336.0,901422.0,N,35926.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106585.0,304504.0,0.0,0.0,104064.0,40455.0,0.0,0.0,10200.0,0.0,0.0,0.0,0.0,0.0,36858.0,0.0,0.0,25199.0,26593.0,0.0,0.0,8359.0,0.0,13635.0,10313.0,118531.0,38600.0,27709.0,27689.0,32715.0,0.0,932009.0,0.0,0.0,0.0,192.0,1.0,0.0,URBAN LEAGUE OF LEXINGTON-FAYETTE CO,LEXINGTON,KY,P22Z
437,436211462.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191061.0,0.0,1463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192524.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27274.0,0.0,0.0,0.0,0.0,0.0,1480.0,0.0,0.0,0.0,0.0,1551.0,3789.0,1275.0,0.0,8526.0,0.0,0.0,2742.0,0.0,0.0,0.0,0.0,2222.0,1932.0,998.0,161230.0,988.0,0.0,214007.0,0.0,0.0,0.0,1.0,0.0,0.0,UNITED WAY OF ADAIR COUNTY,KIRKSVILLE,MO,T70Z
438,436211462.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,197251.0,0.0,1244.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198495.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27635.0,0.0,0.0,0.0,0.0,0.0,1325.0,0.0,0.0,0.0,0.0,734.0,1250.0,1831.0,0.0,9728.0,0.0,0.0,2612.0,0.0,0.0,0.0,0.0,2054.0,1398.0,1430.0,161230.0,2516.0,0.0,213743.0,0.0,0.0,0.0,1.0,0.0,0.0,UNITED WAY OF ADAIR COUNTY,KIRKSVILLE,MO,T70Z
437,436211462.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191061.0,0.0,1463.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192524.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27274.0,0.0,0.0,0.0,0.0,0.0,1480.0,0.0,0.0,0.0,0.0,1551.0,3789.0,1275.0,0.0,8526.0,0.0,0.0,2742.0,0.0,0.0,0.0,0.0,2222.0,1932.0,998.0,161230.0,988.0,0.0,214007.0,0.0,0.0,0.0,1.0,0.0,0.0,UNITED WAY OF ADAIR COUNTY,KIRKSVILLE,MO,T70Z
