,EIN,nonpfrea,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,totreprtabled,totcomprelatede,totestcompf,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,grsalesecur,grsalesothr,netgnls,grsincfndrsng,grsincgaming,grsalesinvent,miscrevtota,miscrevtot11b,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,rcvdpdtngcd,cstbasisecur,cstbasisothr,lessdirfndrsng,lessdirgaming,lesscstofgoods,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,totsupport,rntlexpnsreal,rntlexpnsprsnl,noemplyeesw3cnt,noindiv100kcnt,nocontractor100kcnt,NAME,CITY,STATE,NTEE_CD
9,541005797.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,582766.0,127703.0,912.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,711381.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137622.0,0.0,5465.0,0.0,0.0,0.0,0.0,0.0,22555.0,0.0,0.0,4800.0,15805.0,0.0,68636.0,0.0,37500.0,0.0,0.0,62309.0,8467.0,8810.0,309382.0,0.0,0.0,681251.0,0.0,0.0,0.0,0.0,0.0,1.0,VIRGINIA ASSOCIATION OF REHABILITATION FACILITIES,SPRINGFIELD,VA,
156,582671160.0,9.0,0.0,0.0,0.0,0.0,16930.0,0.0,0.0,81457.0,176654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258046.0,N,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,16930.0,0.0,0.0,0.0,0.0,0.0,0.0,2125.0,1500.0,0.0,0.0,0.0,143837.0,0.0,1619.0,0.0,0.0,0.0,60056.0,0.0,0.0,0.0,0.0,0.0,704.0,11072.0,8870.0,3825.0,965.0,1313.0,0.0,252816.0,0.0,0.0,0.0,0.0,0.0,0.0,VIVER BRASIL DANCE COMPANY,LOS ANGELES,CA,A62
157,582671160.0,9.0,0.0,0.0,0.0,0.0,16280.0,0.0,0.0,45754.0,203774.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249532.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2815.0,0.0,0.0,0.0,93610.0,0.0,1483.0,0.0,0.0,0.0,95406.0,0.0,0.0,91.0,0.0,0.0,186.0,9063.0,8770.0,8456.0,3295.0,2974.0,0.0,242429.0,0.0,0.0,0.0,0.0,0.0,0.0,VIVER BRASIL DANCE COMPANY,LOS ANGELES,CA,A62
158,582671160.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106435.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3380.0,4218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74772.0,7550.0,10220.0,0.0,0.0,0.0,100140.0,0.0,0.0,0.0,0.0,0.0,0.0,VIVER BRASIL DANCE COMPANY,LOS ANGELES,CA,A62
156,582671160.0,9.0,0.0,0.0,0.0,0.0,16930.0,0.0,0.0,81457.0,176654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258046.0,N,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,16930.0,0.0,0.0,0.0,0.0,0.0,0.0,2125.0,1500.0,0.0,0.0,0.0,143837.0,0.0,1619.0,0.0,0.0,0.0,60056.0,0.0,0.0,0.0,0.0,0.0,704.0,11072.0,8870.0,3825.0,965.0,1313.0,0.0,252816.0,0.0,0.0,0.0,0.0,0.0,0.0,VIVER BRASIL DANCE COMPANY,LOS ANGELES,CA,A62
157,582671160.0,9.0,0.0,0.0,0.0,0.0,16280.0,0.0,0.0,45754.0,203774.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249532.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2815.0,0.0,0.0,0.0,93610.0,0.0,1483.0,0.0,0.0,0.0,95406.0,0.0,0.0,91.0,0.0,0.0,186.0,9063.0,8770.0,8456.0,3295.0,2974.0,0.0,242429.0,0.0,0.0,0.0,0.0,0.0,0.0,VIVER BRASIL DANCE COMPANY,LOS ANGELES,CA,A62
158,582671160.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106435.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3380.0,4218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74772.0,7550.0,10220.0,0.0,0.0,0.0,100140.0,0.0,0.0,0.0,0.0,0.0,0.0,VIVER BRASIL DANCE COMPANY,LOS ANGELES,CA,A62
156,582671160.0,9.0,0.0,0.0,0.0,0.0,16930.0,0.0,0.0,81457.0,176654.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,258046.0,N,0.0,0.0,65.0,0.0,0.0,0.0,0.0,0.0,0.0,16930.0,0.0,0.0,0.0,0.0,0.0,0.0,2125.0,1500.0,0.0,0.0,0.0,143837.0,0.0,1619.0,0.0,0.0,0.0,60056.0,0.0,0.0,0.0,0.0,0.0,704.0,11072.0,8870.0,3825.0,965.0,1313.0,0.0,252816.0,0.0,0.0,0.0,0.0,0.0,0.0,VIVER BRASIL DANCE COMPANY,LOS ANGELES,CA,A62
157,582671160.0,9.0,0.0,0.0,0.0,0.0,16280.0,0.0,0.0,45754.0,203774.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,249532.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2815.0,0.0,0.0,0.0,93610.0,0.0,1483.0,0.0,0.0,0.0,95406.0,0.0,0.0,91.0,0.0,0.0,186.0,9063.0,8770.0,8456.0,3295.0,2974.0,0.0,242429.0,0.0,0.0,0.0,0.0,0.0,0.0,VIVER BRASIL DANCE COMPANY,LOS ANGELES,CA,A62
158,582671160.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106435.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,106435.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3380.0,4218.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74772.0,7550.0,10220.0,0.0,0.0,0.0,100140.0,0.0,0.0,0.0,0.0,0.0,0.0,VIVER BRASIL DANCE COMPANY,LOS ANGELES,CA,A62
