,EIN,nonpfrea,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,totreprtabled,totcomprelatede,totestcompf,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,grsalesecur,grsalesothr,netgnls,grsincfndrsng,grsincgaming,grsalesinvent,miscrevtota,miscrevtot11b,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,rcvdpdtngcd,cstbasisecur,cstbasisothr,lessdirfndrsng,lessdirgaming,lesscstofgoods,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,totsupport,rntlexpnsreal,rntlexpnsprsnl,noemplyeesw3cnt,noindiv100kcnt,nocontractor100kcnt,NAME,CITY,STATE,NTEE_CD
5394,741932980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44134.0,476745.0,2331.0,0.0,0.0,0.0,0.0,39227.0,0.0,-4052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519158.0,N,43279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66799.0,0.0,0.0,8117.0,0.0,0.0,1125.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34133.0,0.0,61472.0,5390.0,73166.0,49536.0,32264.0,31806.0,52351.0,0.0,416459.0,0.0,0.0,0.0,5.0,0.0,0.0,XI KAPPA OF CHI OMEGA HOUSE CORP,COLLEGE STA,TX,
5395,741932980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59305.0,505016.0,1744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566065.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66516.0,0.0,0.0,7461.0,0.0,0.0,1200.0,0.0,0.0,0.0,3250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39913.0,0.0,49456.0,8167.0,137253.0,65265.0,27682.0,24550.0,55390.0,0.0,486103.0,0.0,0.0,0.0,5.0,0.0,0.0,XI KAPPA OF CHI OMEGA HOUSE CORP,COLLEGE STA,TX,
5394,741932980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44134.0,476745.0,2331.0,0.0,0.0,0.0,0.0,39227.0,0.0,-4052.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,519158.0,N,43279.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66799.0,0.0,0.0,8117.0,0.0,0.0,1125.0,0.0,0.0,0.0,300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34133.0,0.0,61472.0,5390.0,73166.0,49536.0,32264.0,31806.0,52351.0,0.0,416459.0,0.0,0.0,0.0,5.0,0.0,0.0,XI KAPPA OF CHI OMEGA HOUSE CORP,COLLEGE STA,TX,
5395,741932980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59305.0,505016.0,1744.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,566065.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66516.0,0.0,0.0,7461.0,0.0,0.0,1200.0,0.0,0.0,0.0,3250.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39913.0,0.0,49456.0,8167.0,137253.0,65265.0,27682.0,24550.0,55390.0,0.0,486103.0,0.0,0.0,0.0,5.0,0.0,0.0,XI KAPPA OF CHI OMEGA HOUSE CORP,COLLEGE STA,TX,
11647,860651996.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6380.0,53043.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241268.0,0.0,0.0,4307.0,0.0,0.0,0.0,4307.0,81366.0,N,0.0,0.0,223641.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,8061.0,0.0,0.0,0.0,429.0,0.0,9841.0,0.0,0.0,0.0,0.0,45511.0,5000.0,3783.0,2224.0,867.0,0.0,75728.0,0.0,0.0,0.0,0.0,0.0,0.0,XAVIER DADS CLUB INC,PHOENIX,AZ,B94Z
13961,223389275.0,9.0,0.0,0.0,0.0,0.0,117517.0,0.0,0.0,523072.0,0.0,2586.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525658.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,117517.0,0.0,78693.0,0.0,0.0,16716.0,0.0,0.0,1575.0,0.0,0.0,0.0,13155.0,1403.0,2742.0,0.0,0.0,0.0,10231.0,0.0,6239.0,0.0,0.0,240.0,0.0,3460.0,40.0,144414.0,4589.0,63964.0,0.0,464978.0,0.0,0.0,0.0,8.0,1.0,0.0,X-CEL SWIMMING INC,PRINCETON,NJ,N67Z
22491,205009576.0,2.0,0.0,0.0,0.0,0.0,75000.0,0.0,0.0,316829.0,2928373.0,1585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3246787.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1528198.0,0.0,135595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41860.0,0.0,166769.0,46789.0,0.0,0.0,0.0,0.0,3859857.0,0.0,0.0,0.0,0.0,0.0,0.0,XAVIER CHARTER SCHOOL INC,TWIN FALLS,ID,B29
22492,205009576.0,2.0,0.0,0.0,0.0,0.0,75000.0,0.0,0.0,600688.0,3204769.0,1785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3807242.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1532160.0,0.0,499748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41860.0,0.0,220665.0,191854.0,0.0,0.0,0.0,0.0,3713496.0,0.0,0.0,0.0,0.0,0.0,0.0,XAVIER CHARTER SCHOOL INC,TWIN FALLS,ID,B29
22491,205009576.0,2.0,0.0,0.0,0.0,0.0,75000.0,0.0,0.0,316829.0,2928373.0,1585.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3246787.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1528198.0,0.0,135595.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1940646.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41860.0,0.0,166769.0,46789.0,0.0,0.0,0.0,0.0,3859857.0,0.0,0.0,0.0,0.0,0.0,0.0,XAVIER CHARTER SCHOOL INC,TWIN FALLS,ID,B29
22492,205009576.0,2.0,0.0,0.0,0.0,0.0,75000.0,0.0,0.0,600688.0,3204769.0,1785.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3807242.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1532160.0,0.0,499748.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1227209.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41860.0,0.0,220665.0,191854.0,0.0,0.0,0.0,0.0,3713496.0,0.0,0.0,0.0,0.0,0.0,0.0,XAVIER CHARTER SCHOOL INC,TWIN FALLS,ID,B29
