,EIN,nonpfrea,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,totreprtabled,totcomprelatede,totestcompf,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,grsalesecur,grsalesothr,netgnls,grsincfndrsng,grsincgaming,grsalesinvent,miscrevtota,miscrevtot11b,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,rcvdpdtngcd,cstbasisecur,cstbasisothr,lessdirfndrsng,lessdirgaming,lesscstofgoods,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,totsupport,rntlexpnsreal,rntlexpnsprsnl,noemplyeesw3cnt,noindiv100kcnt,nocontractor100kcnt,NAME,CITY,STATE,NTEE_CD
42,941212142.0,7.0,0.0,0.0,0.0,0.0,69132.0,0.0,12452.0,462938.0,63230.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17178.0,0.0,0.0,0.0,22808.0,548991.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100448.0,0.0,266452.0,5624.0,78902.0,26307.0,0.0,0.0,12280.0,0.0,0.0,0.0,0.0,895.0,1825.0,7286.0,0.0,29142.0,3465.0,0.0,0.0,21477.0,0.0,19339.0,10673.0,0.0,5642.0,3847.0,12708.0,13469.0,0.0,619781.0,0.0,0.0,0.0,24.0,0.0,0.0,YWCA OF WATSONVILLE,WATSONVILLE,CA,P27Z
302,237157699.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810238.0,0.0,304.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,810542.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,437368.0,0.0,128464.0,40316.0,0.0,0.0,4916.0,0.0,0.0,0.0,0.0,1500.0,0.0,0.0,0.0,30842.0,27646.0,0.0,0.0,0.0,0.0,15864.0,15596.0,33735.0,18898.0,12620.0,8961.0,16353.0,0.0,793079.0,0.0,0.0,0.0,25.0,0.0,0.0,YOUTH EMERGENCY SHELTER INC,MCALESTER,OK,P300
374,593044336.0,7.0,0.0,0.0,0.0,0.0,21250.0,0.0,26042.0,249425.0,0.0,934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301056.0,N,0.0,0.0,26436.0,0.0,0.0,0.0,0.0,0.0,0.0,91542.0,0.0,106163.0,0.0,43583.0,773.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,5761.0,0.0,0.0,0.0,0.0,0.0,0.0,8874.0,0.0,0.0,5780.0,12923.0,25790.0,15708.0,12545.0,6045.0,16471.0,0.0,354458.0,0.0,0.0,0.0,13.0,0.0,0.0,YOUTH FOR CHRIST USA INC,WINTER HAVEN,FL,
375,593044336.0,7.0,0.0,0.0,0.0,0.0,19550.0,0.0,23958.0,331476.0,5390.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375004.0,N,0.0,0.0,25776.0,0.0,0.0,0.0,0.0,0.0,0.0,84219.0,0.0,109962.0,0.0,39586.0,7932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6104.0,0.0,0.0,0.0,0.0,0.0,0.0,3730.0,0.0,0.0,4669.0,15448.0,23339.0,21154.0,12151.0,5746.0,14940.0,0.0,348980.0,0.0,0.0,0.0,11.0,0.0,0.0,YOUTH FOR CHRIST USA INC,WINTER HAVEN,FL,
374,593044336.0,7.0,0.0,0.0,0.0,0.0,21250.0,0.0,26042.0,249425.0,0.0,934.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77133.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,301056.0,N,0.0,0.0,26436.0,0.0,0.0,0.0,0.0,0.0,0.0,91542.0,0.0,106163.0,0.0,43583.0,773.0,0.0,0.0,2500.0,0.0,0.0,0.0,0.0,5761.0,0.0,0.0,0.0,0.0,0.0,0.0,8874.0,0.0,0.0,5780.0,12923.0,25790.0,15708.0,12545.0,6045.0,16471.0,0.0,354458.0,0.0,0.0,0.0,13.0,0.0,0.0,YOUTH FOR CHRIST USA INC,WINTER HAVEN,FL,
375,593044336.0,7.0,0.0,0.0,0.0,0.0,19550.0,0.0,23958.0,331476.0,5390.0,647.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,63267.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,375004.0,N,0.0,0.0,25776.0,0.0,0.0,0.0,0.0,0.0,0.0,84219.0,0.0,109962.0,0.0,39586.0,7932.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6104.0,0.0,0.0,0.0,0.0,0.0,0.0,3730.0,0.0,0.0,4669.0,15448.0,23339.0,21154.0,12151.0,5746.0,14940.0,0.0,348980.0,0.0,0.0,0.0,11.0,0.0,0.0,YOUTH FOR CHRIST USA INC,WINTER HAVEN,FL,
500,561566482.0,7.0,0.0,0.0,0.0,0.0,70305.0,0.0,0.0,262344.0,2419095.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2681439.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70305.0,1800019.0,0.0,0.0,44680.0,174624.0,0.0,2072.0,0.0,0.0,0.0,0.0,81174.0,6942.0,0.0,0.0,0.0,56969.0,5166.0,0.0,1684.0,17765.0,0.0,88915.0,44181.0,48498.0,33941.0,26812.0,19017.0,56614.0,0.0,2579378.0,0.0,0.0,0.0,102.0,0.0,0.0,YAHWEH CENTER INC,WILMINGTON,NC,P70Z
501,203051786.0,7.0,0.0,0.0,0.0,0.0,76230.0,0.0,0.0,0.0,390026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390026.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76230.0,202097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20005.0,13890.0,0.0,0.0,0.0,0.0,0.0,0.0,9408.0,36039.0,11201.0,11890.0,9324.0,0.0,390084.0,0.0,0.0,0.0,6.0,0.0,0.0,YOUTH QUEST INC,BAKERSFIELD,CA,P73
502,203051786.0,7.0,0.0,0.0,0.0,0.0,82694.0,0.0,0.0,0.0,242243.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,242243.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82694.0,0.0,56932.0,0.0,0.0,11951.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34525.0,0.0,0.0,0.0,0.0,0.0,0.0,2028.0,14144.0,2150.0,5512.0,21077.0,22893.0,0.0,253906.0,0.0,0.0,0.0,12.0,0.0,0.0,YOUTH QUEST INC,BAKERSFIELD,CA,P73
501,203051786.0,7.0,0.0,0.0,0.0,0.0,76230.0,0.0,0.0,0.0,390026.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,390026.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76230.0,202097.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20005.0,13890.0,0.0,0.0,0.0,0.0,0.0,0.0,9408.0,36039.0,11201.0,11890.0,9324.0,0.0,390084.0,0.0,0.0,0.0,6.0,0.0,0.0,YOUTH QUEST INC,BAKERSFIELD,CA,P73
