,EIN,nonpfrea,initiationfees,grsrcptspublicuse,grsincmembers,grsincother,totreprtabled,totcomprelatede,totestcompf,totcntrbgfts,totprgmrevnue,invstmntinc,txexmptbndsproceeds,royaltsinc,grsrntsreal,grsrntsprsnl,grsalesecur,grsalesothr,netgnls,grsincfndrsng,grsincgaming,grsalesinvent,miscrevtota,miscrevtot11b,miscrevtot11c,miscrevtot11d,miscrevtot11e,totrevenue,rcvdpdtngcd,cstbasisecur,cstbasisothr,lessdirfndrsng,lessdirgaming,lesscstofgoods,grntstogovt,grnsttoindiv,grntstofrgngovt,benifitsmembrs,compnsatncurrofcr,compnsatnandothr,othrsalwages,pensionplancontrb,othremplyeebenef,payrolltx,feesforsrvcmgmt,legalfees,accntingfees,feesforsrvclobby,profndraising,feesforsrvcinvstmgmt,feesforsrvcothr,advrtpromo,officexpns,infotech,royaltsexpns,occupancy,travel,travelofpublicoffcl,converconventmtng,interestamt,pymtoaffiliates,deprcatndepletn,insurance,othrexpnsa,othrexpnsb,othrexpnsc,othrexpnsd,othrexpnse,othrexpnsf,totfuncexpns,totsupport,rntlexpnsreal,rntlexpnsprsnl,noemplyeesw3cnt,noindiv100kcnt,nocontractor100kcnt,NAME,CITY,STATE,NTEE_CD
149,452731833.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51036.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51036.0,N,0.0,0.0,0.0,0.0,0.0,0.0,8465.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2350.0,0.0,0.0,0.0,0.0,0.0,2338.0,1298.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34945.0,137.0,580.0,0.0,0.0,0.0,50113.0,0.0,0.0,0.0,0.0,0.0,0.0,ZAYNAS CARES,HAWTHORNE,NJ,P20
2801,135626348.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195458.0,0.0,31580.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226972.0,N,66.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11571.0,8068.0,3746.0,1220.0,2183.0,0.0,189188.0,0.0,0.0,0.0,0.0,0.0,0.0,ZION ORPHANAGE INC,FRESH MEADOWS,NY,Q330
2802,135626348.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222513.0,0.0,23208.0,0.0,0.0,0.0,0.0,125000.0,0.0,1587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247308.0,N,123413.0,0.0,0.0,0.0,0.0,0.0,0.0,265558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7987.0,4742.0,3084.0,2810.0,0.0,3107.0,288476.0,0.0,0.0,0.0,0.0,0.0,0.0,ZION ORPHANAGE INC,FRESH MEADOWS,NY,Q330
2801,135626348.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195458.0,0.0,31580.0,0.0,0.0,0.0,0.0,0.0,0.0,-66.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226972.0,N,66.0,0.0,0.0,0.0,0.0,0.0,0.0,160000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2400.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11571.0,8068.0,3746.0,1220.0,2183.0,0.0,189188.0,0.0,0.0,0.0,0.0,0.0,0.0,ZION ORPHANAGE INC,FRESH MEADOWS,NY,Q330
2802,135626348.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,222513.0,0.0,23208.0,0.0,0.0,0.0,0.0,125000.0,0.0,1587.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,247308.0,N,123413.0,0.0,0.0,0.0,0.0,0.0,0.0,265558.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1188.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7987.0,4742.0,3084.0,2810.0,0.0,3107.0,288476.0,0.0,0.0,0.0,0.0,0.0,0.0,ZION ORPHANAGE INC,FRESH MEADOWS,NY,Q330
2967,630233975.0,0.0,8310.0,0.0,0.0,0.0,1500.0,0.0,0.0,69391.0,455563.0,643.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,525597.0,N,0.0,0.0,0.0,0.0,0.0,3600.0,0.0,0.0,0.0,0.0,0.0,40081.0,0.0,921.0,5360.0,0.0,0.0,21223.0,0.0,0.0,0.0,0.0,0.0,929.0,0.0,0.0,178558.0,0.0,0.0,0.0,0.0,0.0,0.0,12837.0,76188.0,60592.0,51171.0,42397.0,41237.0,0.0,535094.0,0.0,0.0,0.0,7.0,0.0,0.0,ZETA BETA TAU FRATERNITY,TUSCALOOSA,AL,
4602,362008855.0,0.0,0.0,0.0,0.0,0.0,8500.0,0.0,0.0,46600.0,304528.0,154.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,351282.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8500.0,0.0,64495.0,0.0,0.0,5568.0,0.0,0.0,2450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32888.0,0.0,0.0,6080.0,0.0,0.0,1635.0,12440.0,108441.0,30207.0,20250.0,16204.0,88329.0,0.0,397487.0,0.0,0.0,0.0,4.0,0.0,0.0,ZION-BENTON LODGE NO 667 LOYAL ORDER OF MOOSE,ZION,IL,
11674,50309859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,220774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51868.0,12.0,0.0,0.0,51880.0,265556.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15956.0,0.0,0.0,0.0,6106.0,20.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45286.0,0.0,0.0,0.0,106662.0,0.0,83640.0,10053.0,21863.0,610.0,155.0,0.0,0.0,0.0,290801.0,0.0,7100.0,0.0,0.0,0.0,0.0,ZETA BETA TAU FRATERNITY,KINGSTON,RI,
11675,50309859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,188396.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27343.0,818.0,0.0,0.0,28161.0,216558.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6204.0,0.0,0.0,0.0,5499.0,0.0,470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39495.0,0.0,0.0,0.0,101317.0,0.0,83633.0,12203.0,24843.0,1432.0,346.0,0.0,0.0,0.0,275442.0,0.0,0.0,0.0,0.0,0.0,0.0,ZETA BETA TAU FRATERNITY,KINGSTON,RI,
11674,50309859.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,220774.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51868.0,12.0,0.0,0.0,51880.0,265556.0,N,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15956.0,0.0,0.0,0.0,6106.0,20.0,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,45286.0,0.0,0.0,0.0,106662.0,0.0,83640.0,10053.0,21863.0,610.0,155.0,0.0,0.0,0.0,290801.0,0.0,7100.0,0.0,0.0,0.0,0.0,ZETA BETA TAU FRATERNITY,KINGSTON,RI,
